entity_id,website,number,image_resolution,screen_size,brand
ENTITY#101,www.shopmania.in,1183,22.3 MP,3.2\,Canon EOS 5D Mark III kit 24-105mm
ENTITY#101,www.ebay.com,53140,22.3 MP,3.2\,Canon
ENTITY#101,www.pricedekho.com,1000,22.3 MP,3.2 Inches,Canon EOS 5D Mark III kit 24-105mm
ENTITY#101,www.gosale.com,943,22.3,3.2000000000000006,BVI
ENTITY#101,www.mypriceindia.com,724,22.3 MP,3.2000000000000006,Canon EOS 5D Mark III kit 24-105mm
ENTITY#13,www.ebay.com,54217,16.2 MP,3.2\,Nikon
ENTITY#13,www.gosale.com,849,16.2,3.2000000000000006,Nikon
ENTITY#13,www.pricedekho.com,1054,16.2 MP,3.2 Inches,Nikon
ENTITY#13,www.mypriceindia.com,159,16.2 MP,3.2000000000000006,Nikon
ENTITY#13,www.shopmania.in,899,16.2 MP,3.2\,Nikon D4 body
ENTITY#18,www.pricedekho.com,1033,18 MP,3 Inches,Canon
ENTITY#18,www.gosale.com,1182,18 MP,3 inches,Canon
ENTITY#18,www.ebay.com,24861,18.0 MP,3\,Canon
ENTITY#18,www.shopmania.in,861,18 MP,3\,Canon EOS 60D body
ENTITY#18,www.mypriceindia.com,23,19 MP,3.0,Canon
ENTITY#19,www.ebay.com,60045,24.2 MP,3\,Nikon
ENTITY#19,www.shopmania.in,1677,24 MP,3\,Nikon D3300 kit 18-55mm + 55-200mm
ENTITY#19,www.pricedekho.com,1225,24.400000000000002,3 Inches,Nikon
ENTITY#19,www.gosale.com,1312,24.400000000000002,3.0,Nikon
ENTITY#19,www.mypriceindia.com,3,25.0 MP,3.0,Nikon
ENTITY#21,www.ebay.com,45948,16.2 MP,3\,Nikon
ENTITY#21,www.pricedekho.com,1238,NA,3 Inches,Nikon
ENTITY#21,www.shopmania.in,1066,16.2 MP,3\,Nikon D5100 kit 18-55mm
ENTITY#21,www.gosale.com,407,16.2 MP,3.0,Nikon
ENTITY#21,www.mypriceindia.com,700,16.2 MP,3.0,Nikon
ENTITY#23,www.gosale.com,785,18 MP,3 inches,Canon
ENTITY#23,www.ebay.com,55969,18.0 MP,3\,Canon
ENTITY#23,www.mypriceindia.com,763,18 MP,3.0,Canon
ENTITY#23,www.shopmania.in,1317,18 MP,3\,Canon EOS 7D kit 15-85mm
ENTITY#23,www.pricedekho.com,1232,18.0,3 Inches,Canon
ENTITY#34,www.gosale.com,877,16.0,3.0,Canon
ENTITY#34,www.mypriceindia.com,128,16 MP,3.0,Canon
ENTITY#34,www.ebay.com,23868,16.0 MP,3\,Canon
