entity_id,website,number,image_resolution,screen_size,brand
ENTITY#101,www.shopmania.in,1183,22.3 MP,3.2\,Canon EOS 5D Mark III kit 24-105mm
ENTITY#13,www.shopmania.in,899,16.2 MP,3.2\,Nikon D4 body
ENTITY#18,www.shopmania.in,861,18 MP,3\,Canon EOS 60D body
ENTITY#19,www.shopmania.in,1677,24 MP,3\,Nikon D3300 kit 18-55mm + 55-200mm
ENTITY#21,www.shopmania.in,1066,16.2 MP,3\,Nikon D5100 kit 18-55mm
ENTITY#23,www.shopmania.in,1317,18 MP,3\,Canon EOS 7D kit 15-85mm
ENTITY#34,www.shopmania.in,1617,16 MP,3\,Canon PowerShot SX160 IS
ENTITY#41,www.shopmania.in,1003,24.1 MP,3\,Nikon D5200 kit 18-55mm
ENTITY#44,www.shopmania.in,950,24.2 MP,3\,Nikon D3200 kit 18-55mm
ENTITY#45,www.shopmania.in,1712,16 MP,3\,Canon PowerShot SX170 IS
ENTITY#48,www.shopmania.in,665,12.1 MP,2.8\,Canon SX50 HS
ENTITY#53,www.shopmania.in,1478,10.1 MP,3\,Nikon 1 V1 kit 10-30mm + 30-110mm
ENTITY#57,www.shopmania.in,1646,36.3 MP,3.2\,Nikon D800 body
ENTITY#570,www.shopmania.in,929,36.3 MP,3.2\,Nikon D800E body
ENTITY#59,www.shopmania.in,932,20 MP,3.2\,Nikon COOLPIX L30
ENTITY#6,www.shopmania.in,1721,24 MP,3.2\,Nikon D5300 kit 18-55mm
ENTITY#64,www.shopmania.in,1019,12 MP,3\,Canon PowerShot SX510 HS
ENTITY#67,www.shopmania.in,1352,16 MP,2.7\,Canon A2400 IS
ENTITY#7,www.shopmania.in,1043,16.1 MP,3\,Olympus OM-D E-M5 body
ENTITY#72,www.shopmania.in,1507,36.3 MP,3.2\,Nikon D810 body
ENTITY#73,www.shopmania.in,1102,16 MP,3\,Nikon COOLPIX P530
ENTITY#75,www.shopmania.in,1284,16.2 MP,3\,Nikon D7000 body
ENTITY#76,www.shopmania.in,1138,24 MP,3.2\,Nikon D610 body
ENTITY#80,www.shopmania.in,1341,12 MP,2.8\,Fujifilm X10
ENTITY#81,www.shopmania.in,859,14 MP,3\,Fujifilm SL300
ENTITY#87,www.shopmania.in,1700,12 MP,3\,Nikon COOLPIX P7800
ENTITY#91,www.shopmania.in,1547,10.1 MP,3\,Panasonic DMC-LX7
ENTITY#96,www.shopmania.in,1576,20 MP,3\,Canon EOS 70D body
