entity,brand,num,condition,day
6_1,Nikon,26.10498612,Preset;Autos,1
13_1,Nikon,,Shade;Color Temperature;Cloudy;Fluorescent;Flash;all with Fine-Tuning;Incandescent;Direct Sunlight;Auto;Preset Manual,1
18_1,Canon,,Preset;Custom;Color Temperature Setting;Auto,1
19_1,,,,
23_1,,,,
41_1,,,,
44_1,Nikon,,Flash;Cloudy;Preset Manual;Shade;Fluorescent;Auto;sunlight;Incandescent,1
48_1,Canon,,White Balance Compensation;Tungsten;Custom1;Auto;Fluorescent;Custom 2;Fluorescent h;Multi-Area wb Correction;Cloudy;Flash;Daylight,1
570_1,Nikon,33.24789061,Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Color Temperature;all with Fine-Tuning;Auto,1
58_1,Nikon,,Fluorescent;Incandescent;Cloudy;Flash;Auto;Shade;Direct Sunlight;Preset Manual,1
65_1,Fujifilm,,Preset;Fluorescent Light;Automatic,1
67_1,Canon,16.15411089,Tungsten;Fluorescent;Custom;day Light;Auto;Fluorescent;Cloudy,1
69_1,Sony,,Daylight;Shade;Cloudy;Incandescent;Fluorescent;Flash;Color Temperature;Custom;Underwater;Auto,1
70_1,Panasonic,,White Set;Auto;Incandescent;Daylight;Cloudy;Shade,1
75_1,,,,
76_1,Nikon,,Choose Color Temperature;all with Fine-Tuning;Auto,1
83_1,Nikon,,Auto,1
88_1,Sony,20.75334813,one Push;Fluorescent White Balance 3;Fluorescent White Balance 1;Flash;Incandescent;Daylight;Fluorescent White Balance 2;one Push Set;Auto;Cloudy,1
96_1,Canon,,Preset;Custom;Color Temperature Setting;Auto,1
101_1,Canon,,Flash Color Temperature Information Transmission Enabled;Color Temperature Setting;Auto;White Balance Correction;Shade;Flash;Cloudy;Tungsten Light;Custom;White Fluorescent LightPreset: Daylight;And White Balance Bracketing,1
