entity,brand,num,condition,day
6_1,Nikon,26.10498612,Preset;Autos,1
13_1,Nikon,17.4810534,Daylight;Sunny;Fine;Flash;Fluorescent;Incandescent;Shade;Sunlight;Tungsten;Cloudy,1
18_1,Canon,18.39080655,Daylight;Sunny;Flash;Fluorescent;Halogen;Incandescent;Shade;Tungsten;Cloud,1
19_1,Nikon,22.07742669,Flash;Fluorescent,1
23_1,Canon,17.39314156,Daylight;Sunny;Fine;Flash;Fluorescent;Shade;Tungsten;Underwater;Cloudy,1
41_1,Nikon,23.64172126,Flash;Fluorescent;Incandescent;Shade;Sunlight;Sunny;Tungsten;Cloudy,1
44_1,Nikon,24.18269001,Cloudy;Flash;Fluorescent;Incandescent;Shade;Sunlight;Sunny;Tungsten,1
48_1,Canon,12.44340008,Daylight;Sunny;Flash;Fluorescent;Tungsten;Cloudy,1
570_1,Nikon,34.07620968,Daylight;Sunny;Flash;Fluorescent;Incandescent;Shade;Tungsten;Cloudy,1
58_1,Nikon,10.67276466,Cloudy;Daylight;Sunny;Flash;Fluorescent;Incandescent;Shade;Sunlight;Sunny;Tungsten;Artificial,1
65_1,Fujifilm,14.77601053,Sunny;Shade,1
67_1,Canon,14.85500566,Cloudy;Daylight;Sunny;Fluorescent;Artificial,1
69_1,Sony,32.97253955,Daylight;Sunny;Shade;Underwater;Cloud,1
70_1,Panasonic,13.06127191,Daylight;Sunny;Incandescent;Shade;Cloudy,1
75_1,Nikon,17.06378901,Daylight;Sunny;Fine;Flash;Fluorescent;Incandescent;Indoor;Shade;Sunlight;Tungsten;Cloudy,1
76_1,Nikon,24.42504462,Sunlightly,1
83_1,,,,
88_1,Sony,18.71933265,Daylight;flash;Cloudy,1
96_1,Canon,18.76776583,Daylight;Sunny;Flash;Fluorescent;Tungsten;Cloudy,1
101_1,Canon,21.8385981,Cloudy;Daylight;Sunny;Flash;Fluorescent;Shade;Tungsten;Artificial,1
