entity,Domain,Conditions,Humidity,day
2,Austin,Rain,94,1
5,Austin,Rain,93,1
10,Austin,Rain,93,1
13,Austin,Mostly Cloudy,81,1
25,Austin,Fog And Mist,87,1
31,Austin,Overcast,87,1
35,Austin,Overcast,81,1
38,Austin,Overcast,81,1
39,Austin,Overcast,87,1
43,Austin,Fog And Mist,87,1
50,Austin,Fog And Mist,81,1
60,Austin,Overcast,85,1
91,Austin,Overcast,65,1
104,Austin,Clear,69,1
112,Austin,Clear,53,1
130,Austin,Overcast,93,1
132,Austin,Overcast,86,1
145,Austin,Overcast,81,1
149,Austin,Light Rain,93,1
154,Austin,Fog And Mist,94,1
156,Austin,Rain,100,1
167,Austin,Fog And Mist,93,1
174,Austin,Fog;Mist,93,1
205,Austin,Fog And Mist,93,1
209,Austin,Fog And Mist,93,1
251,Austin,Fog;Mist,86,1
254,Austin,Fog;Mist,86,1
257,Austin,Overcast with Haze,80,1
259,Austin,Hazy,77,1
273,Austin,Light Rain,87,1
275,Austin,Rain,93,1
280,Austin,Light Rain,100,1
302,Austin,Overcast,80,1
314,Austin,Light Rain Fog;Mist,93,1
315,Austin,Light Rain Fog;Mist,90,1
324,Baltimore,Fair,38,1
342,Baltimore,Clear,46,1
376,Baltimore,Fair,43,1
382,Baltimore,A Few Clouds,57,1
398,Baltimore,Overcast,40,1
407,Baltimore,Fair,30,1
408,Baltimore,Fair,33,1
428,Baltimore,Fair,79,1
441,Baltimore,Fair,63,1
462,Baltimore,Fair,29,1
467,Baltimore,Fair,34,1
483,Baltimore,Fair,51,1
496,Baltimore,Mostly Cloudy,65,1
498,Baltimore,Partly Cloudy,60,1
517,Baltimore,Fair,48,1
528,Baltimore,Fair,74,1
535,Baltimore,Fair,69,1
552,Baltimore,Mostly Cloudy,61,1
565,Baltimore,Overcast,75,1
600,Baltimore,Fair,81,1
611,Baltimore,Light Snow,79,1
625,Baltimore,Fog;Mist,85,1
646,Boston,Clear,44,1
649,Boston,Clear,37,1
655,Boston,Partly Cloudy,27,1
660,Boston,Partly Cloudy,31,1
669,Boston,Overcast,39,1
671,Boston,Overcast,46,1
673,Boston,Mostly Cloudy,46,1
676,Boston,Clear,46,1
684,Boston,Partly Cloudy,37,1
692,Boston,Partly Cloudy,29,1
731,Boston,Clear,31,1
734,Boston,Clear,36,1
746,Boston,Mostly Cloudy,40,1
756,Boston,Overcast,38,1
768,Boston,Overcast,45,1
774,Boston,Partly Cloudy,40,1
776,Boston,Partly Cloudy,34,1
789,Boston,Overcast,60,1
791,Boston,Overcast,55,1
798,Boston,Clear,64,1
801,Boston,Clear,64,1
831,Boston,Partly Cloudy,60,1
837,Boston,Partly Cloudy,31,1
843,Boston,Overcast,46,1
848,Boston,Partly Cloudy,46,1
852,Boston,Partly Cloudy,54,1
859,Boston,Overcast,43,1
908,Boston,Overcast,69,1
961,Charlotte,Clear,49,1
965,Charlotte,Partly Cloudy,41,1
997,Charlotte,Fog And Mist,93,1
1000,Charlotte,Fog And Mist,100,1
1001,Charlotte,Mostly Cloudy,93,1
1011,Charlotte,Partly Cloudy,46,1
1074,Charlotte,Overcast,80,1
1080,Charlotte,Overcast,80,1
1083,Charlotte,Partly Cloudy,74,1
1084,Charlotte,Partly Cloudy,80,1
1086,Charlotte,Partly Cloudy,80,1
1107,Charlotte,Clear,47,1
1113,Charlotte,Clear,70,1
1152,Charlotte,Mostly Cloudy,70,1
1154,Charlotte,Partly Cloudy,49,1
1166,Charlotte,Overcast,70,1
1183,Charlotte,Drizzle,93,1
1224,Charlotte,Fog And Mist,93,1
1226,Charlotte,Fog And Mist,93,1
1234,Charlotte,Fog,100,1
1237,Charlotte,Fog,100,1
1239,Charlotte,Fog,100,1
1240,Charlotte,Fog And Mist,93,1
1286,Chicago,Mostly Cloudy,60,1
1288,Chicago,Mostly Cloudy,56,1
1294,Chicago,Mostly Cloudy,49,1
1298,Chicago,Mostly Cloudy,63,1
1304,Chicago,Partly Cloudy,58,1
1308,Chicago,Partly Cloudy,63,1
1313,Chicago,Overcast,63,1
1317,Chicago,Overcast,63,1
1318,Chicago,Overcast,63,1
1331,Chicago,Hazy,55,1
1333,Chicago,A Few Clouds,60,1
1335,Chicago,Fair,65,1
1341,Chicago,Partly Cloudy,65,1
1342,Chicago,Partly Cloudy,65,1
1343,Chicago,A Few Clouds,68,1
1350,Chicago,Overcast,62,1
1365,Chicago,Mostly Cloudy,68,1
1388,Chicago,Partly Cloudy,54,1
1393,Chicago,Partly Cloudy,63,1
1403,Chicago,Overcast,73,1
1406,Chicago,Mostly Cloudy,73,1
1411,Chicago,Mostly Cloudy,79,1
1416,Chicago,Partly Cloudy,79,1
1438,Chicago,Hazy,74,1
1440,Chicago,Hazy,74,1
1450,Chicago,Overcast,72,1
1462,Chicago,Overcast with Haze,78,1
1468,Chicago,Overcast with Haze,78,1
1472,Chicago,Partly Cloudy,61,1
1486,Chicago,Light Snow,93,1
1503,Chicago,Hazy,75,1
1507,Chicago,Overcast with Haze,63,1
1546,Chicago,Hazy,80,1
1557,Chicago,Hazy,80,1
1570,Chicago,Light Snow Fog;Mist,85,1
1573,Chicago,Light Snow,79,1
1583,Chicago,Overcast with Haze,81,1
1588,Chicago,Overcast with Haze,81,1
1611,Columbus,Overcast,52,1
1614,Columbus,Mostly Cloudy,48,1
1631,Columbus,Mostly Cloudy,73,1
1633,Columbus,Partly Cloudy,79,1
1641,Columbus,Hazy,74,1
1642,Columbus,Hazy,74,1
1646,Columbus,Mostly Cloudy,55,1
1651,Columbus,Mostly Cloudy,44,1
1686,Columbus,Overcast,53,1
1696,Columbus,Overcast,57,1
1703,Columbus,Overcast,57,1
1717,Columbus,Mostly Cloudy,53,1
1723,Columbus,Partly Cloudy,73,1
1740,Columbus,Partly Cloudy,58,1
1745,Columbus,Clear,43,1
1752,Columbus,Overcast,75,1
1753,Columbus,Overcast,75,1
1754,Columbus,Hazy,80,1
1800,Columbus,Overcast,69,1
1871,Columbus,Light Snow,75,1
1874,Columbus,Light Snow,81,1
1926,Dallas,Light Rain,93,1
1940,Dallas,Mostly Cloudy,75,1
1959,Dallas,Fog And Mist,87,1
1961,Dallas,Hazy,81,1
1963,Dallas,Overcast,81,1
1968,Dallas,Overcast,66,1
1985,Dallas,Fog;Mist,88,1
1995,Dallas,Overcast with Haze,79,1
1999,Dallas,Overcast,68,1
2010,Dallas,Overcast,75,1
2014,Dallas,Overcast,80,1
2024,Dallas,Overcast,74,1
2026,Dallas,Overcast,74,1
2047,Dallas,Overcast,86,1
2051,Dallas,Overcast,86,1
2053,Dallas,Overcast,86,1
2073,Dallas,Overcast,76,1
2079,Dallas,Fog And Mist,87,1
2091,Dallas,Fog;Mist,83,1
2108,Dallas,Light Rain Fog;Mist,92,1
2110,Dallas,Light Rain,88,1
2111,Dallas,Light Rain,87,1
2112,Dallas,Overcast,88,1
2115,Dallas,Overcast,71,1
2120,Dallas,Overcast,81,1
2121,Dallas,Hazy,81,1
2152,Dallas,Overcast with Haze,83,1
2161,Dallas,Overcast with Haze,82,1
2175,Dallas,Partly Cloudy,57,1
2176,Dallas,Mostly Cloudy,54,1
2180,Dallas,Mostly Cloudy,62,1
2211,Dallas,Mostly Cloudy,61,1
2220,Dallas,Overcast,86,1
2223,Dallas,Mostly Cloudy,86,1
2226,Dallas,Overcast,82,1
2247,Denver,Partly Cloudy,100,1
2268,Denver,Mostly Cloudy,80,1
2272,Denver,Partly Cloudy,80,1
2273,Denver,Partly Cloudy,74,1
2281,Denver,Partly Cloudy,50,1
2305,Denver,Fog;Mist,92,1
2309,Denver,A Few Clouds,69,1
2318,Denver,A Few Clouds,25,1
2320,Denver,A Few Clouds,23,1
2323,Denver,Partly Cloudy,23,1
2328,Denver,Partly Cloudy,30,1
2332,Denver,Partly Cloudy,63,1
2350,Denver,Mostly Cloudy,25,1
2355,Denver,Mostly Cloudy,24,1
2358,Denver,Mostly Cloudy,52,1
2365,Denver,Mostly Cloudy,60,1
2396,Denver,Overcast,48,1
2402,Denver,Overcast,93,1
2417,Denver,Overcast,57,1
2423,Denver,Overcast,85,1
2442,Denver,Clear,54,1
2445,Denver,Partly Cloudy,63,1
2447,Denver,Partly Cloudy,59,1
2451,Denver,Partly Cloudy,54,1
2457,Denver,Partly Cloudy,40,1
2479,Denver,Fair,71,1
2500,Denver,Mostly Cloudy,41,1
2535,Denver,Mostly Cloudy,52,1
2543,Denver,Partly Cloudy,47,1
2548,Denver,Partly Cloudy,36,1
2549,Denver,Partly Cloudy,36,1
2552,Denver,Partly Cloudy,29,1
2558,Denver,Mostly Cloudy,27,1
2580,Detroit,Clear,54,1
2589,Detroit,Clear,68,1
2605,Detroit,Mostly Cloudy,54,1
2611,Detroit,Overcast,54,1
2625,Detroit,Fair,70,1
2631,Detroit,Fair,80,1
2648,Detroit,Clear,53,1
2649,Detroit,Clear,57,1
2650,Detroit,Clear,57,1
2672,Detroit,Partly Cloudy,62,1
2685,Detroit,Clear,79,1
2687,Detroit,Clear,79,1
2691,Detroit,Clear,85,1
2692,Detroit,Clear,85,1
2710,Detroit,Overcast,69,1
2712,Detroit,Clear,74,1
2713,Detroit,Partly Cloudy,74,1
2743,Detroit,Fair,85,1
2746,Detroit,Fair,85,1
2755,Detroit,Overcast,69,1
2763,Detroit,Overcast,80,1
2777,Detroit,Light Snow,80,1
2780,Detroit,Hazy,80,1
2798,Detroit,Overcast,85,1
2806,Detroit,Fog;Mist,84,1
2825,Detroit,Fog And Mist,93,1
2827,Detroit,Light Snow,93,1
2831,Detroit,Fog And Mist,86,1
2832,Detroit,Fog And Mist,93,1
2843,Detroit,Partly Cloudy,69,1
2845,Detroit,Overcast,65,1
2858,Detroit,Light Snow Fog;Mist,92,1
2861,Detroit,Fog;Mist,88,1
2877,Detroit,Overcast,66,1
2881,El Paso,Light Snow,93,1
2885,El Paso,Overcast,86,1
2889,El Paso,Mostly Cloudy,80,1
2895,El Paso,Partly Cloudy,61,1
2916,El Paso,Mostly Cloudy,76,1
2918,El Paso,Mostly Cloudy,81,1
2936,El Paso,Mostly Cloudy,57,1
2951,El Paso,Mostly Cloudy,82,1
2955,El Paso,Mostly Cloudy,71,1
2962,El Paso,Partly Cloudy,38,1
2963,El Paso,Mostly Cloudy,31,1
2969,El Paso,Clear,61,1
2974,El Paso,Clear,75,1
2995,El Paso,Overcast,44,1
3002,El Paso,Partly Cloudy,66,1
3017,El Paso,Overcast,81,1
3024,El Paso,Mostly Cloudy,47,1
3026,El Paso,Mostly Cloudy,41,1
3040,El Paso,Light Rain,87,1
3050,El Paso,Overcast,87,1
3060,El Paso,Overcast,93,1
3076,El Paso,Mostly Cloudy,31,1
3081,El Paso,Mostly Cloudy,47,1
3086,El Paso,Mostly Cloudy,66,1
3111,El Paso,Overcast,47,1
3120,El Paso,Mostly Cloudy,65,1
3135,El Paso,Mostly Cloudy,30,1
3136,El Paso,Mostly Cloudy,30,1
3162,El Paso,Light Rain,81,1
3167,El Paso,Heavy Rain,93,1
3176,El Paso,Overcast,57,1
3181,El Paso,Overcast,73,1
3186,El Paso,Light Rain,86,1
3194,El Paso,Light Rain,83,1
3202,Fort Worth,Light Rain,93,1
3209,Fort Worth,Light Rain,87,1
3225,Fort Worth,Clear,80,1
3245,Fort Worth,Fog And Mist,87,1
3251,Fort Worth,Overcast,71,1
3259,Fort Worth,Fog;Mist,85,1
3260,Fort Worth,Fog;Mist,88,1
3262,Fort Worth,Fog;Mist,88,1
3263,Fort Worth,Fog;Mist,92,1
3265,Fort Worth,Fog;Mist,88,1
3270,Fort Worth,Fog;Mist,89,1
3291,Fort Worth,Overcast,75,1
3296,Fort Worth,Overcast,69,1
3302,Fort Worth,Overcast,69,1
3307,Fort Worth,Overcast,69,1
3314,Fort Worth,Overcast,69,1
3316,Fort Worth,Overcast,69,1
3319,Fort Worth,Overcast,75,1
