entity,Domain,Conditions,Humidity,day
2,Austin,rain,94.18824702,1
5,Austin,rain,85.72666718,1
10,Austin,rain,85.83076153,1
13,Austin,mostly,84.84769509,1
25,Austin,mostly,81.48832604,1
31,Austin,mostly,74.63360578,1
35,Austin,mostly,85.83550412,1
38,Austin,cloudy,80.15286222,1
39,Austin,cloudy,83.40095441,1
43,Austin,mostly,94.96596372,1
50,Austin,cloudy,84.41463532,1
60,Austin,Overcast,83.98582327,1
91,Austin,clear,69.8275294,1
104,Austin,clear,72.67586393,1
112,Austin,sky,63.93310866,1
130,Austin,cloudy,87.07288854,1
132,Austin,cloudy,83.17649392,1
145,Austin,mostly,80.48680547,1
149,Austin,rain,100.9130551,1
154,Austin,cloudy,98.17354854,1
156,Austin,light,96.78282717,1
167,Austin,mostly,103.3093871,1
174,Austin,Mist;Fog,86.82556585,1
205,Austin,mostly,91.67223295,1
209,Austin,rain,102.9114381,1
251,Austin,Mist;Fog,93.88008712,1
254,Austin,Mist;Fog,88.4282313,1
257,Austin,Overcast Haze,76.62818714,1
259,Austin,cloudy,72.17981573,1
273,Austin,light,95.53197833,1
275,Austin,rain,99.53231925,1
280,Austin,light,91.41261749,1
302,Austin,Overcast,77.59778874,1
314,Austin,Mist;Light Rain Fog,96.97509185,1
315,Austin,Mist;Light Rain Fog,89.75660637,1
324,Baltimore,normal,37.96784317,1
342,Baltimore,normal,42.19020334,1
376,Baltimore,Clean,41.9175746,1
382,Baltimore,A Few,55.81253482,1
398,Baltimore,Overcast,43.94796936,1
407,Baltimore,normal,30.10383514,1
408,Baltimore,normal,30.13470973,1
428,Baltimore,normal,71.57540712,1
441,Baltimore,normal,78.72270246,1
462,Baltimore,normal,29.47539419,1
467,Baltimore,normal,31.85095306,1
483,Baltimore,normal,53.57343204,1
496,Baltimore,Mostly,71.37343883,1
498,Baltimore,Cloudy,59.23999352,1
517,Baltimore,normal,45.34027456,1
528,Baltimore,normal,76.44707148,1
535,Baltimore,normal,62.80238114,1
552,Baltimore,Mostly,65.98383607,1
565,Baltimore,Overcast,77.51401619,1
600,Baltimore,normal,82.60452118,1
611,Baltimore,Snow,79.59394659,1
625,Baltimore,Mist;Fog,78.34647976,1
646,Boston,Sunny,40.88824211,1
649,Boston,Sunny,38.8146268,1
655,Boston,Sunny,28.23188517,1
660,Boston,Partly,31.05624937,1
669,Boston,Cloudy,38.80710074,1
671,Boston,Cloudy,44.44078461,1
673,Boston,Some,41.40090298,1
676,Boston,Sunny,46.5382815,1
684,Boston,Partly,36.19981079,1
692,Boston,Clear,28.12213512,1
731,Boston,Sunny,31.01966731,1
734,Boston,Sunny,34.18274996,1
746,Boston,Sunny,41.28373957,1
756,Boston,Cloudy,35.95891694,1
768,Boston,Cloudy,39.72541391,1
774,Boston,Sunny,34.39671026,1
776,Boston,Sunny,37.82288753,1
789,Boston,Cloudy,52.95758955,1
791,Boston,Cloudy,56.6237476,1
798,Boston,Sunny,59.40743818,1
801,Boston,Sunny,63.0202354,1
831,Boston,Partly,63.9048612,1
837,Boston,Mostly,28.6264029,1
843,Boston,Cloudy,41.34108015,1
848,Boston,Partly,48.21529545,1
852,Boston,Cloudy,59.28573883,1
859,Boston,Cloudy,39.39285754,1
908,Boston,Cloudy,65.66574647,1
