0,entity,Domain,Conditions,Humidity,day
8,2,Austin,Showers,87,1
8,5,Austin,Cloudy,89,1
8,10,Austin,Rain,95,1
8,13,Austin,Cloudy,82,1
8,25,Austin,Cloudy,81,1
8,31,Austin,Cloudy,84,1
8,35,Austin,Mostly Cloudy,88,1
8,38,Austin,Cloudy,85,1
8,39,Austin,Cloudy,85,1
8,43,Austin,Showers,92,1
8,50,Austin,Fog,81,1
8,60,Austin,Overcast,85,1
8,91,Austin,Partly Cloudy,64,1
8,104,Austin,Partly Sunny,80,1
8,112,Austin,Partly Sunny,55,1
8,130,Austin,Cloudy,88,1
8,132,Austin,Cloudy,88,1
8,145,Austin,Cloudy,81,1
8,149,Austin,Rain,96,1
8,154,Austin,Showers,92,1
8,156,Austin,Showers,92,1
8,167,Austin,Fog,100,1
8,174,Austin,Fog;Mist,93,1
8,205,Austin,Showers,96,1
8,209,Austin,Showers,96,1
8,251,Austin,Fog;Mist,86,1
8,254,Austin,Fog;Mist,86,1
8,257,Austin,Overcast with Haze,80,1
8,259,Austin,Cloudy,76,1
8,273,Austin,Cloudy,89,1
8,275,Austin,Rain,93,1
8,280,Austin,Rain,92,1
8,302,Austin,Overcast,80,1
8,314,Austin,Light Rain Fog;Mist,93,1
8,315,Austin,Light Rain Fog;Mist,90,1
8,324,Baltimore,Intermittent Clouds,43,1
8,342,Baltimore,Clear,52,1
8,376,Baltimore,Fair,43,1
8,382,Baltimore,A Few Clouds,57,1
8,398,Baltimore,Overcast,40,1
8,407,Baltimore,Cloudy,38,1
8,408,Baltimore,Cloudy,36,1
8,428,Baltimore,Snow,79,1
8,441,Baltimore,Flurries,79,1
8,462,Baltimore,Sunny,33,1
8,467,Baltimore,Sunny,36,1
8,483,Baltimore,Clear,61,1
8,496,Baltimore,Mostly Cloudy,65,1
8,498,Baltimore,Partly Cloudy,60,1
8,517,Baltimore,Mostly Clear,55,1
8,528,Baltimore,Intermittent Clouds,81,1
8,535,Baltimore,Cloudy,81,1
8,552,Baltimore,Mostly Cloudy,61,1
8,565,Baltimore,Overcast,75,1
8,600,Baltimore,Cloudy,86,1
8,611,Baltimore,Light Snow,79,1
8,625,Baltimore,Fog;Mist,85,1
8,646,Boston,Clear,42,1
8,649,Boston,Sunny,38,1
8,655,Boston,Mostly Sunny,26,1
8,660,Boston,Partly Cloudy,32,1
8,669,Boston,Cloudy,40,1
8,671,Boston,Cloudy,44,1
8,673,Boston,Intermittent Clouds,44,1
8,676,Boston,Clear,48,1
8,684,Boston,Partly Sunny,36,1
8,692,Boston,Mostly Clear,29,1
8,731,Boston,Clear,30,1
8,734,Boston,Clear,33,1
8,746,Boston,Intermittent Clouds,42,1
8,756,Boston,Cloudy,36,1
8,768,Boston,Cloudy,47,1
8,774,Boston,Partly Sunny,38,1
8,776,Boston,Partly Sunny,38,1
8,789,Boston,Cloudy,58,1
8,791,Boston,Cloudy,56,1
8,798,Boston,Clear,61,1
8,801,Boston,Clear,63,1
8,831,Boston,Partly Sunny,58,1
8,837,Boston,Mostly Clear,31,1
8,843,Boston,Partly Cloudy,42,1
8,848,Boston,Partly Cloudy,48,1
8,852,Boston,Partly Cloudy,54,1
8,859,Boston,Intermittent Clouds,41,1
8,908,Boston,Cloudy,63,1
8,961,Charlotte,Cloudy,50,1
8,965,Charlotte,Cloudy,41,1
8,997,Charlotte,Partly Cloudy,91,1
8,1000,Charlotte,Intermittent Clouds,100,1
8,1001,Charlotte,Intermittent Clouds,100,1
8,1011,Charlotte,Mostly Sunny,43,1
8,1074,Charlotte,Cloudy,81,1
8,1080,Charlotte,Cloudy,74,1
8,1083,Charlotte,Cloudy,71,1
8,1084,Charlotte,Partly Cloudy,74,1
8,1086,Charlotte,Partly Cloudy,80,1
8,1107,Charlotte,Sunny,47,1
8,1113,Charlotte,Clear,70,1
8,1152,Charlotte,Intermittent Clouds,67,1
8,1154,Charlotte,Mostly Sunny,43,1
8,1166,Charlotte,Cloudy,69,1
8,1183,Charlotte,Showers,96,1
8,1224,Charlotte,Fog,95,1
8,1226,Charlotte,Fog,95,1
