entity,Domain,Conditions,Humidity,day
2,Austin,Rain;Mist,93,1
5,Austin,Rain;Light Rain,93,1
10,Austin,Rain,93,1
13,Austin,Cloudy;Overcast,81,1
25,Austin,Cloudy,81,1
31,Austin,Cloudy,84,1
35,Austin,Cloudy;Overcast,81,1
38,Austin,Cloudy,85,1
39,Austin,Cloudy,87,1
43,Austin,Cloudy;Overcast;Showers,93,1
50,Austin,Cloudy;Fog;Haze,81,1
60,Austin,Overcast,85,1
91,Austin,Not totally Cloudy;Partly Cloudy,64,1
104,Austin,Clear;Not totally Sunny,80,1
112,Austin,Sunny;Clear,53,1
130,Austin,Cloudy,88,1
132,Austin,Cloudy,88,1
145,Austin,Cloudy,81,1
149,Austin,Rain;Light Rain,93,1
154,Austin,Cloudy;Overcast;Showers,93,1
156,Austin,Rain;Light Rain,100,1
167,Austin,Cloudy;Fog;Fog And Mist;Light Rain;Light Rain Mist,100,1
174,Austin,Mist/Fog,93,1
205,Austin,Fog;Overcast;Showers;Mist,93,1
209,Austin,Fog;Overcast;Rain,93,1
251,Austin,Mist/Fog,86,1
254,Austin,Mist/Fog,86,1
257,Austin,Overcast with Haze,80,1
259,Austin,Cloudy,76,1
273,Austin,Rain;Light Rain,87,1
275,Austin,Rain,93,1
280,Austin,Rain;Light Rain,100,1
302,Austin,Overcast,80,1
314,Austin,Mist/Light Rain Fog,93,1
315,Austin,Mist/Light Rain Fog,90,1
324,Baltimore,Mostly Cloudy;Fair;Clean,43,1
342,Baltimore,Clear,52,1
376,Baltimore,Fair,43,1
382,Baltimore,A Few Clouds,57,1
398,Baltimore,Overcast,40,1
407,Baltimore,Cloudy;Overcast,36,1
408,Baltimore,Cloudy;Overcast,36,1
428,Baltimore,Snow;Fair,79,1
441,Baltimore,Light Snow;Flurries;Light,80,1
462,Baltimore,Sunny;Clear,33,1
467,Baltimore,Sunny;Clear,37,1
483,Baltimore,Clear,61,1
496,Baltimore,Mainly Cloudy,65,1
498,Baltimore,Partly Cloudy,60,1
517,Baltimore,Partly Cloudy;Scattered Clouds;Mainly Sunny,55,1
528,Baltimore,Mostly Cloudy;Clean;Intermittent Clouds,81,1
535,Baltimore,Cloudy;Haze,81,1
552,Baltimore,Mostly Cloudy,61,1
565,Baltimore,Overcast,75,1
600,Baltimore,Cloudy;Overcast;Mist,86,1
611,Baltimore,Light Snow,79,1
625,Baltimore,Mist/Fog,85,1
646,Boston,Clear,42,1
649,Boston,Sunny,38,1
655,Boston,Mostly Sunny;Partly Cloudy,26,1
660,Boston,Clear;Cloudy,36,1
669,Boston,Cloudy,40,1
671,Boston,Cloudy,44,1
673,Boston,Mostly Cloudy;Mostly,44,1
676,Boston,Clear,48,1
684,Boston,Not totally Cloudy;Partly Sunny,36,1
692,Boston,Partly Cloudy;Mainly Sunny;Mostly Clear,29,1
731,Boston,Clear,31,1
734,Boston,Clear,36,1
746,Boston,Scattered Clouds;Mostly Cloudy;Cloudy;Partly,40,1
756,Boston,Cloudy,38,1
768,Boston,Cloudy,45,1
774,Boston,Not totally Sunny;Scattered Clouds;Not totally Cloudy,38,1
776,Boston,Partly Cloudy;Scattered Clouds;Partly,35,1
789,Boston,Cloudy,58,1
791,Boston,Cloudy,56,1
798,Boston,Clear,63,1
801,Boston,Clear,65,1
831,Boston,Partly Sunny;Partly;Scattered Clouds,58,1
837,Boston,Not totally Cloudy;Partly Cloudy;Mostly Clear,31,1
843,Boston,Overcast;Cloudy,44,1
848,Boston,Not totally Cloudy;Partly Cloudy,48,1
852,Boston,Partly Cloudy;Not totally Cloudy,54,1
859,Boston,Cloudy;Overcast,41,1
908,Boston,Cloudy,66,1
961,Charlotte,Cloudy;Overcast,50,1
965,Charlotte,Partly Cloudy;Scattered Clouds;Mostly Clear,41,1
997,Charlotte,Partly Cloudy;Scattered Clouds;Mist;Cloudy,95,1
1000,Charlotte,Mostly Cloudy;Intermittent;Mist;Fog And Mist,100,1
1001,Charlotte,Mostly Cloudy;Mainly Cloudy,92,1
1011,Charlotte,Not totally Cloudy;Partly Cloudy;Mostly Sunny;Sunny,43,1
1074,Charlotte,Cloudy,81,1
1080,Charlotte,Cloudy,80,1
1083,Charlotte,Partly Cloudy;Cloudy;Scattered,74,1
1084,Charlotte,Partly Cloudy;Not totally Cloudy,77,1
1086,Charlotte,Partly Cloudy;Not totally Cloudy,80,1
1107,Charlotte,Sunny;Mainly Sunny;Fair;Partly Cloudy;Partly,47,1
1113,Charlotte,Clear,70,1
1152,Charlotte,Mostly Cloudy;Mainly Cloudy;Intermittent Clouds,67,1
1154,Charlotte,Partly Cloudy;Mainly Sunny;Mostly Clear,49,1
1166,Charlotte,Cloudy,69,1
1183,Charlotte,Drizzle;Light Drizzle;Showers,93,1
1224,Charlotte,Fog;Overcast;Mist;Light Fog,95,1
1226,Charlotte,Fog;Overcast;Mist,93,1
1234,Charlotte,Fog,100,1
1237,Charlotte,Fog,100,1
1239,Charlotte,Fog,100,1
1240,Charlotte,Fog;Overcast;Mist,100,1
1286,Chicago,Cloudy;Mostly Cloudy;Mostly,60,1
1288,Chicago,Cloudy;Mostly Cloudy;Mainly Cloudy,57,1
1294,Chicago,Mostly Cloudy;Mostly,49,1
1298,Chicago,Cloudy;Mostly Cloudy;Partly Sunny,62,1
1304,Chicago,Mainly Sunny;Partly Cloudy;Not totally Cloudy,58,1
1308,Chicago,Partly Cloudy;Partly;Mostly Clear;Scattered,62,1
1313,Chicago,Cloudy;Overcast,63,1
1317,Chicago,Cloudy,62,1
