entity,screen_type,supported_aspect_ratio,response_time(ms),screen_size_diagonal,day
22,LCD Monitor,5:04,5,48.3,1
25,LCD Monitor,16:10,5,55.9,1
27,LCD Monitor,16:09,5,54.6,1
28,LCD Monitor,16:09,5,54.6,1
32,LCD Monitor,16:09,5,61,1
33,LCD Monitor,16:09,1,61,1
39,LCD Monitor,16:09,5,68.6,1
40,LCD Monitor,16:09,5,68.6,1
41,LCD Monitor,16:09,5,68.6,1
62,LCD Monitor,16:10,14,61,1
88,LCD Monitor,16:09,2,61,1
103,LCD Monitor,16:09,5,49.5,1
128,LCD Monitor,16:10,6,61,1
132,LCD Monitor,21:09,5,73.7,1
133,LCD Monitor,16:09,8,80,1
168,LCD Monitor,16:09,2,68.6,1
171,LCD Monitor,16:09,2,68.6,1
186,LCD Monitor,16:10,5,55.9,1
190,LCD Monitor,16:09,5,68.6,1
193,LCD Monitor,16:09,5,58.4,1
