name,domain,source,author
under the midninght sun,literature,bookuu,Higashino Keigo
53,Study,bookuu,
CSAPP,Computer_science;Study,bookuu,David R. O'Hallaron
History for children,Study;Children,bookuu,Yu Shui
CN,Computer_science;Study,bookuu,James F. Kurose
Magic Tree,Children,bookuu,Blyton;Enid
Cuore,Study;Children,bookuu,Edmondo De Amicis
Tumor of the Breast,Science;Study,bookuu,
Special class,Children,bookuu,Wu Meizhen
Algorithms,Computer_science;Study,bookuu,Thomas H. Cormen;Ronald L. Rivest
Computer Organization,Computer_science,bookuu,Patterson;Hennessy
Programming in C,Computer_science;Study,bookuu,Tan Haoqiang
