source,flight,scheduled_departure,actual_departure,departure_gate,scheduled_arrival,actual_arrival,arrival_gate,attr9,attr10,attr11
1,2,0,30,,0,335,,,,2
1,6,0,320,,0,408,,,,6
1,7,0,330,343,0,509,480,,,7
1,12,0,333,,0,545,,,,12
1,14,0,342,,0,505,,,,14
1,15,0,342,,0,505,,,,15
1,16,0,345,436,0,560,625,,,16
1,19,0,355,350,0,417,399,,,19
1,20,0,360,370,0,400,379,,,20
1,26,0,360,,0,443,,,,26
1,27,0,360,,0,459,,,,27
1,28,0,360,,0,463,,,,28
1,23,0,360,,0,480,,,,23
1,24,0,360,,0,485,,,,24
1,43,0,370,,0,560,,,,43
1,46,0,370,385,0,604,565,,,46
1,52,0,375,394,0,489,483,,,52
1,50,0,375,390,0,560,546,,,50
1,53,0,375,411,0,714,735,,,53
1,54,0,378,,0,429,,,,54
1,61,0,390,,0,705,,,,61
1,68,0,394,,0,453,,,,68
1,74,0,400,,0,713,,,,74
1,75,0,405,417,0,465,460,,,75
1,76,0,405,421,0,550,530,,,76
1,77,0,405,,0,666,,,,77
1,78,0,405,,0,905,,,,78
1,80,0,410,422,0,585,567,,,80
1,83,0,415,426,0,475,475,,,83
1,86,0,415,,0,565,,,,86
1,85,0,415,,0,725,,,,85
1,98,0,420,,0,495,,,,98
1,91,0,420,430,0,500,494,,,91
1,99,0,420,413,0,516,497,,,99
1,93,0,420,,0,595,,,,93
1,100,0,420,,0,607,,,,100
1,101,0,420,,0,630,,,,101
1,95,0,420,,0,675,,,,95
1,97,0,420,,0,930,,,,97
1,109,0,425,431,0,495,492,,,109
1,116,0,427,,0,510,,,,116
1,123,0,430,,0,533,,,,123
1,124,0,433,495,0,908,941,,,124
1,128,0,435,,0,688,,,,128
1,127,0,435,443,0,695,664,,,127
1,132,0,440,465,0,515,500,,,132
1,137,0,445,,0,608,,,,137
1,141,0,450,,0,673,,,,141
1,148,0,455,,0,583,,,,148
1,149,0,455,463,0,612,607,,,149
1,159,0,465,,0,533,,,,159
1,160,0,465,467,0,644,606,,,160
1,158,0,465,481,0,690,665,,,158
1,166,0,469,,0,480,,,,166
1,167,0,470,,0,699,,,,167
1,168,0,470,,0,785,,,,168
1,173,0,475,,0,665,,,,173
1,176,0,480,,0,840,,,,176
1,183,0,485,,0,990,,,,183
1,188,0,490,525,0,660,671,,,188
1,200,0,500,512,0,799,780,,,200
1,206,0,505,504,0,614,616,,,206
1,208,0,509,,0,564,,,,208
1,209,0,510,,0,620,,,,209
1,210,0,510,,0,675,,,,210
1,211,0,510,518,0,675,656,,,211
1,213,0,510,522,0,710,707,,,213
1,218,0,515,,0,622,,,,218
1,219,0,515,,0,622,,,,219
1,220,0,515,,0,690,,,,220
1,221,0,515,520,0,1015,998,,,221
1,222,0,515,,0,1035,,,,222
1,227,0,521,,0,594,,,,227
1,231,0,525,,0,618,,,,231
1,241,0,530,,0,684,,,,241
1,239,0,530,541,0,690,666,,,239
1,240,0,530,549,0,710,692,,,240
1,257,0,540,,0,700,,,,257
1,264,0,542,539,0,905,881,,,264
1,265,0,544,554,0,1060,1047,,,265
1,266,0,545,,0,670,,,,266
