4,14,10,9,8,673614,7,8,8,14,10,121827000,41,9040000000,21,9,16,1,4
27,87,77,79,38,2300895,57,60,56,104,74,175930000,,,,,98,1,27
29,91,86,85,38,12030000,63,64,60,113,80,1670000000,304,96630000000,85,40,140,1,29
37,109,117,106,55,13400000,81,83,76,143,111,600290000,,9690000000,,,22,1,37
38,7,122,109,58,1659407,83,86,79,146,113,188000000,,15190000000,,,184,1,38
48,139,156,138,77,516044,105,106,99,183,148,85850000,548,7830000000,,,36,1,48
76,182,248,215,107,6190000,166,170,157,292,229,,813,,,,335,1,76
79,101,261,224,16,56480000,173,177,162,303,237,5500185000,,87230000000,,76,232,1,79
88,58,292,251,113,2930000,192,197,180,340,262,294861000,939,10810000000,,87,122,1,88
100,112,324,285,127,1383356,220,225,207,398,303,190480000,,7300000000,129,52,248,1,100
102,9,333,290,48,4867103,224,232,211,406,312,317270000,,9590000000,117,3,,1,102
110,86,362,311,110,8700000,242,247,227,439,337,371110000,1165,20160000000,,,354,1,110
112,165,370,316,136,1345909,246,251,231,444,342,,,,,,160,1,112
121,104,397,340,142,816385,264,271,249,477,364,116960000,1276,9510000000,164,101,437,1,121
123,307,386,344,74,2070249,267,276,253,484,369,361850000,90,11240000000,273,105,131,1,123
148,340,482,415,34,1700000,315,16,298,569,439,232830000,1529,,,,64,1,148
152,34,498,425,102,1250000,325,341,306,342,450,208077000,,,,17,493,1,152
168,2,563,466,168,3980000,360,373,336,642,491,,1689,,,,530,1,168
171,105,577,472,151,6420000,366,380,342,651,498,749600000,1718,30130000000,349,30,127,1,171
177,66,595,260,121,4480000,127,128,186,674,519,439250000,1779,10970000000,,,351,1,177
181,178,610,496,108,1740000,386,404,360,690,532,86161000,1163,11460000000,,,556,1,181
201,379,677,552,147,3760000,433,455,239,756,591,322220000,110,15320000000,221,75,170,1,201
205,34,696,565,93,35360000,443,464,408,770,607,5300000000,1026,1.19E+11,,14,248,1,205
209,369,712,577,18,49590000,452,472,140,785,620,8432767000,,2.19E+11,401,12,590,1,209
214,87,728,589,187,2153733,461,482,423,804,632,304250000,2026,22760000000,,,133,1,214
216,30,736,595,122,1560000,465,486,427,811,638,304000000,,15880000000,,,352,1,216
240,219,132,655,198,1520000,511,537,111,889,696,208410000,,,,,132,1,240
267,280,881,719,82,2310000,567,595,524,986,765,178770000,1751,9350000000,,,304,1,267
279,41,910,747,10,388970,590,620,546,1026,799,92252000,,6730000000,,,607,1,279
290,87,948,773,219,1967331,612,643,567,1067,830,105040000,1517,10200000000,115,169,690,1,290
291,455,952,776,221,1425728,614,646,569,1070,834,81111000,2458,9180000000,,,134,1,291
295,266,966,787,8,1130000,622,653,577,1082,846,123130000,,9360000000,,,90,1,295
322,59,1038,855,146,978948,675,707,630,1172,920,170197000,,7340000000,,,142,1,322
325,490,1043,862,121,2070000,681,714,636,1182,926,437810000,,35700000000,371,15,371,1,325
359,244,1143,944,246,15450000,749,787,702,1289,1010,924755000,889,,,,736,1,359
362,506,1159,952,254,3590000,758,794,709,1300,1018,252993000,2851,1.68E+11,,,743,1,362
383,111,1218,998,145,1123894,802,832,747,1374,1071,,129,37750000000,,,96,1,383
407,265,1288,1057,37,1056852,852,884,790,1450,1132,159683000,963,5460000000,181,75,571,1,407
423,66,1329,1096,38,1170000,883,914,824,1511,1171,,3178,12830000000,,,30,1,423
462,203,1425,1186,139,1520000,955,984,899,1629,1265,124490000,3070,5640000000,,,657,1,462
464,112,1433,1190,127,2793472,960,989,903,1473,1270,140775000,,5420000000,117,26,665,1,464
466,244,1438,1194,149,971143,962,994,907,1643,1275,165564000,3337,13350000000,77,103,639,1,466
470,569,589,1203,50,4110000,971,1004,914,1657,1286,,,,,,401,1,470
500,391,1539,1274,40,717087,825,1065,963,1753,1364,143610000,,9150000000,,,374,1,500
502,134,1120,925,138,1120000,730,768,683,1262,989,175713000,2805,,528,17,186,1,502
507,38,1557,1289,131,4768735,1039,337,973,1772,1380,332448000,,8040000000,,,849,1,507
516,92,1585,1312,138,1980000,1058,1095,990,1805,1238,365470000,3537,19020000000,256,89,184,1,516
529,59,1620,1343,42,2210000,1085,1120,1011,970,1359,347588000,,9730000000,108,132,671,1,529
546,111,1114,470,74,1650000,1113,1152,1041,1894,1478,295370000,1908,7650000000,289,13,102,1,546
549,87,1670,1386,42,11610000,1118,1158,732,1418,1485,2084368000,202,,75,131,230,1,549
554,80,1686,1155,3,25210000,1128,1167,1054,1917,1499,5070000000,1138,,115,75,50,1,554
555,604,1691,1397,244,934370,1130,435,1056,1919,1501,122280000,,8340000000,,,529,1,555
556,496,1696,1400,103,5230000,1132,1170,1058,1923,1504,929730000,3664,54180000000,,,909,1,556
562,104,1718,1413,74,3180000,1142,1180,1066,1942,1516,506108000,,11730000000,425,26,49,1,562
580,110,1772,1457,28,6140000,1179,1214,1100,2000,1563,787050000,,33020000000,,,676,1,580
591,260,1803,1482,79,6780000,504,1233,1118,1439,1592,755541000,2335,14980000000,,,328,1,591
627,32,1891,1550,50,12770000,1271,1291,1179,2136,1343,,3925,,,,972,1,627
632,37,1904,1563,307,3980000,1281,1301,1188,2149,1703,452040000,3942,94700000000,,,336,1,632
641,207,281,1585,48,13650000,353,58,1202,2179,1318,1890000000,1564,,,,50,1,641
643,85,1023,1591,56,3868464,1299,891,1206,1087,1726,,339,5000000000,,,321,1,643
670,654,1543,979,144,30550000,1343,1364,659,2282,647,1001471000,,,,,126,1,670
671,140,1999,1642,209,949101,1346,1367,1257,2285,1791,168212000,4071,10520000000,,,108,1,671
696,1,2057,1691,27,12860000,1392,501,172,797,1690,2630000000,,47440000000,354,121,160,1,696
700,340,2065,1699,12,3268365,1399,79,1305,2380,1862,230950000,4134,8940000000,,,356,1,700
707,98,2093,1711,44,2951543,1412,1425,1318,2404,1881,499705000,617,26930000000,552,128,260,1,707
748,347,2006,1800,94,2210000,1480,1117,1389,2217,1976,168470000,,5710000000,,,1042,1,748
759,117,2221,1823,105,2460853,1504,1519,1411,2558,1997,462800000,4381,28180000000,,,100,1,759
760,208,2228,1768,114,14760000,1507,1521,1413,2562,1999,2074156000,,76850000000,349,89,970,1,760
768,176,2248,1086,176,841901,1521,1538,1427,2581,1389,183840000,,8730000000,,,187,1,768
776,119,2275,1858,152,2110000,1539,628,1442,2607,2035,227734000,2700,7610000000,512,15,95,1,776
792,260,2307,1891,327,1460000,1566,1580,1464,2655,2069,205998000,,10650000000,,,976,1,792
803,49,2347,1915,329,2570000,1583,1596,1473,2683,2094,124758000,,,378,50,260,1,803
806,106,2355,1924,332,228489,1587,1602,1477,2695,2101,39290000,4534,14880000000,,,1076,1,806
813,108,2069,16,136,1731795,1599,1613,1488,2716,2116,167903000,3410,6960000000,342,6,490,1,813
825,101,2231,1959,21,3750000,1619,63,1508,2748,117,265625000,1795,9840000000,450,104,157,1,825
829,454,2402,1964,154,3680000,1626,1635,760,2763,2152,767785000,2230,39740000000,,,174,1,829
835,119,265,843,57,5380000,1636,1479,117,797,1859,430085000,569,,590,10,47,1,835
838,97,1092,1980,146,6380973,1641,1198,1524,2794,279,482600000,376,,162,71,402,1,838
848,99,2446,2003,91,2190000,1658,1665,1540,2822,480,249128000,3710,,,,16,1,848
849,304,210,1320,32,3430000,1660,1666,1542,2828,1671,1140000000,,13550000000,,46,14,1,849
861,241,1411,1033,152,15330000,828,1687,1040,2856,1125,1302941000,,20130000000,,,370,1,861
863,140,693,342,179,9690000,1683,204,1567,2860,500,611318000,1154,9240000000,,,229,1,863
877,484,1040,1267,109,11620332,359,1712,1589,2902,967,1320000000,3839,17520000000,401,24,618,1,877
888,171,928,1080,18,5000000,971,1730,1604,2932,1575,186710000,1168,5880000000,,,368,1,888
895,312,2555,2087,192,1670000,1733,1742,1616,2954,2277,241630000,,26220000000,,,951,1,895
913,240,1892,2120,146,3340000,1761,1767,1648,3002,2304,159690000,,4620000000,,,227,1,913
922,332,1033,2139,58,4000000,1783,1782,1660,3034,2323,,1272,,90,,449,1,922
940,307,2651,999,151,1640000,1810,1812,1686,3087,2354,137870000,,9130000000,,,267,1,940
