entity_id,brand,number,image_resolution,white_balance,day
6,Nikon,9646,,Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Preset Manual;all Except Preset Manual with Fine-Tuning;Auto,1
13,Nikon,9794,,Shade;Color Temperature;Cloudy;Fluorescent;Flash;all with Fine-Tuning;Incandescent;Direct Sunlight;Auto;Preset Manual,1
18,Canon,942,,Preset;Custom;Color Temperature Setting;Auto,1
19,Nikon,3,26.84420823,Custom White Balance;Auto;incandescent;fluorescent;direct sunlight;flash;cloudy;shade;preset manual;all except preset manual with fine-tuning;White Balance Presets,1
23,Canon,763,16.6899513,Custom White Balance;Auto;Daylight;Shade;Cloudy;Tungsten Light;White Fluorescent Light;Flash;Custom;White Balance Presets,1
41,Nikon,103,22.62696373,Custom White Balance;Auto;incandescent;fluorescent;direct sunlight;flash;cloudy;shade;preset manual;all except preset manual with fine-tuning;White Balance Presets,1
44,Nikon,9649,,Flash;Cloudy;Preset Manual;Shade;Fluorescent;Auto;Direct Sunlight;Incandescent,1
48,Canon,929,,White Balance Compensation;Tungsten;Custom1;Auto;Fluorescent;Custom 2;Fluorescent h;Multi-Area wb Correction;Cloudy;Flash;Daylight,1
58,Nikon,871,,Fluorescent;Incandescent;Cloudy;Flash;Auto;Shade;Direct Sunlight;Preset Manual,1
65,Fujifilm,9757,,Preset;Fluorescent Light;Automatic,1
67,Canon,9842,16.15411089,Tungsten;Fluorescent;Custom;day Light;Auto;Fluorescent;Cloudy,1
69,Sony,737,,Daylight;Shade;Cloudy;Incandescent;Fluorescent;Flash;Color Temperature and Color Filter;Custom;Underwater;Auto,1
70,Panasonic,9918,,White Set;Auto;Incandescent;Daylight;Cloudy;Shade,1
75,Nikon,35,17.50482921,White Balance Presets;Auto;Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;preset manua;choose color temperature;Custom White Balance,1
76,Nikon,732,,Choose Color Temperature;all with Fine-Tuning;Auto,1
83,Nikon,9791,,Auto,1
88,Sony,743,20.75334813,one Push;Fluorescent White Balance 3;Fluorescent White Balance 1;Flash;Incandescent;Daylight;Fluorescent White Balance 2;one Push Set;Auto;Cloudy,1
96,Canon,805,,Preset;Custom;Color Temperature Setting;Auto,1
101,Canon,,,Flash Color Temperature Information Transmission Enabled;Color Temperature Setting;Auto;White Balance Correction;Shade;Flash;Cloudy;Tungsten Light;Custom;White Fluorescent LightPreset: Daylight;And White Balance Bracketing,1
570,Nikon,754,33.24789061,Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Color Temperature;all with Fine-Tuning;Auto,1
