entity,domain
4,674263
27,2297174
29,12036691
37,13402819
38,1659007
48,516111
76,6180877
79,56440050
88,2925150
100,1377381
102,4864930
110,8693888
112,1340209
121,817409
123,2075669
148,1691368
152,1247541
168,3983386
171,6416846
177,4098798
181,1732597
201,3734101
205,35320393
209,49615773
214,2149063
216,1562549
240,1514553
267,2309338
279,389170
290,1966991
291,1424057
295,1127164
322,978392
325,2071661
359,15444615
362,3592410
383,1123924
407,1056852
423,1173896
462,1517554
464,2788872
466,967073
470,4100123
500,716376
502,1107267
507,4765904
516,1982988
529,2214185
546,1648433
549,11601553
554,25228329
555,934938
556,5219312
562,3153505
580,6123743
591,6756956
627,12768142
632,3976982
641,13642420
643,3826059
670,30589983
671,948001
696,12925251
700,3265839
707,2950193
748,2214328
759,2452333
760,14764168
768,841201
776,2110353
792,1460237
803,2567207
806,228598
813,1730938
825,3572447
829,3682034
835,5376838
838,6379373
848,2180064
849,3428256
861,15263027
863,9690991
877,11567978
888,4992044
895,1668957
913,3335648
922,4005824
940,1653505
949,6375108
959,3333306
960,7195721
968,5725846
970,10793912
976,1056772
980,9019609
981,1329631
984,2248643
988,1124828
989,12828947
998,414178
