entity,domain
4,-4.637596825438658E-11
27,-8.134800988884203E-11
29,-2.615300504837538E-10
37,-1.398881665378218E-10
38,1.3684711943917352E-11
48,2.0907198803207064E-11
76,3.6492565183779603E-10
79,3.8925402862698243E-10
88,1.9006544366551877E-10
100,1.2924450169255276E-11
102,4.8656753578372804E-11
110,2.9802261566753345E-10
112,-5.3218324226345255E-12
121,4.181439760641413E-12
123,9.731350715674561E-11
148,-4.181439760641413E-11
152,-3.9533612282427904E-11
168,1.429292136364701E-10
171,4.6566031718207855E-11
177,-8.362879521282826E-11
181,-5.777989487431771E-11
201,2.820571183996299E-10
205,1.5326877377187435E-9
209,-2.1408971574484035E-9
214,-7.754670101553166E-11
216,2.2807853239862253E-12
240,9.807376893140769E-11
267,-2.0222963206011197E-10
279,2.470850767651744E-12
290,6.918382149424883E-11
291,-4.447531381773139E-11
295,3.877335050776583E-11
322,3.8013088733103753E-13
325,2.4328376789186402E-11
359,2.372016736945674E-10
362,-2.6000952693442966E-10
383,2.1287329690538102E-11
407,-3.307138719780027E-11
423,4.5615706479724504E-11
462,5.245806245168318E-11
464,7.906722456485581E-11
466,8.743010408613863E-12
470,1.550934020310633E-10
500,-3.497204163445545E-11
502,-5.4715087268894226E-11
507,-2.463248149905123E-10
516,-3.6492565183779604E-11
529,5.473884777566941E-11
546,1.4444973718579427E-11
549,-5.473884777566941E-10
554,1.8626412687283142E-10
555,3.915348139509687E-11
556,3.3451518085131305E-11
562,-1.3228554879120108E-10
580,-9.427246005809731E-11
591,-1.5205235493241502E-11
627,-7.724259630566683E-10
632,-5.017727712769696E-11
641,-8.133533540113638E-10
643,7.602617746620751E-12
670,1.3745532885890319E-9
671,-1.558536638057254E-11
696,9.313206343641571E-11
700,1.1555978974863542E-10
707,-1.398881665378218E-10
748,-3.1550863648476116E-11
759,-2.2807853239862252E-11
760,8.514931876215241E-11
768,3.0410470986483002E-12
776,4.181439760641413E-11
792,9.883403070606976E-12
803,-2.721737153290229E-10
806,2.8509816549827816E-13
813,-8.971088941012487E-11
825,1.6953837574964273E-10
829,8.514931876215241E-11
835,4.1662345251481716E-10
838,-1.0035455425539391E-10
848,7.678643924086959E-11
849,2.0070910851078783E-10
861,-8.758215644107106E-10
863,3.2843308665401646E-10
877,-4.2574659381076205E-10
888,3.4148423260019095E-11
895,-3.0410470986483002E-12
913,-1.0187507780471807E-10
922,1.5205235493241501E-12
940,-7.602617746620752E-11
949,-2.6761214468105044E-10
959,8.666984231147656E-11
960,1.8246282591889802E-11
968,3.1626889825942323E-10
970,1.8854492011619463E-10
976,-6.918382149424883E-11
980,3.4667936924590625E-10
981,2.965020921182093E-11
984,-5.1697800677021104E-11
988,7.993835444959015E-11
989,7.602617746620751E-10
998,-4.3715052043069314E-12
