entity,brand,screen_type,supported_aspect_ratio,response_time(ms),screen_size_diagonal,day
22_2,Philips Electronics,LCD Monitor,5:04,5.097122095779921,48.696302103531806,1.0
25_2,Philips Electronics,LCD Monitor;LCD Monitor,16:10,4.098358919613531,46.38005471085959,0.8395594133469749
27_2,Philips Electronics,LCD Monitor,16:09,4.931700349519623,53.99458269110638,1.0
28_2,Philips Electronics,TFT LCD 16.7 Million Colour;LED,16:09,4.071063551733059,45.40688179328192,0.8191027694455216
32_2,Philips Electronics,LCD Monitor,16:09,5.122486716981502,61.18114708148955,1.0
33_2,Philips Electronics,LCD Monitor,16:09,2.264967414665972,61.67569104729161,1.0
39_2,Philips Electronics,Brilliance LCD Monitor,16:09,4.632444941775066,67.31135706971934,1.0
40_2,Philips Electronics,TFT LCD Million Colour;TFT/LCD,16:09,3.987230590973911,57.33152899273995,0.8191027694455216
41_2,Philips Electronics,TFT/LCD;TFT LCD 16.7 Million Colour;LCD Monitor,16:09,4.971420761009724,67.07188225771151,1.0
62_2,Philips Electronics,IPS;IPS TFT LCD 16.7 Million Colour;LCD Monitor,16:09,13.977018718042494,60.812971174368066,1.0
88_2,iiyama North America,LCD;TN+Film;TFT Brilliance LCD 16.7 million Colour,16:09,2.051771119410109,58.36735903436519,1.0
103_2,Hannspree,LCD Monitor;LED Backlight 16.7 Million Colour;LED,16:09,4.958776700386169,50.85990067988198,1.0
128_2,Asus,LCD Monitor,16:10,6,61,1
132_2,Asus,LCD Monitor,21:09,5.007046616152358,72.74167381648078,1.0
133_2,Asus,LCD Monitor;IGZO;Widescreen 1.07 Colour,16:09,7.95000425066484,81.47682034870986,1.0
168_2,Asus,LCD Monitor;LCD;Monitor,16:09,1.9907140575198028,69.4616539567002,1.0
171_2,Asus,LCD Monitor,16:09,2,68.6,1
186_2,Asus,Monitor;LED 16.7 million Colour;LCD Monitor,16:10,4.799534360391388,55.23768257685186,1.0
190_2,Asus,Monitor;Widescreen IPS 16.7 Million Colour;Brilliance LCD Monitor,16:09,5.048141473642447,71.47115208862627,1.0
193_2,iiyama North America,LED Backlight LCD IPS Panel 16.7 million Colour;Brilliance LCD Monitor,16:09,4.250166543397229,49.03921870160346,0.8191027694455216
22_1,Philips Electronics,LCD Monitor;LCD Monitor;LCD,5:04,5,0,1.0
25_1,Philips Electronics,LCD Monitor;LCD Monitor,16:10,5,0,1.0
