entity,brand,screen_type,supported_aspect_ratio,response_time(ms),screen_size_diagonal,day
22_2,Philips Electronics,LCD Monitor,5:04,5.09889889854947,48.67139013886432,1.0
25_2,Philips Electronics,LCD Monitor;LCD Monitor,16:10,4.086382535876215,46.24960893302814,0.8372520797858515
27_2,Philips Electronics,LCD Monitor,16:09,4.931682667926537,53.96733746056571,1.0
28_2,Philips Electronics,TFT LCD 16.7 Million Colour;LED,16:09,4.065347218704645,45.35376014989797,0.8181718156524229
32_2,Philips Electronics,LCD Monitor,16:09,5.1214112334658415,61.20910456003642,1.0
33_2,Philips Electronics,LCD Monitor,16:09,2.2945940946696326,61.66382125771629,1.0
39_2,Philips Electronics,Brilliance LCD Monitor,16:09,4.625480951771901,67.35050584416,1.0
40_2,Philips Electronics,TFT LCD Million Colour;TFT/LCD,16:09,3.9830115705073177,57.27907220564715,0.8181718156524229
41_2,Philips Electronics,TFT/LCD;TFT LCD 16.7 Million Colour;LCD Monitor,16:09,4.9696702079419035,67.05265790829982,1.0
62_2,Philips Electronics,IPS;IPS TFT LCD 16.7 Million Colour;LCD Monitor,16:09,13.987421596414116,60.82143754652134,1.0
88_2,iiyama North America,LCD;TN+Film;TFT Brilliance LCD 16.7 million Colour,16:09,2.0516563338000227,58.36676884478594,1.0
103_2,Hannspree,LCD Monitor;LED Backlight 16.7 Million Colour;LED,16:09,4.959793723332858,50.88235246204927,1.0
128_2,Asus,LCD Monitor,16:10,6.075317464,60.7452146,1
132_2,Asus,LCD Monitor,21:09,5.01079522163585,72.79525249771544,1.0
133_2,Asus,LCD Monitor;IGZO;Widescreen 1.07 Colour,16:09,7.947463058518095,81.53223915086775,1.0
168_2,Asus,LCD Monitor;LCD;Monitor,16:09,1.9907325120277264,69.47475772512956,1.0
171_2,Asus,LCD Monitor,16:09,1.882792081,68.6,1
186_2,Asus,Monitor;LED 16.7 million Colour;LCD Monitor,16:10,4.798988236082887,55.24687100952584,1.0
190_2,Asus,Monitor;Widescreen IPS 16.7 Million Colour;Brilliance LCD Monitor,16:09,5.048601041089379,71.43781417846108,1.0
193_2,iiyama North America,LED Backlight LCD IPS Panel 16.7 million Colour;Brilliance LCD Monitor,16:09,4.244345287756931,49.000442273466696,0.8181718156524229
22_1,Philips Electronics,LCD Monitor;LCD Monitor;LCD,5:04,5,0,1.0
25_1,Philips Electronics,LCD Monitor;LCD Monitor,16:10,5,0,1.0
27_1,Philips Electronics,LCD Monitor;LCD Monitor;TFT Brilliance LCD 16.7 Million Colour,16:09,5,0,1.0
28_1,Philips Electronics,TFT LCD 16.7 Million Colour;LED,16:09,5,0,1.0
32_1,Philips Electronics,LCD Monitor;LCD Monitor;LED,16:09,5,0,1.0
33_1,Philips Electronics,LCD Monitor;LCD Monitor;TFT LCD 16.7 Million Colour,16:09,1,0,1.0
39_1,Philips Electronics,LCD Monitor,16:09,5,0,1.0
40_1,Philips Electronics,TFT LCD Million Colour;TFT/LCD,16:09,5,0,1.0
