entity,brand,screen_type,supported_aspect_ratio,response_time(ms),screen_size_diagonal,day
22_2,Philips Electronics,LCD Monitor,5:04,5.0946007426053415,48.734137981318625,1.0
25_2,Philips Electronics,LCD Monitor;LCD Monitor,16:10,4.1017889116206705,46.44564057433613,0.8398804694162006
27_2,Philips Electronics,LCD Monitor,16:09,4.931384071120593,54.06274711949677,1.0
28_2,Philips Electronics,TFT LCD 16.7 Million Colour;LED,16:09,4.078006725227467,45.5262815017376,0.8206670475231252
32_2,Philips Electronics,LCD Monitor,16:09,5.125890321303192,61.18180788143087,1.0
33_2,Philips Electronics,LCD Monitor,16:09,2.228030624014377,61.710081360793545,1.0
39_2,Philips Electronics,Brilliance LCD Monitor,16:09,4.6424593951516435,67.21581676922301,1.0
40_2,Philips Electronics,TFT LCD Million Colour;TFT/LCD,16:09,3.992308947467537,57.393112383864015,0.8206670475231252
41_2,Philips Electronics,TFT/LCD;TFT LCD 16.7 Million Colour;LCD Monitor,16:09,4.97523817239947,67.06395806409598,1.0
62_2,Philips Electronics,IPS;IPS TFT LCD 16.7 Million Colour;LCD Monitor,16:09,13.95687154802096,60.77532539617959,1.0
88_2,iiyama North America,LCD;TN+Film;TFT Brilliance LCD 16.7 million Colour,16:09,2.0512296513257775,58.325925049986644,1.0
103_2,Hannspree,LCD Monitor;LED Backlight 16.7 Million Colour;LED,16:09,4.952802097982773,50.86076872298305,1.0
128_2,Asus,LCD Monitor,16:10,6,61,1
132_2,Asus,LCD Monitor,21:09,5.0016526303147595,72.64713887445232,1.0
133_2,Asus,LCD Monitor;IGZO;Widescreen 1.07 Colour,16:09,7.951800247086147,81.33351403243945,1.0
168_2,Asus,LCD Monitor;LCD;Monitor,16:09,1.9908412793545698,69.39178856402849,1.0
171_2,Asus,LCD Monitor,16:09,2,68.6,1
186_2,Asus,Monitor;LED 16.7 million Colour;LCD Monitor,16:09,4.798664093474989,55.241569199335046,1.0
190_2,Asus,Monitor;Widescreen IPS 16.7 Million Colour;Brilliance LCD Monitor,16:09,5.05051598087505,71.54729474651084,1.0
193_2,iiyama North America,LED Backlight LCD IPS Panel 16.7 million Colour;Brilliance LCD Monitor,16:09,4.264302595163889,49.128533356203796,0.8206670475231252
22_1,Philips Electronics,LCD Monitor;LCD Monitor;LCD,5:04,5,0,1.0
25_1,Philips Electronics,LCD Monitor;LCD Monitor,16:10,5,0,1.0
27_1,Philips Electronics,LCD Monitor;LCD Monitor;TFT Brilliance LCD 16.7 Million Colour,16:09,5,0,1.0
28_1,Philips Electronics,TFT LCD 16.7 Million Colour;LED,16:09,5,0,1.0
