entity,Domain,Conditions,Humidity,day
5.0,Austin,Rain,93,1.0
10.0,Austin,Rain,93,1.0
12.999999999999998,Austin,Cloudy,81,1.0
24.999999999999993,Austin,Cloudy,81,1.0
30.999999999999993,Austin,Cloudy,84,1.0
35.0,Austin,Cloudy,81,1.0
37.99999999999999,Austin,Cloudy,85,1.0
39.0,Austin,Cloudy,87,1.0
43.0,Austin,Cloudy,93,1.0
49.999999999999986,Austin,Cloudy,81,1.0
60.0,Austin,Overcast,85.0,1.0
91.00000000000001,Austin,Partly Cloudy,64,1.0
103.99999999999999,Austin,Clear,80,1.0
111.99999999999997,Austin,Clear,53,1.0
130.0,Austin,Cloudy,88,1.0
132.0,Austin,Cloudy,88,1.0
145.0,Austin,Cloudy,81,1.0
148.99999999999997,Austin,Rain,93,1.0
154.00000000000003,Austin,Cloudy,93,1.0
156.0,Austin,Rain,100,1.0
166.99999999999997,Austin,Cloudy;Fog;Fog And Mist;Light Rain;Light Rain Mist,100,1.0
173.99999999999997,Austin,Mist/Fog,92.99999999999999,1.0
205.0,Austin,Fog;Overcast;Showers;Mist,93,1.0
208.99999999999997,Austin,Fog,93,1.0
251.00000000000003,Austin,Mist/Fog,86.0,1.0
254.0,Austin,Mist/Fog,86.0,1.0
257.0,Austin,Overcast with Haze,80.0,1.0
258.99999999999994,Austin,Cloudy,76,1.0
273.0,Austin,Rain,87,1.0
275.0,Austin,Rain,93,1.0
280.0,Austin,Rain,100,1.0
301.99999999999994,Austin,Overcast,80.0,1.0
314.0,Austin,Mist/Light Rain Fog,92.99999999999999,1.0
315.0,Austin,Mist/Light Rain Fog,90.0,1.0
323.99999999999994,Baltimore,Mostly Cloudy,43,1.0
342.00000000000006,Baltimore,Clear,52,1.0
376.00000000000006,Austin,Fair,43.0,1.0
381.99999999999994,Austin,A Few Clouds,56.99999999999999,1.0
397.9999999999999,Austin,Overcast,40.0,1.0
407.0,Baltimore,Cloudy,36,1.0
408.0,Baltimore,Cloudy,36,1.0
428.0,Baltimore,Snow,79,1.0
440.99999999999994,Baltimore,Light Snow,80,1.0
462.0,Baltimore,Sunny,33,1.0
467.00000000000006,Baltimore,Sunny,37,1.0
482.99999999999994,Baltimore,Clear,61,1.0
