entity,Domain,Conditions,Humidity,day
5,Austin,Rain,93,1
10,Austin,Rain,95,1
13,Austin,Cloudy,82,1
25,Austin,Cloudy,81,1
31,Austin,Cloudy,84,1
35,Austin,Cloudy,86,1
38,Austin,Cloudy,85,1
39,Austin,Cloudy,85,1
43,Austin,Showers,93,1
50,Austin,Fog,88,1
60,Dallas,Overcast,85,1
91,Austin,Partly Cloudy,64,1
104,Austin,Partly Sunny,80,1
112,Austin,Partly Sunny,55,1
130,Austin,Cloudy,88,1
132,Austin,Cloudy,88,1
145,Austin,Cloudy,81,1
149,Austin,Rain,96,1
154,Austin,Showers,92,1
156,Austin,Rain,93,1
167,Austin,Fog,100,1
174,Fort Worth,Mist/Fog,93,1
205,Austin,Showers,96,1
209,Austin,Rain,100,1
251,Fort Worth,Mist/Fog,86,1
254,Fort Worth,Mist/Fog,86,1
257,Fort Worth,Overcast with Haze,80,1
259,Austin,Cloudy,76,1
273,Austin,Rain,89,1
275,Austin,Rain,93,1
1080,Charlotte,Cloudy,77,1
1968,Dallas,Cloudy,68,1
2014,Dallas,Cloudy,74,1
2051,Dallas,Cloudy,78,1
2053,Dallas,Cloudy,82,1
2120,Dallas,Cloudy,78,1
2611,Detroit,Cloudy,63,1
3017,El Paso,Cloudy,82,1
3547,Houston,Partly Cloudy,79,1
3650,Houston,Cloudy,78,1
3659,Houston,Cloudy,75,1
4051,Indianapolis,Cloudy,75,1
4280,Jacksonville,Cloudy,93,1
5268,Memphis,Cloudy,55,1
5316,Memphis,Cloudy,59,1
5479,Milwaukee,Cloudy,64,1
5485,Milwaukee,Cloudy,52,1
5765,Nashville,Cloudy,58,1
5953,Nashville,Cloudy,72,1
6021,Nashville,Cloudy,62,1
7314,Phoenix,Cloudy,64,1
7449,Portland,Showers,79,1
8208,San Diego,Cloudy,80,1
8280,San Diego,Mostly Cloudy,77,1
8792,San Jose,Cloudy,80,1
9584,Milwaukee,Mist/Fog,85,1
1388,Chicago,Mostly Cloudy,59,1
1393,Chicago,Intermittent Clouds,62,1
1403,Chicago,Cloudy,74,1
1406,Chicago,Intermittent Clouds,76,1
1411,Chicago,Mostly Cloudy,80,1
1416,Chicago,Mostly Sunny,80,1
1472,Chicago,Partly Sunny,63,1
2010,Dallas,Cloudy,80,1
2024,Dallas,Cloudy,74,1
2026,Dallas,Cloudy,71,1
2047,Dallas,Cloudy,81,1
2885,El Paso,Cloudy,85,1
2889,El Paso,Mostly Cloudy,75,1
2895,El Paso,Partly Sunny,64,1
2969,El Paso,Clear,62,1
2974,El Paso,Clear,75,1
2995,El Paso,Cloudy,42,1
3002,El Paso,Mostly Clear,65,1
3024,El Paso,Cloudy,44,1
3026,El Paso,Mostly Cloudy,40,1
3291,Fort Worth,Cloudy,78,1
3296,Fort Worth,Cloudy,74,1
3302,Fort Worth,Cloudy,77,1
3307,Fort Worth,Cloudy,74,1
3314,Fort Worth,Cloudy,74,1
3316,Fort Worth,Cloudy,78,1
3319,Fort Worth,Cloudy,78,1
3324,Fort Worth,Cloudy,81,1
3343,Fort Worth,Cloudy,81,1
3534,Houston,Cloudy,85,1
3856,Indianapolis,Intermittent Clouds,59,1
3951,Indianapolis,Mostly Sunny,55,1
3954,Indianapolis,Mostly Sunny,55,1
3980,Indianapolis,Sunny,68,1
3983,Indianapolis,Sunny,58,1
4306,Jacksonville,Partly Sunny,70,1
4584,Las Vegas,Mostly Sunny,75,1
4888,Los Angeles,Sunny,61,1
4899,Los Angeles,Partly Cloudy,82,1
4900,Los Angeles,Hazy Moonlight,82,1
4934,Los Angeles,Clear,83,1
4938,Los Angeles,Hazy Sunshine,83,1
4940,Los Angeles,Sunny,74,1
4941,Los Angeles,Sunny,63,1
4942,Los Angeles,Sunny,51,1
4944,Los Angeles,Mostly Sunny,46,1
4993,Los Angeles,Sunny,68,1
5440,Milwaukee,Mostly Clear,47,1
5446,Milwaukee,Partly Cloudy,60,1
5455,Milwaukee,Partly Sunny,51,1
5526,Milwaukee,Partly Cloudy,64,1
5527,Milwaukee,Partly Cloudy,64,1
5534,Milwaukee,Cloudy,57,1
5548,Milwaukee,Flurries,81,1
5573,Milwaukee,Mostly Cloudy,70,1
5581,Milwaukee,Partly Sunny,45,1
5868,Nashville,Cloudy,77,1
5873,Nashville,Cloudy,74,1
5888,Nashville,Clear,83,1
5905,Nashville,Sunny,42,1
6866,Philadelphia,Sunny,37,1
6910,Philadelphia,Cloudy,64,1
7048,Phoenix,Partly Cloudy,89,1
7052,Phoenix,Partly Sunny,74,1
7055,Phoenix,Partly Sunny,57,1
7126,Phoenix,Partly Sunny,43,1
7131,Phoenix,Mostly Clear,59,1
7146,Phoenix,Partly Sunny,56,1
7150,Phoenix,Intermittent Clouds,37,1
7151,Phoenix,Intermittent Clouds,35,1
7152,Phoenix,Mostly Cloudy,33,1
7464,Portland,Cloudy,85,1
7477,Portland,Cloudy,82,1
7485,Portland,Cloudy,92,1
7497,Portland,Fog,93,1
7553,Portland,Cloudy,67,1
8009,San Diego,Intermittent Clouds,76,1
8100,San Diego,Fog,86,1
8104,San Diego,Intermittent Clouds,85,1
8110,San Diego,Mostly Sunny,62,1
8111,San Diego,Mostly Sunny,66,1
8123,San Diego,Partly Cloudy,79,1
8135,San Diego,Partly Cloudy,82,1
8140,San Diego,Partly Sunny,79,1
8143,San Diego,Partly Sunny,64,1
8649,San Jose,Cloudy,92,1
8969,Seattle,Intermittent Clouds,57,1
9052,Seattle,Cloudy,79,1
9066,Seattle,Showers,92,1
9069,Seattle,Showers,95,1
9076,Seattle,Rain,92,1
9079,Seattle,Showers,96,1
9084,Seattle,Showers,96,1
9423,Washington,Sunny,30,1
