entity,Domain,Conditions,Humidity,day
5.000000000000002,Austin,Rain,93,1.0
10.000000000000004,Austin,Rain,93,1.0
12.999999999999998,Austin,Cloudy,81,1.0
24.999999999999996,Austin,Cloudy,81,1.0
31.000000000000007,Austin,Cloudy,84,1.0
35.0,Austin,Cloudy,81,1.0
38.00000000000001,Austin,Cloudy,85,1.0
39.0,Austin,Cloudy,87,1.0
43.000000000000014,Austin,Cloudy,93,1.0
49.99999999999999,Austin,Cloudy,81,1.0
60.0,Austin,Overcast,85.0,1.0
91.0,Austin,Partly Cloudy,64,1.0
103.99999999999999,Austin,Clear,80,1.0
111.99999999999999,Austin,Clear,53,1.0
130.0,Austin,Cloudy,88,1.0
132.0,Austin,Cloudy,88,1.0
145.0,Austin,Cloudy,81,1.0
149.0,Austin,Rain,93,1.0
153.99999999999997,Austin,Cloudy,93,1.0
156.0,Austin,Rain,100,1.0
167.00000000000003,Austin,Cloudy;Fog;Fog And Mist;Light Rain;Light Rain Mist,100,1.0
174.0,Austin,Mist/Fog,92.99999999999999,1.0
205.0,Austin,Fog;Overcast;Showers;Mist,93,1.0
208.99999999999997,Austin,Fog,93,1.0
251.00000000000003,Austin,Mist/Fog,86.00000000000003,1.0
254.0,Austin,Mist/Fog,86.00000000000003,1.0
257.0,Austin,Overcast with Haze,80.00000000000003,1.0
259.0,Austin,Cloudy,76,1.0
273.00000000000006,Austin,Rain,87,1.0
275.0,Austin,Rain,93,1.0
280.0,Austin,Rain,100,1.0
302.00000000000006,Austin,Overcast,80.00000000000003,1.0
314.00000000000006,Austin,Mist/Light Rain Fog,92.99999999999999,1.0
315.00000000000006,Austin,Mist/Light Rain Fog,90.0,1.0
324.00000000000006,Baltimore,Mostly Cloudy,43,1.0
342.0,Baltimore,Clear,52,1.0
376.00000000000006,Austin,Fair,43.000000000000014,1.0
382.00000000000006,Austin,A Few Clouds,57.0,1.0
397.99999999999994,Austin,Overcast,40.000000000000014,1.0
407.0,Baltimore,Cloudy,36,1.0
408.0,Baltimore,Cloudy,36,1.0
428.0000000000001,Baltimore,Snow,79,1.0
441.00000000000006,Baltimore,Light Snow,80,1.0
462.0,Baltimore,Sunny,33,1.0
467.0,Baltimore,Sunny,37,1.0
483.0,Baltimore,Clear,61,1.0
496.0000000000001,Austin,Mainly Cloudy,65.0,1.0
498.0000000000001,Austin,Partly Cloudy,60.0,1.0
517.0,Baltimore,Mostly Clear,55,1.0
528.0,Baltimore,Mostly Cloudy;Clean;Intermittent Clouds,81,1.0
535.0000000000001,Baltimore,Cloudy,81,1.0
552.0,Austin,Mostly Cloudy,61.00000000000001,1.0
565.0000000000001,Austin,Overcast,75.0,1.0
600.0,Baltimore,Cloudy,86,1.0
611.0,Austin,Light Snow,79.0,1.0
625.0,Austin,Mist/Fog,85.0,1.0
646.0,Boston,Clear,42,1.0
649.0,Boston,Sunny,38,1.0
655.0000000000001,Boston,Mostly Sunny;Partly Cloudy,26,1.0
660.0000000000001,Boston,Clear,36,1.0
669.0,Boston,Cloudy,40,1.0
671.0,Boston,Cloudy,44,1.0
673.0000000000001,Boston,Mostly Cloudy;Mostly,44,1.0
676.0000000000001,Boston,Clear,48,1.0
684.0,Boston,Not totally Cloudy;Partly Sunny,36,1.0
692.0000000000001,Boston,Partly Cloudy;Mainly Sunny;Mostly Clear,29,1.0
730.9999999999999,Boston,Clear,31,1.0
733.9999999999999,Boston,Clear,36,1.0
746.0,Boston,Scattered Clouds;Mostly Cloudy;Cloudy;Partly,40,1.0
755.9999999999999,Boston,Cloudy,38,1.0
768.0000000000001,Boston,Cloudy,45,1.0
773.9999999999999,Boston,Not totally Sunny;Scattered Clouds;Not totally Cloudy,38,1.0
776.0000000000001,Boston,Partly Cloudy;Scattered Clouds;Partly,35,1.0
789.0,Boston,Cloudy,58,1.0
791.0000000000001,Boston,Cloudy,56,1.0
798.0,Boston,Clear,63,1.0
801.0,Boston,Clear,65,1.0
831.0,Boston,Partly Sunny;Partly;Scattered Clouds,58,1.0
837.0,Boston,Not totally Cloudy;Partly Cloudy;Mostly Clear,31,1.0
843.0000000000001,Boston,Overcast;Cloudy,44,1.0
847.9999999999999,Boston,Partly Cloudy,48,1.0
