entity,Domain,Conditions,Humidity,day
5,Austin,Rain;Light Rain,93,1
10,Austin,Rain,93,1
13,Austin,Cloudy;Overcast,81,1
25,Austin,Cloudy,81,1
31,Austin,Cloudy,84,1
35,Austin,Cloudy;Overcast,81,1
38,Austin,Cloudy,85,1
39,Austin,Cloudy,87,1
43,Austin,Cloudy;Overcast;Showers,93,1
50,Austin,Cloudy;Fog;Haze,81,1
60,,Overcast,85,1
91,Austin,Not totally Cloudy;Partly Cloudy,64,1
104,Austin,Clear;Not totally Sunny,80,1
112,Austin,Sunny;Clear,53,1
130,Austin,Cloudy,88,1
132,Austin,Cloudy,88,1
145,Austin,Cloudy,81,1
149,Austin,Rain;Light Rain,93,1
154,Austin,Cloudy;Overcast;Showers,93,1
156,Austin,Rain;Light Rain,100,1
167,Austin,Cloudy;Fog;Fog And Mist;Light Rain;Light Rain Mist,100,1
174,,Mist/Fog,93,1
205,Austin,Fog;Overcast;Showers;Mist,93,1
209,Austin,Fog;Overcast;Rain,93,1
251,,Mist/Fog,86,1
254,,Mist/Fog,86,1
257,,Overcast with Haze,80,1
259,Austin,Cloudy,76,1
273,Austin,Rain;Light Rain,87,1
275,Austin,Rain,93,1
280,Austin,Rain;Light Rain,100,1
302,,Overcast,80,1
314,,Mist/Light Rain Fog,93,1
315,,Mist/Light Rain Fog,90,1
324,Baltimore,Mostly Cloudy;Fair;Clean,43,1
342,Baltimore,Clear,52,1
376,,Fair,43,1
382,,A Few Clouds,57,1
398,,Overcast,40,1
407,Baltimore,Cloudy;Overcast,36,1
408,Baltimore,Cloudy;Overcast,36,1
428,Baltimore,Snow;Fair,79,1
441,Baltimore,Light Snow;Flurries;Light,80,1
462,Baltimore,Sunny;Clear,33,1
467,Baltimore,Sunny;Clear,37,1
483,Baltimore,Clear,61,1
496,,Mainly Cloudy,65,1
498,,Partly Cloudy,60,1
517,Baltimore,Partly Cloudy;Scattered Clouds;Mainly Sunny,55,1
528,Baltimore,Mostly Cloudy;Clean;Intermittent Clouds,81,1
535,Baltimore,Cloudy;Haze,81,1
552,,Mostly Cloudy,61,1
565,,Overcast,75,1
600,Baltimore,Cloudy;Overcast;Mist,86,1
611,,Light Snow,79,1
625,,Mist/Fog,85,1
646,Boston,Clear,42,1
649,Boston,Sunny,38,1
655,Boston,Mostly Sunny;Partly Cloudy,26,1
660,Boston,Clear;Cloudy,36,1
669,Boston,Cloudy,40,1
671,Boston,Cloudy,44,1
673,Boston,Mostly Cloudy;Mostly,44,1
676,Boston,Clear,48,1
684,Boston,Not totally Cloudy;Partly Sunny,36,1
692,Boston,Partly Cloudy;Mainly Sunny;Mostly Clear,29,1
731,Boston,Clear,31,1
734,Boston,Clear,36,1
