entity,Domain,Conditions,Humidity,day
5,Austin,Rain,93,1
10,Austin,Rain,93,1
13,Austin,Mostly Cloudy,81,1
25,Austin,Fog And Mist,87,1
31,Austin,Overcast,87,1
35,Austin,Overcast,81,1
38,Austin,Overcast,81,1
39,Austin,Overcast,87,1
43,Austin,Fog And Mist,87,1
50,Austin,Fog And Mist,81,1
60,,,,
91,Austin,Overcast,65,1
104,Austin,Clear,69,1
112,Austin,Clear,53,1
130,Austin,Overcast,93,1
132,Austin,Overcast,86,1
145,Austin,Overcast,81,1
149,Austin,Light Rain,93,1
154,Austin,Fog And Mist,94,1
156,Austin,Rain,100,1
167,Austin,Fog And Mist,93,1
174,,,,
205,Austin,Fog And Mist,93,1
209,Austin,Fog And Mist,93,1
251,,,,
254,,,,
257,,,,
259,Austin,Hazy,77,1
273,Austin,Light Rain,87,1
275,Austin,Rain,93,1
280,Austin,Light Rain,100,1
302,,,,
314,,,,
315,,,,
324,Baltimore,Fair,38,1
342,Baltimore,Clear,46,1
376,,,,
382,,,,
398,,,,
407,Baltimore,Fair,30,1
408,Baltimore,Fair,33,1
428,Baltimore,Fair,79,1
441,Baltimore,Fair,63,1
462,Baltimore,Fair,29,1
467,Baltimore,Fair,34,1
483,Baltimore,Fair,51,1
496,,,,
498,,,,
517,Baltimore,Fair,48,1
528,Baltimore,Fair,74,1
535,Baltimore,Fair,69,1
552,,,,
565,,,,
600,Baltimore,Fair,81,1
611,,,,
625,,,,
646,Boston,Clear,44,1
649,Boston,Clear,37,1
655,Boston,Partly Cloudy,27,1
660,Boston,Partly Cloudy,31,1
669,Boston,Overcast,39,1
671,Boston,Overcast,46,1
673,Boston,Mostly Cloudy,46,1
676,Boston,Clear,46,1
684,Boston,Partly Cloudy,37,1
692,Boston,Partly Cloudy,29,1
731,Boston,Clear,31,1
734,Boston,Clear,36,1
746,Boston,Mostly Cloudy,40,1
756,Boston,Overcast,38,1
768,Boston,Overcast,45,1
774,Boston,Partly Cloudy,40,1
776,Boston,Partly Cloudy,34,1
789,Boston,Overcast,60,1
791,Boston,Overcast,55,1
798,Boston,Clear,64,1
801,Boston,Clear,64,1
831,Boston,Partly Cloudy,60,1
837,Boston,Partly Cloudy,31,1
843,Boston,Overcast,46,1
848,Boston,Partly Cloudy,46,1
852,Boston,Partly Cloudy,54,1
859,Boston,Overcast,43,1
908,Boston,Overcast,69,1
961,Charlotte,Clear,49,1
965,Charlotte,Partly Cloudy,41,1
997,Charlotte,Fog And Mist,93,1
1000,Charlotte,Fog And Mist,100,1
1001,Charlotte,Mostly Cloudy,93,1
1011,Charlotte,Partly Cloudy,46,1
1074,Charlotte,Overcast,80,1
1080,Charlotte,Overcast,80,1
1083,Charlotte,Partly Cloudy,74,1
1084,Charlotte,Partly Cloudy,80,1
1086,Charlotte,Partly Cloudy,80,1
1107,Charlotte,Clear,47,1
1113,Charlotte,Clear,70,1
1152,Charlotte,Mostly Cloudy,70,1
1154,Charlotte,Partly Cloudy,49,1
1166,Charlotte,Overcast,70,1
1183,Charlotte,Drizzle,93,1
1224,Charlotte,Fog And Mist,93,1
1226,Charlotte,Fog And Mist,93,1
1234,Charlotte,Fog,100,1
1237,Charlotte,Fog,100,1
1239,Charlotte,Fog,100,1
1240,Charlotte,Fog And Mist,93,1
1286,Chicago,Mostly Cloudy,60,1
1288,Chicago,Mostly Cloudy,56,1
1294,Chicago,Mostly Cloudy,49,1
1298,Chicago,Mostly Cloudy,63,1
1304,Chicago,Partly Cloudy,58,1
1308,Chicago,Partly Cloudy,63,1
1313,Chicago,Overcast,63,1
1317,Chicago,Overcast,63,1
1318,Chicago,Overcast,63,1
1331,Chicago,Hazy,55,1
1333,,,,
1335,,,,
1341,,,,
1342,,,,
1343,,,,
1350,,,,
1365,Chicago,Mostly Cloudy,68,1
1388,Chicago,Partly Cloudy,54,1
1393,Chicago,Partly Cloudy,63,1
1403,Chicago,Overcast,73,1
1406,Chicago,Mostly Cloudy,73,1
1411,Chicago,Mostly Cloudy,79,1
1416,Chicago,Partly Cloudy,79,1
1438,Chicago,Hazy,74,1
1440,Chicago,Hazy,74,1
1450,,,,
1462,,,,
1468,,,,
1472,Chicago,Partly Cloudy,61,1
1486,Chicago,Light Snow,93,1
1503,Chicago,Hazy,75,1
1507,,,,
1546,Chicago,Hazy,80,1
1557,Chicago,Hazy,80,1
1570,,,,
1573,,,,
1583,,,,
1588,,,,
1611,Columbus,Overcast,52,1
1614,Columbus,Mostly Cloudy,48,1
1631,Columbus,Mostly Cloudy,73,1
1633,Columbus,Partly Cloudy,79,1
1641,Columbus,Hazy,74,1
1642,Columbus,Hazy,74,1
1646,Columbus,Mostly Cloudy,55,1
1651,Columbus,Mostly Cloudy,44,1
1686,Columbus,Overcast,53,1
1696,Columbus,Overcast,57,1
1703,Columbus,Overcast,57,1
1717,Columbus,Mostly Cloudy,53,1
1723,Columbus,Partly Cloudy,73,1
1740,Columbus,Partly Cloudy,58,1
1745,Columbus,Clear,43,1
1752,Columbus,Overcast,75,1
1753,Columbus,Overcast,75,1
1754,Columbus,Hazy,80,1
1800,Columbus,Overcast,69,1
1871,Columbus,Light Snow,75,1
1874,Columbus,Light Snow,81,1
1926,Dallas,Light Rain,93,1
1940,Dallas,Mostly Cloudy,75,1
1959,Dallas,Fog And Mist,87,1
1961,Dallas,Hazy,81,1
1963,Dallas,Overcast,81,1
1968,Dallas,Overcast,66,1
1985,,,,
1995,,,,
1999,,,,
2010,Dallas,Overcast,75,1
2014,Dallas,Overcast,80,1
2024,Dallas,Overcast,74,1
2026,Dallas,Overcast,74,1
2047,Dallas,Overcast,86,1
2051,Dallas,Overcast,86,1
2053,Dallas,Overcast,86,1
2073,Dallas,Overcast,76,1
2079,Dallas,Fog And Mist,87,1
2091,,,,
2108,,,,
2110,Dallas,Light Rain,88,1
2111,,,,
2112,Dallas,Overcast,88,1
2115,Dallas,Overcast,71,1
2120,Dallas,Overcast,81,1
2121,Dallas,Hazy,81,1
2152,,,,
2161,,,,
2175,,,,
2176,,,,
2180,Dallas,Mostly Cloudy,62,1
2211,,,,
2220,,,,
2223,,,,
2226,,,,
2247,Denver,Partly Cloudy,100,1
2268,Denver,Mostly Cloudy,80,1
2272,Denver,Partly Cloudy,80,1
2273,Denver,Partly Cloudy,74,1
2281,Denver,Partly Cloudy,50,1
2305,,,,
2309,,,,
2318,,,,
2320,,,,
2323,,,,
2328,Denver,Partly Cloudy,30,1
2332,Denver,Partly Cloudy,63,1
2350,Denver,Mostly Cloudy,25,1
2355,Denver,Mostly Cloudy,24,1
2358,Denver,Mostly Cloudy,52,1
2365,Denver,Mostly Cloudy,60,1
2396,Denver,Overcast,48,1
2402,Denver,Overcast,93,1
2417,,,,
2423,,,,
2442,Denver,Clear,54,1
2445,Denver,Partly Cloudy,63,1
2447,Denver,Partly Cloudy,59,1
2451,Denver,Partly Cloudy,54,1
2457,Denver,Partly Cloudy,40,1
2479,,,,
2500,Denver,Mostly Cloudy,41,1
2535,,,,
2543,,,,
2548,,,,
2549,,,,
2552,,,,
2558,,,,
2580,Detroit,Clear,54,1
2589,Detroit,Clear,68,1
2605,Detroit,Mostly Cloudy,54,1
2611,Detroit,Overcast,54,1
2625,,,,
2631,,,,
2648,Detroit,Clear,53,1
2649,Detroit,Clear,57,1
2650,Detroit,Clear,57,1
2672,Detroit,Partly Cloudy,62,1
2685,Detroit,Clear,79,1
2687,Detroit,Clear,79,1
2691,Detroit,Clear,85,1
2692,Detroit,Clear,85,1
2710,Detroit,Overcast,69,1
2712,Detroit,Clear,74,1
2713,Detroit,Partly Cloudy,74,1
2743,,,,
2746,,,,
2755,Detroit,Overcast,69,1
2763,Detroit,Overcast,80,1
2777,Detroit,Light Snow,80,1
2780,Detroit,Hazy,80,1
2798,,,,
2806,,,,
2825,Detroit,Fog And Mist,93,1
2827,Detroit,Light Snow,93,1
2831,Detroit,Fog And Mist,86,1
2832,Detroit,Fog And Mist,93,1
2843,Detroit,Partly Cloudy,69,1
2845,Detroit,Overcast,65,1
2858,,,,
2861,,,,
2877,,,,
2881,El Paso,Light Snow,93,1
2885,El Paso,Overcast,86,1
2889,El Paso,Mostly Cloudy,80,1
2895,El Paso,Partly Cloudy,61,1
2916,El Paso,Mostly Cloudy,76,1
2918,El Paso,Mostly Cloudy,81,1
2936,,,,
2951,,,,
2955,,,,
2962,,,,
2963,,,,
2969,El Paso,Clear,61,1
2974,El Paso,Clear,75,1
2995,El Paso,Overcast,44,1
3002,El Paso,Partly Cloudy,66,1
3017,El Paso,Overcast,81,1
3024,El Paso,Mostly Cloudy,47,1
3026,El Paso,Mostly Cloudy,41,1
3040,El Paso,Light Rain,87,1
3050,,,,
3060,,,,
3076,El Paso,Mostly Cloudy,31,1
3081,El Paso,Mostly Cloudy,47,1
3086,El Paso,Mostly Cloudy,66,1
3111,,,,
3120,,,,
3135,,,,
3136,,,,
3162,El Paso,Light Rain,81,1
3167,El Paso,Heavy Rain,93,1
3176,,,,
3181,,,,
3186,,,,
3194,,,,
3202,,,,
3209,Fort Worth,Light Rain,87,1
3225,Fort Worth,Clear,80,1
3245,Fort Worth,Fog And Mist,87,1
3251,Fort Worth,Overcast,71,1
3259,,,,
3260,,,,
3262,,,,
3263,,,,
3265,,,,
3270,,,,
3291,Fort Worth,Overcast,75,1
3296,Fort Worth,Overcast,69,1
3302,Fort Worth,Overcast,69,1
3307,Fort Worth,Overcast,69,1
3314,Fort Worth,Overcast,69,1
3316,Fort Worth,Overcast,69,1
3319,Fort Worth,Overcast,75,1
3324,Fort Worth,Overcast,80,1
3343,Fort Worth,Overcast,75,1
3351,Fort Worth,Fog And Mist,87,1
3358,Fort Worth,Overcast,81,1
3361,Fort Worth,Light Rain,87,1
3373,,,,
3387,,,,
3398,Fort Worth,Overcast,76,1
3399,Fort Worth,Overcast,76,1
3418,Fort Worth,Overcast,66,1
3424,Fort Worth,Partly Cloudy,66,1
3433,,,,
3435,,,,
3453,,,,
3461,Fort Worth,Partly Cloudy,62,1
3462,Fort Worth,Clear,66,1
3478,Fort Worth,Mostly Cloudy,87,1
3483,Fort Worth,Overcast,66,1
3484,Fort Worth,Light Rain,71,1
3503,,,,
3511,,,,
3512,,,,
3513,,,,
3534,Houston,Overcast,82,1
3544,Houston,Partly Cloudy,75,1
3546,Houston,Clear,81,1
3547,Houston,Clear,81,1
3549,Houston,Partly Cloudy,81,1
3568,Houston,Fog And Mist,94,1
3571,Houston,Fog And Mist,88,1
3705,,,,
4323,Jacksonville,Overcast,82,1
5268,Memphis,Overcast,53,1
5479,Milwaukee,Overcast,67,1
5681,,,,
5683,,,,
6368,New York,Overcast,60,1
6377,,,,
7029,,,,
7314,Phoenix,Overcast,67,1
8208,San Diego,Hazy,82,1
8792,San Jose,Overcast,82,1
9293,Washington,Overcast,36,1
9506,,Mostly,34,1
