entity,Domain,Conditions,Humidity,day
5,,Rain;Light Rain,93,1
10,,Rain,93,1
13,,Cloudy;Overcast,81,1
25,,Cloudy,81,1
31,,Cloudy,84,1
35,,Cloudy;Overcast,81,1
38,,Cloudy,85,1
39,,Cloudy,87,1
43,,Cloudy;Overcast;Showers,93,1
50,,Cloudy;Fog;Haze,81,1
60,,Overcast,85,1
91,,Not totally Cloudy;Partly Cloudy,64,1
104,,Clear;Not totally Sunny,80,1
112,,Sunny;Clear,53,1
130,,Cloudy,88,1
132,,Cloudy,88,1
145,,Cloudy,81,1
149,,Rain;Light Rain,93,1
154,,Cloudy;Overcast;Showers,93,1
156,,Rain;Light Rain,100,1
167,,Cloudy;Fog;Fog And Mist;Light Rain;Light Rain Mist,100,1
174,,Mist/Fog,93,1
205,,Fog;Overcast;Showers;Mist,93,1
209,,Fog;Overcast;Rain,93,1
251,,Mist/Fog,86,1
254,,Mist/Fog,86,1
257,,Overcast with Haze,80,1
259,,Cloudy,76,1
273,,Rain;Light Rain,87,1
275,,Rain,93,1
280,,Rain;Light Rain,100,1
302,,Overcast,80,1
314,,Mist/Light Rain Fog,93,1
315,,Mist/Light Rain Fog,90,1
324,,Mostly Cloudy;Fair;Clean,43,1
342,,Clear,52,1
376,,Fair,43,1
382,,A Few Clouds,57,1
398,,Overcast,40,1
407,,Cloudy;Overcast,36,1
408,,Cloudy;Overcast,36,1
428,,Snow;Fair,79,1
441,,Light Snow;Flurries;Light,80,1
462,,Sunny;Clear,33,1
467,,Sunny;Clear,37,1
483,,Clear,61,1
496,,Mainly Cloudy,65,1
498,,Partly Cloudy,60,1
517,,Partly Cloudy;Scattered Clouds;Mainly Sunny,55,1
528,,Mostly Cloudy;Clean;Intermittent Clouds,81,1
8208,,Cloudy;Haze,80,1
8280,,Cloudy;Haze;Mainly Cloudy,77,1
9584,,Mist/Fog,85,1
692,,Partly Cloudy;Mainly Sunny;Mostly Clear,29,1
673,,Mostly Cloudy;Mostly,44,1
1388,,Partly Cloudy;Scattered Clouds;Not totally Cloudy,54,1
1393,,Mostly Cloudy;Partly;Intermittent Clouds;Partly Cloudy,62,1
1403,,Cloudy;Overcast,74,1
1406,,Cloudy;Mostly Cloudy;Mainly Cloudy,71,1
1411,,Mostly Cloudy;Mainly Cloudy,79,1
1416,,Partly Cloudy;Mostly;Not totally Cloudy;Mostly Sunny,71,1
1472,,Partly Cloudy;Cloudy;Partly;Partly Sunny,61,1
2010,,Cloudy;Overcast,75,1
2014,,Cloudy;Overcast,75,1
2024,,Cloudy;Overcast,74,1
2026,,Cloudy;Overcast,74,1
2047,,Cloudy;Overcast,82,1
2051,,Cloudy;Overcast,82,1
2053,,Cloudy;Overcast,85,1
2110,,Light Rain;Rain;Cloudy,87,1
2112,,Overcast;Cloudy,88,1
2648,,Clear;Mostly Clear,53,1
2649,,Clear;Mostly Clear,57,1
2650,,Clear;Sunny,62,1
2672,,Partly Cloudy;Partly Sunny;Scattered Clouds;Scattered;Not totally Cloudy,62,1
2685,,Clear;Clean;Mostly Clear,79,1
2687,,Clear;Fair,79,1
2691,,Clear;Fair;Mostly Cloudy,85,1
2885,,Cloudy,85,1
2889,,Mostly Cloudy;Cloudy,80,1
2895,,Partly Cloudy;Not totally Cloudy;Partly Sunny,65,1
2969,,Clear;Fair,62,1
2974,,Sunny;Clear,75,1
2995,,Cloudy;Overcast,43,1
