entity,Domain,Conditions,Humidity,day
1388,Chicago,Partly,54.68219418,1
1393,Chicago,Sunny,66.47046525,1
1403,Chicago,Cloudy,67.30537652,1
1406,Chicago,Cloudy,73.64462566,1
1411,Chicago,Cloudy,70.05357229,1
1416,Chicago,Partly,77.21803375,1
1472,Chicago,Partly,54.8480558,1
2010,Dallas,Cloudy,81.72339755,1
2014,Dallas,Cloudy,73.30273691,1
2024,Dallas,Cloudy,74.42623104,1
2026,Dallas,Cloudy,80.45432699,1
2047,Dallas,Cloudy,87.47334105,1
2051,Dallas,Cloudy,81.10265895,1
2053,Dallas,Cloudy,78.31252945,1
2110,Dallas,Light,85.28017234,1
2112,Dallas,Cloudy,83.21833282,1
2648,Detroit,Mostly,65.5610247,1
2649,Detroit,Mostly,61.96179825,1
2650,Detroit,Mostly,61.29303668,1
2672,Detroit,Partly,51.26638698,1
2685,Detroit,Mostly,85.63260863,1
2687,Detroit,Cloudy,78.96361223,1
2691,Detroit,Cloudy,82.99067056,1
2885,El Paso,Cloudy,82.96108613,1
2889,El Paso,Mostly,78.28276752,1
2895,El Paso,Sunny,57.78192771,1
2969,El Paso,Sunny,67.22271252,1
2974,El Paso,Sunny,79.05995611,1
2995,El Paso,Cloudy,42.44390341,1
3002,El Paso,Mostly,65.00982833,1
3017,El Paso,Cloudy,79.1334454,1
3024,El Paso,Cloudy,40.77988286,1
3026,El Paso,Mostly,38.61306636,1
3209,Fort Worth,Rain,88.77823074,1
3291,Fort Worth,Snow,80.58241345,1
3296,Fort Worth,Cloudy,68.78659752,1
3302,Fort Worth,Cloudy,77.3288121,1
3307,Fort Worth,Cloudy,63.90182297,1
3314,Fort Worth,Cloudy,69.42895959,1
3316,Fort Worth,Cloudy,82.1344749,1
3319,Fort Worth,Cloudy,74.11558458,1
3324,Fort Worth,Cloudy,78.25830921,1
3343,Fort Worth,Cloudy,83.39341562,1
3534,Houston,Cloudy,73.85357383,1
3608,Houston,Cloudy,72.46518372,1
3623,Houston,Cloudy,65.23632049,1
3625,Houston,Cloudy,69.09320564,1
3627,Houston,Cloudy,60.64112245,1
3632,Houston,Cloudy,57.65848996,1
3634,Houston,Cloudy,59.14747291,1
3641,Houston,Cloudy,72.33966716,1
3643,Houston,Cloudy,65.31102961,1
3645,Houston,Cloudy,67.78216229,1
3650,Houston,Cloudy,69.5456374,1
3659,Houston,Cloudy,81.38938737,1
3666,Houston,Cloudy,67.25107808,1
3856,Indianapolis,Cloudy,63.95365021,1
3951,Indianapolis,Sunny,64.83630216,1
3954,Indianapolis,Sunny,72.70625924,1
3980,Indianapolis,Sunny,65.03072904,1
3983,Indianapolis,Sunny,66.23068307,1
4178,Jacksonville,Cloudy,69.01987024,1
4259,Jacksonville,Cloudy,93.92022548,1
4280,Jacksonville,Cloudy,79.71432959,1
4292,Jacksonville,Cloudy,79.26005679,1
4306,Jacksonville,Mostly,74.4969045,1
4584,Las Vegas,Sunny,72.0921085,1
4672,Las Vegas,Partly,56.74179455,1
4800,Los Angeles,Sunny,68.13023319,1
4810,Los Angeles,Sunny,70.94442109,1
4815,Los Angeles,Sunny,38.63446143,1
4888,Los Angeles,Sunny,49.95667969,1
4899,Los Angeles,Mostly,81.12125668,1
4900,Los Angeles,Cloudy,85.11170163,1
4934,Los Angeles,Sunny,86.99887228,1
4938,Los Angeles,Sunny,93.90936369,1
4940,Los Angeles,Sunny,84.67700571,1
4941,Los Angeles,Sunny,61.20648721,1
4942,Los Angeles,Sunny,50.26903707,1
4944,Los Angeles,Sunny,41.50025464,1
4993,Los Angeles,Sunny,37.27027548,1
5132,Memphis,Freezing,84.49380645,1
5209,Memphis,Freezing,86.67845707,1
5214,Memphis,Light Drizzle,87.64753686,1
5229,Memphis,Cloudy,84.21407416,1
5248,Memphis,Sunny,83.26697293,1
5263,Memphis,Sunny,71.54057238,1
5312,Memphis,Cloudy,69.45997421,1
5440,Milwaukee,Sunny,46.96253491,1
5446,Milwaukee,Sunny,56.40685637,1
5455,Milwaukee,Sunny,36.43500001,1
5526,Milwaukee,Sunny,49.07182236,1
5527,Milwaukee,Sunny,44.02940659,1
5534,Milwaukee,Light,50.56757209,1
5548,Milwaukee,Snow,72.62109497,1
5573,Milwaukee,Cloudy,72.64923368,1
5581,Milwaukee,Sunny,40.96384307,1
5632,Milwaukee,Sunny,49.66381378,1
5765,Nashville,Cloudy,54.77443885,1
5768,Nashville,Light,51.2266253,1
5868,Nashville,Cloudy,79.10087572,1
5873,Nashville,Cloudy,78.64852574,1
5888,Nashville,Sunny,86.20532952,1
5905,Nashville,Sunny,45.18140489,1
5953,Nashville,Cloudy,73.10918469,1
6724,Philadelphia,Sunny,46.66770325,1
6728,Philadelphia,Sunny,43.58603246,1
6824,Philadelphia,Partly,43.9079692,1
6833,Philadelphia,Snow,67.6085503,1
6841,Philadelphia,Cloudy,49.12327232,1
6850,Philadelphia,Sunny,55.73538782,1
6866,Philadelphia,Sunny,32.65123776,1
6910,Philadelphia,Cloudy,65.62422769,1
7048,Phoenix,Sunny,85.86926376,1
7052,Phoenix,Sunny,74.86749452,1
7055,Phoenix,Cloudy,60.13950991,1
7126,Phoenix,Sunny,38.32148374,1
7131,Phoenix,Mostly,64.46989826,1
7146,Phoenix,Mostly,52.16133425,1
7150,Phoenix,Sunny,34.04620028,1
7151,Phoenix,Sunny,31.9059659,1
7152,Phoenix,Sunny,33.41292552,1
7170,Phoenix,Sunny,50.4220058,1
7176,Phoenix,Partly,59.36062277,1
7179,Phoenix,Sunny,45.37675128,1
7182,Phoenix,Sunny,40.7662798,1
7183,Phoenix,Sunny,40.52246888,1
7375,Portland,Cloudy,73.09168516,1
7449,Portland,Light,86.20077985,1
7464,Portland,Cloudy,81.32288442,1
7477,Portland,Cloudy,83.54296365,1
7485,Portland,Cloudy,86.03328574,1
7497,Portland,Cloudy,89.05550905,1
7553,Portland,Sunny,70.91876235,1
7691,San Antonio,Light,80.4985647,1
7765,San Antonio,Partly,55.9260717,1
7776,San Antonio,Sunny,65.95128055,1
7778,San Antonio,Sunny,66.41357437,1
7802,San Antonio,Sunny,78.81149763,1
7811,San Antonio,Cloudy,92.27201779,1
7824,San Antonio,Cloudy,80.49274339,1
8009,San Diego,Sunny,77.90967813,1
8100,San Diego,Light,81.13648798,1
8104,San Diego,Light,92.61414083,1
8110,San Diego,Sunny,54.59263662,1
8111,San Diego,Sunny,58.13092974,1
8123,San Diego,Sunny,77.62707004,1
8135,San Diego,Sunny,93.6175067,1
8140,San Diego,Sunny,99.86460954,1
8143,San Diego,Sunny,66.82351629,1
8336,San Francisco,Cloudy,76.43521074,1
8649,San Jose,Cloudy,88.33022823,1
8969,Seattle,Cloudy,50.86039737,1
9052,Seattle,Cloudy,61.69778448,1
9066,Seattle,Light,90.15023118,1
9069,Seattle,Light,89.16090951,1
9076,Seattle,Light,94.28956007,1
9079,Seattle,Cloudy,84.16213884,1
9084,Seattle,Cloudy,89.52501421,1
9280,Washington,Cloudy,39.32812338,1
9293,Washington,Cloudy,39.39053405,1
9296,Washington,Cloudy,35.60508522,1
9372,Washington,Cloudy,38.59742159,1
9379,Washington,Cloudy,39.63332798,1
9385,Washington,Heavy,71.18407643,1
9390,Washington,Snow,73.22490247,1
9394,Washington,Snow,86.41290066,1
9423,Washington,Sunny,29.5572293,1
9425,Washington,Sunny,30.70867015,1
