entity,Domain,Conditions,Humidity,day
5,Austin,Rain,,1
10,Austin,Rain,,1
13,Austin,Cloudy,,1
25,Austin,Cloudy,,1
31,Austin,Cloudy,,1
35,Austin,Cloudy,,1
38,Austin,Cloudy,,1
39,Austin,Cloudy,,1
43,Austin,Cloudy,,1
50,Austin,Cloudy,,1
60,,,,
91,Austin,Partly Cloudy,,1
104,Austin,Fair,,1
112,Austin,Fair,,1
130,Austin,Cloudy,,1
132,Austin,Cloudy,,1
145,Austin,Cloudy,,1
149,Austin,Light Rain,,1
154,Austin,Cloudy,,1
156,Austin,Rain,,1
167,Austin,Cloudy,,1
174,,,,
205,Austin,Fog,,1
209,Austin,Fog,,1
251,,,,
254,,,,
257,,,,
259,Austin,Cloudy,,1
273,Austin,Light Rain,,1
275,Austin,Rain,,1
280,Austin,Light Rain,,1
302,,,,
314,,,,
315,,,,
324,Baltimore,Fair,,1
342,Baltimore,Clear,,1
376,,,,
382,,,,
398,,,,
407,Baltimore,Partly Cloudy,,1
408,Baltimore,Partly Cloudy,,1
428,Baltimore,Snow,,1
441,Baltimore,Light Snow,,1
462,Baltimore,Sunny,,1
467,Baltimore,Sunny,,1
483,Baltimore,Fair,,1
496,,,,
498,,,,
517,Baltimore,Partly Cloudy,,1
528,Baltimore,Fair,,1
8208,San Diego,Cloudy,,1
8280,San Diego,Cloudy,,1
9584,,,,
692,Boston,Partly Cloudy,,1
673,Boston,Mostly Cloudy,,1
entity,,,,
1388,Chicago,Partly Cloudy,,1
1393,Chicago,Partly Cloudy,,1
1403,Chicago,Cloudy,,1
1406,Chicago,Mostly Cloudy,,1
1411,Chicago,Mostly Cloudy,,1
1416,Chicago,Partly Cloudy,,1
1472,Chicago,Partly Cloudy,,1
2010,Dallas,Cloudy,,1
2014,Dallas,Cloudy,,1
2024,Dallas,Cloudy,,1
2026,Dallas,Cloudy,,1
2047,Dallas,Cloudy,,1
2051,Dallas,Cloudy,,1
2053,Dallas,Cloudy,,1
2110,Dallas,Light Rain,,1
2112,Dallas,Cloudy,,1
2648,Detroit,Fair,,1
2649,Detroit,Fair,,1
2650,Detroit,Fair,,1
2672,Detroit,Partly Cloudy,,1
2685,Detroit,Fair,,1
2687,Detroit,Fair,,1
2691,Detroit,Fair,,1
2885,El Paso,Cloudy,,1
2889,El Paso,Mostly Cloudy,,1
2895,El Paso,Partly Cloudy,,1
2969,El Paso,Fair,,1
2974,El Paso,Fair,,1
2995,El Paso,Cloudy,,1
3002,El Paso,Partly Cloudy,,1
3017,El Paso,Cloudy,,1
3024,El Paso,Mostly Cloudy,,1
3026,El Paso,Mostly Cloudy,,1
3209,Fort Worth,Rain,,1
3291,Fort Worth,Cloudy,,1
3296,Fort Worth,Cloudy,,1
3302,Fort Worth,Cloudy,,1
3307,Fort Worth,Cloudy,,1
3314,Fort Worth,Cloudy,,1
3316,Fort Worth,Cloudy,,1
3319,Fort Worth,Cloudy,,1
3324,Fort Worth,Cloudy,,1
3343,Fort Worth,Cloudy,,1
3534,Houston,Cloudy,,1
3608,Houston,Cloudy,,1
3623,Houston,Cloudy,,1
3625,Houston,Cloudy,,1
3627,Houston,Cloudy,,1
3632,Houston,Cloudy,,1
3634,Houston,Cloudy,,1
3641,Houston,Cloudy,,1
3643,Houston,Cloudy,,1
3645,Houston,Cloudy,,1
3650,Houston,Cloudy,,1
3659,Houston,Cloudy,,1
3666,Houston,Mostly Cloudy,,1
3856,Indianapolis,Cloudy,,1
3951,Indianapolis,Partly Cloudy,,1
3954,Indianapolis,Partly Cloudy,,1
3980,Indianapolis,Fair,,1
3983,Indianapolis,Fair,,1
4178,Jacksonville,Cloudy,,1
4259,Jacksonville,Cloudy,,1
4280,Jacksonville,Cloudy,,1
4292,Jacksonville,Cloudy,,1
4306,Jacksonville,Mostly Cloudy,,1
4584,Las Vegas,Fair,,1
4672,Las Vegas,Fair,,1
4800,Los Angeles,Fair,,1
4810,Los Angeles,Fair,,1
4815,Los Angeles,Fair,,1
4888,Los Angeles,Fair,,1
4899,Los Angeles,Partly Cloudy,,1
4900,Los Angeles,Fair,,1
4934,Los Angeles,Fair,,1
4938,Los Angeles,Haze,,1
4940,Los Angeles,Fair,,1
4941,Los Angeles,Fair,,1
4942,Los Angeles,Fair,,1
4944,Los Angeles,Fair,,1
4993,Los Angeles,Fair,,1
5132,Memphis,Light Freezing Rain,,1
5209,Memphis,Light Freezing Rain,,1
5214,Memphis,Light Freezing Drizzle,,1
5229,Memphis,Cloudy,,1
5248,Memphis,Fair,,1
5263,Memphis,Partly Cloudy,,1
5312,Memphis,Cloudy,,1
5440,Milwaukee,Partly Cloudy,,1
5446,Milwaukee,Partly Cloudy,,1
5455,Milwaukee,Partly Cloudy,,1
5526,Milwaukee,Partly Cloudy,,1
5527,Milwaukee,Partly Cloudy,,1
5534,Milwaukee,Cloudy,,1
5548,Milwaukee,Light Snow,,1
5573,Milwaukee,Mostly Cloudy,,1
5581,Milwaukee,Partly Cloudy,,1
