,0,1,2,3,4,5
0,1,2010,Dallas,Cloudy,,1
1,2,2010,Dallas,Overcast,75,1
2,3,2010,Dallas,Overcast,76,1
3,4,2010,Dallas,Overcast,76,1
4,5,2010,Dallas,Cloudy,80,1
5,6,2010,Dallas,Overcast,78,1
6,7,2010,Dallas,Cloudy,73,1
7,14,2010,Dallas,Cloudy,75,1
8,8,2010,Dallas,Cloudy,75,1
9,9,2010,Dallas,Weather WarningsCloudy,80,1
10,15,2010,Dallas,Cloudy,75,1
11,10,2010,Dallas,mostly cloudy,74,1
12,11,2010,Dallas,Light Snow,78,1
13,12,2010,Dallas,Cloudy,75,1
14,13,2010,Dallas,Overcast,76,1
15,1,2014,Dallas,Cloudy,,1
16,2,2014,Dallas,Overcast,80,1
17,3,2014,Dallas,Overcast,75,1
18,4,2014,Dallas,Overcast,77,1
19,5,2014,Dallas,Cloudy,74,1
20,6,2014,Dallas,Overcast,77,1
21,7,2014,Dallas,Cloudy,75,1
22,14,2014,Dallas,Cloudy,74,1
23,8,2014,Dallas,Cloudy,74,1
24,9,2014,Dallas,Flood warningCloudy,80,1
25,15,2014,Dallas,Cloudy,75,1
26,10,2014,Dallas,mostly cloudy,80,1
27,11,2014,Dallas,Cloudy,74,1
28,12,2014,Dallas,Cloudy,78,1
29,13,2014,Dallas,Overcast,75,1
30,1,2024,Dallas,Cloudy,,1
31,2,2024,Dallas,Overcast,74,1
32,3,2024,Dallas,Overcast,75,1
33,4,2024,Dallas,Overcast,77,1
34,5,2024,Dallas,Cloudy,74,1
35,6,2024,Dallas,Overcast,71,1
36,7,2024,Dallas,Cloudy,73,1
37,14,2024,Dallas,Cloudy,70,1
38,8,2024,Dallas,Cloudy,74,1
39,9,2024,Dallas,Flood warningCloudy,74,1
40,15,2024,Dallas,Cloudy,75,1
41,10,2024,Dallas,mostly cloudy,80,1
42,11,2024,Dallas,Cloudy,74,1
43,12,2024,Dallas,Cloudy,74,1
44,13,2024,Dallas,Overcast,75,1
45,1,2026,Dallas,Cloudy,,1
46,2,2026,Dallas,Overcast,74,1
47,3,2026,Dallas,Overcast,75,1
48,4,2026,Dallas,Overcast,75,1
49,5,2026,Dallas,Cloudy,71,1
50,6,2026,Dallas,Overcast,69,1
51,7,2026,Dallas,Cloudy,69,1
52,14,2026,Dallas,Cloudy,70,1
53,8,2026,Dallas,Cloudy,71,1
54,9,2026,Dallas,Flood warningCloudy,74,1
55,15,2026,Dallas,Cloudy,75,1
56,10,2026,Dallas,mostly cloudy,74,1
57,11,2026,Dallas,Cloudy,71,1
58,12,2026,Dallas,Cloudy,74,1
59,13,2026,Dallas,Overcast,75,1
60,1,2047,Dallas,Cloudy,,1
61,2,2047,Dallas,Overcast,86,1
62,3,2047,Dallas,Overcast,82,1
63,4,2047,Dallas,Overcast,81,1
64,5,2047,Dallas,Cloudy,81,1
65,6,2047,Dallas,Overcast,78,1
66,7,2047,Dallas,Cloudy,79,1
67,14,2047,Dallas,Cloudy,74,1
68,8,2047,Dallas,Cloudy,81,1
69,9,2047,Dallas,Flood warningCloudy,86,1
70,15,2047,Dallas,Cloudy,82,1
71,10,2047,Dallas,mostly cloudy,80,1
72,11,2047,Dallas,Cloudy,81,1
73,12,2047,Dallas,Cloudy,82,1
74,13,2047,Dallas,Overcast,82,1
75,1,2885,El Paso,Cloudy,,1
76,2,2885,El Paso,Overcast,86,1
77,3,2885,El Paso,Overcast,85,1
78,4,2885,El Paso,Overcast,81,1
79,5,2885,El Paso,Cloudy,85,1
80,6,2885,El Paso,Overcast,86,1
81,7,2885,El Paso,Cloudy,82,1
82,14,2885,El Paso,Cloudy,77,1
83,8,2885,El Paso,Cloudy,85,1
84,9,2885,El Paso,Cloudy,86,1
85,15,2885,El Paso,Cloudy,85,1
86,10,2885,El Paso,mostly cloudy,86,1
87,11,2885,El Paso,Cloudy,85,1
88,12,2885,El Paso,Cloudy,85,1
89,13,2885,El Paso,Overcast,85,1
90,1,2889,El Paso,Mostly Cloudy,,1
91,2,2889,El Paso,Mostly Cloudy,80,1
92,3,2889,El Paso,Mostly Cloudy,76,1
93,4,2889,El Paso,Mostly Cloudy,77,1
94,5,2889,El Paso,Mostly Cloudy,75,1
95,6,2889,El Paso,Mostly Cloudy,80,1
96,7,2889,El Paso,Mostly Cloudy,71,1
97,14,2889,El Paso,Cloudy,77,1
98,8,2889,El Paso,Mostly Cloudy,75,1
99,9,2889,El Paso,Mostly Cloudy,80,1
100,15,2889,El Paso,Mostly Cloudy,80,1
101,10,2889,El Paso,mostly cloudy,80,1
102,11,2889,El Paso,Mostly Cloudy,75,1
103,12,2889,El Paso,Mostly Cloudy,75,1
104,13,2889,El Paso,Mostly Cloudy,76,1
105,1,2895,El Paso,Partly Cloudy,,1
106,2,2895,El Paso,Partly Cloudy,61,1
