entity,Domain,Conditions,Humidity,day
2,Austin,Heavy Rain,97,1
5,Austin,Light Rain,97,1
10,Austin,Light Rain,97,1
13,Austin,Overcast,66,1
25,Austin,Mist,80,1
31,Austin,Overcast,86,1
35,Austin,Overcast,88,1
38,Austin,Overcast,85,1
39,Austin,Overcast,84,1
43,Austin,Mist,95,1
50,Austin,Hazy,77,1
60,Austin,Overcast,85,1
91,Austin,Partly Cloudy,52,1
104,Austin,Clear,63,1
112,Austin,Clear,41,1
130,Austin,Overcast,87,1
132,Austin,Overcast,89,1
145,Austin,Hazy,70,1
149,Austin,Light Rain,97,1
154,Austin,Mist,97,1
156,Austin,Light Rain,97,1
167,Austin,Light Rain,97,1
174,Austin,Mist/Fog,93,1
205,Austin,Mist,97,1
209,Austin,Mist,97,1
251,Austin,Mist/Fog,86,1
254,Austin,Mist/Fog,86,1
257,Baltimore,Overcast with Haze,80,1
259,Austin,Hazy,78,1
273,Austin,Light Rain,93,1
275,Austin,Light Rain,97,1
280,Austin,Light Rain,97,1
302,Baltimore,Overcast,80,1
314,Baltimore,Mist/Light Rain Fog,93,1
315,Baltimore,Mist/Light Rain Fog,90,1
324,Baltimore,Mostly Cloudy,42,1
342,Baltimore,Clear,46,1
376,Baltimore,Fair,43,1
382,Baltimore,A Few Clouds,57,1
398,Baltimore,Overcast,40,1
407,Baltimore,Overcast,36,1
408,Baltimore,Overcast,36,1
428,Baltimore,Snow,79,1
441,Baltimore,Snow,79,1
462,Baltimore,Clear,33,1
467,Baltimore,Clear,37,1
483,Baltimore,Clear,64,1
496,Charlotte,Mainly Cloudy,65,1
498,Charlotte,Partly Cloudy,60,1
517,Baltimore,Partly Cloudy,54,1
528,Baltimore,Mostly Cloudy,86,1
535,Baltimore,Overcast,80,1
552,Charlotte,Mostly Cloudy,61,1
565,Charlotte,Overcast,75,1
600,Baltimore,Mist,87,1
611,Charlotte,Light Snow,79,1
625,Charlotte,Mist/Fog,85,1
646,Boston,Clear,44,1
649,Boston,Clear,37,1
655,Boston,Partly Cloudy,27,1
660,Boston,Clear,36,1
669,Boston,Overcast,39,1
671,Boston,Overcast,46,1
673,Boston,Mostly Cloudy,46,1
676,Boston,Clear,46,1
684,Boston,Partly Cloudy,37,1
692,Boston,Partly Cloudy,29,1
731,Boston,Clear,31,1
734,Boston,Clear,36,1
746,Boston,Partly Cloudy,41,1
756,Boston,Overcast,38,1
768,Boston,Overcast,45,1
774,Boston,Partly Cloudy,40,1
776,Boston,Partly Cloudy,40,1
789,Boston,Overcast,60,1
791,Boston,Overcast,55,1
798,Boston,Clear,64,1
801,Boston,Clear,64,1
831,Boston,Partly Cloudy,60,1
837,Chicago,Not totally Cloudy;Partly Cloudy;Mostly Clear,31,1
843,Chicago,Overcast;Cloudy,44,1
848,Chicago,Not totally Cloudy;Partly Cloudy,48,1
852,Chicago,Partly Cloudy;Not totally Cloudy,54,1
859,Chicago,Cloudy;Overcast,41,1
908,Chicago,Cloudy,66,1
961,Chicago,Cloudy;Overcast,50,1
965,Chicago,Partly Cloudy;Scattered Clouds;Mostly Clear,41,1
997,Columbus,Partly Cloudy;Scattered Clouds;Mist;Cloudy,95,1
1000,Columbus,Mostly Cloudy;Intermittent;Mist;Fog And Mist,100,1
1001,Columbus,Mostly Cloudy;Mainly Cloudy,92,1
1011,Columbus,Not totally Cloudy;Partly Cloudy;Mostly Sunny;Sunny,43,1
1074,Columbus,Cloudy,81,1
1080,Columbus,Cloudy,80,1
1083,Columbus,Partly Cloudy;Cloudy;Scattered,74,1
1084,Columbus,Partly Cloudy;Not totally Cloudy,77,1
1086,Columbus,Partly Cloudy;Not totally Cloudy,80,1
1107,Columbus,Sunny;Mainly Sunny;Fair;Partly Cloudy;Partly,47,1
1113,Columbus,Clear,70,1
1152,Columbus,Mostly Cloudy;Mainly Cloudy;Intermittent Clouds,67,1
1154,Columbus,Partly Cloudy;Mainly Sunny;Mostly Clear,49,1
1166,Columbus,Cloudy,69,1
1183,Columbus,Drizzle;Light Drizzle;Showers,93,1
1224,Columbus,Fog;Overcast;Mist;Light Fog,95,1
1226,Columbus,Fog;Overcast;Mist,93,1
1234,Columbus,Fog,100,1
1237,Columbus,Fog,100,1
1239,Columbus,Fog,100,1
1240,Columbus,Fog;Overcast;Mist,100,1
1286,Dallas,Cloudy;Mostly Cloudy;Mostly,60,1
1288,Dallas,Cloudy;Mostly Cloudy;Mainly Cloudy,57,1
1294,Dallas,Mostly Cloudy;Mostly,49,1
1298,Dallas,Cloudy;Mostly Cloudy;Partly Sunny,62,1
1304,Dallas,Mainly Sunny;Partly Cloudy;Not totally Cloudy,58,1
1308,Dallas,Partly Cloudy;Partly;Mostly Clear;Scattered,62,1
1313,Dallas,Cloudy;Overcast,63,1
1317,Dallas,Cloudy,62,1
1318,Dallas,Cloudy,62,1
1331,Dallas,Cloudy;Haze,55,1
1333,Dallas,A Few Clouds,60,1
1335,Dallas,Clean,65,1
1341,Dallas,Partly Cloudy,65,1
1342,Dallas,Partly Cloudy,65,1
1343,Dallas,A Few Clouds,68,1
1350,Dallas,Overcast,62,1
1365,Dallas,Mostly Cloudy;Cloudy;Mostly,65,1
1388,Dallas,Partly Cloudy;Scattered Clouds;Not totally Cloudy,54,1
