entity,Domain,Conditions,Humidity,day
2,Austin,rain,94.18824702,1
5,Austin,rain,85.72666718,1
10,Austin,rain,85.83076153,1
13,Austin,mostly,84.84769509,1
25,Austin,mostly,81.48832604,1
31,Austin,mostly,74.63360578,1
35,Austin,mostly,85.83550412,1
38,Austin,cloudy,80.15286222,1
39,Austin,cloudy,83.40095441,1
43,Austin,mostly,94.96596372,1
50,Austin,cloudy,84.41463532,1
60,Austin,Overcast,85,1
91,Austin,clear,69.8275294,1
104,Austin,clear,72.67586393,1
112,Austin,sky,63.93310866,1
130,Austin,cloudy,87.07288854,1
132,Austin,cloudy,83.17649392,1
145,Austin,mostly,80.48680547,1
149,Austin,rain,100.9130551,1
154,Austin,cloudy,98.17354854,1
156,Austin,light,96.78282717,1
167,Austin,mostly,103.3093871,1
174,Austin,Mist/Fog,93,1
205,Austin,mostly,91.67223295,1
209,Austin,rain,102.9114381,1
251,Austin,Mist/Fog,86,1
254,Austin,Mist/Fog,86,1
257,Baltimore,Overcast with Haze,80,1
259,Austin,cloudy,72.17981573,1
273,Austin,light,95.53197833,1
275,Austin,rain,99.53231925,1
280,Austin,light,91.41261749,1
302,Baltimore,Overcast,80,1
314,Baltimore,Mist/Light Rain Fog,93,1
315,Baltimore,Mist/Light Rain Fog,90,1
324,Baltimore,normal,37.96784317,1
342,Baltimore,normal,42.19020334,1
376,Baltimore,Fair,43,1
382,Baltimore,A Few Clouds,57,1
398,Baltimore,Overcast,40,1
407,Baltimore,normal,30.10383514,1
408,Baltimore,normal,30.13470973,1
428,Baltimore,normal,71.57540712,1
441,Baltimore,normal,78.72270246,1
462,Baltimore,normal,29.47539419,1
467,Baltimore,normal,31.85095306,1
483,Baltimore,normal,53.57343204,1
496,Charlotte,Mainly Cloudy,65,1
498,Charlotte,Partly Cloudy,60,1
517,Baltimore,normal,45.34027456,1
528,Baltimore,normal,76.44707148,1
535,Baltimore,normal,62.80238114,1
552,Charlotte,Mostly Cloudy,61,1
565,Charlotte,Overcast,75,1
600,Baltimore,normal,82.60452118,1
611,Charlotte,Light Snow,79,1
625,Charlotte,Mist/Fog,85,1
646,Charlotte,Clear,42,1
649,Charlotte,Sunny,38,1
655,Charlotte,Mostly Sunny;Partly Cloudy,26,1
660,Charlotte,Clear;Cloudy,36,1
669,Charlotte,Cloudy,40,1
671,Charlotte,Cloudy,44,1
673,Chicago,Mostly Cloudy;Mostly,44,1
676,Chicago,Clear,48,1
684,Chicago,Not totally Cloudy;Partly Sunny,36,1
692,Chicago,Partly Cloudy;Mainly Sunny;Mostly Clear,29,1
731,Chicago,Clear,31,1
734,Chicago,Clear,36,1
746,Chicago,Scattered Clouds;Mostly Cloudy;Cloudy;Partly,40,1
756,Chicago,Cloudy,38,1
768,Chicago,Cloudy,45,1
774,Chicago,Not totally Sunny;Scattered Clouds;Not totally Cloudy,38,1
776,Chicago,Partly Cloudy;Scattered Clouds;Partly,35,1
789,Chicago,Cloudy,58,1
791,Chicago,Cloudy,56,1
798,Chicago,Clear,63,1
801,Chicago,Clear,65,1
831,Chicago,Partly Sunny;Partly;Scattered Clouds,58,1
837,Chicago,Not totally Cloudy;Partly Cloudy;Mostly Clear,31,1
843,Chicago,Overcast;Cloudy,44,1
