entity,Domain,Conditions,Humidity,day
2,Austin,Rain;Mist,93,1
5,Austin,Rain;Light Rain,93,1
10,Austin,Rain,93,1
13,Austin,Cloudy;Overcast,81,1
25,Austin,Cloudy,81,1
31,Austin,Cloudy,84,1
35,Austin,Cloudy;Overcast,81,1
38,Austin,Cloudy,85,1
39,Austin,Cloudy,87,1
43,Austin,Cloudy;Overcast;Showers,93,1
50,Austin,Cloudy;Fog;Haze,81,1
60,Austin,Overcast,85,1
91,Austin,Not totally Cloudy;Partly Cloudy,64,1
104,Austin,Clear;Not totally Sunny,80,1
112,Austin,Sunny;Clear,53,1
130,Austin,Cloudy,88,1
132,Austin,Cloudy,88,1
145,Austin,Cloudy,81,1
149,Austin,Rain;Light Rain,93,1
154,Austin,Cloudy;Overcast;Showers,93,1
156,Austin,Rain;Light Rain,100,1
167,Austin,Cloudy;Fog;Fog And Mist;Light Rain;Light Rain Mist,100,1
174,Austin,Mist/Fog,93,1
205,Austin,Fog;Overcast;Showers;Mist,93,1
209,Austin,Fog;Overcast;Rain,93,1
251,Austin,Mist/Fog,86,1
254,Austin,Mist/Fog,86,1
257,Baltimore,Overcast with Haze,80,1
259,Baltimore,Cloudy,76,1
273,Baltimore,Rain;Light Rain,87,1
275,Baltimore,Rain,93,1
280,Baltimore,Rain;Light Rain,100,1
302,Baltimore,Overcast,80,1
314,Baltimore,Mist/Light Rain Fog,93,1
315,Baltimore,Mist/Light Rain Fog,90,1
324,Baltimore,Mostly Cloudy;Fair;Clean,43,1
342,Baltimore,Clear,52,1
376,Baltimore,Fair,43,1
382,Baltimore,A Few Clouds,57,1
398,Baltimore,Overcast,40,1
407,Charlotte,Cloudy;Overcast,36,1
408,Charlotte,Cloudy;Overcast,36,1
428,Charlotte,Snow;Fair,79,1
441,Charlotte,Light Snow;Flurries;Light,80,1
462,Charlotte,Sunny;Clear,33,1
467,Charlotte,Sunny;Clear,37,1
483,Charlotte,Clear,61,1
496,Charlotte,Mainly Cloudy,65,1
498,Charlotte,Partly Cloudy,60,1
517,Charlotte,Partly Cloudy;Scattered Clouds;Mainly Sunny,55,1
528,Charlotte,Mostly Cloudy;Clean;Intermittent Clouds,81,1
535,Charlotte,Cloudy;Haze,81,1
552,Charlotte,Mostly Cloudy,61,1
565,Charlotte,Overcast,75,1
600,Charlotte,Cloudy;Overcast;Mist,86,1
611,Charlotte,Light Snow,79,1
625,Charlotte,Mist/Fog,85,1
646,Charlotte,Clear,42,1
649,Charlotte,Sunny,38,1
655,Charlotte,Mostly Sunny;Partly Cloudy,26,1
660,Charlotte,Clear;Cloudy,36,1
669,Charlotte,Cloudy,40,1
671,Charlotte,Cloudy,44,1
673,Chicago,Mostly Cloudy;Mostly,44,1
676,Chicago,Clear,48,1
684,Chicago,Not totally Cloudy;Partly Sunny,36,1
692,Chicago,Partly Cloudy;Mainly Sunny;Mostly Clear,29,1
731,Chicago,Clear,31,1
734,Chicago,Clear,36,1
746,Chicago,Scattered Clouds;Mostly Cloudy;Cloudy;Partly,40,1
756,Chicago,Cloudy,38,1
768,Chicago,Cloudy,45,1
774,Chicago,Not totally Sunny;Scattered Clouds;Not totally Cloudy,38,1
776,Chicago,Partly Cloudy;Scattered Clouds;Partly,35,1
789,Chicago,Cloudy,58,1
791,Chicago,Cloudy,56,1
798,Chicago,Clear,63,1
801,Chicago,Clear,65,1
831,Chicago,Partly Sunny;Partly;Scattered Clouds,58,1
837,Chicago,Not totally Cloudy;Partly Cloudy;Mostly Clear,31,1
843,Chicago,Overcast;Cloudy,44,1
848,Chicago,Not totally Cloudy;Partly Cloudy,48,1
852,Chicago,Partly Cloudy;Not totally Cloudy,54,1
859,Chicago,Cloudy;Overcast,41,1
908,Chicago,Cloudy,66,1
961,Chicago,Cloudy;Overcast,50,1
965,Chicago,Partly Cloudy;Scattered Clouds;Mostly Clear,41,1
997,Columbus,Partly Cloudy;Scattered Clouds;Mist;Cloudy,95,1
1000,Columbus,Mostly Cloudy;Intermittent;Mist;Fog And Mist,100,1
1001,Columbus,Mostly Cloudy;Mainly Cloudy,92,1
1011,Columbus,Not totally Cloudy;Partly Cloudy;Mostly Sunny;Sunny,43,1
1074,Columbus,Cloudy,81,1
1080,Columbus,Cloudy,80,1
1083,Columbus,Partly Cloudy;Cloudy;Scattered,74,1
1084,Columbus,Partly Cloudy;Not totally Cloudy,77,1
1086,Columbus,Partly Cloudy;Not totally Cloudy,80,1
1107,Columbus,Sunny;Mainly Sunny;Fair;Partly Cloudy;Partly,47,1
1113,Columbus,Clear,70,1
1152,Columbus,Mostly Cloudy;Mainly Cloudy;Intermittent Clouds,67,1
1154,Columbus,Partly Cloudy;Mainly Sunny;Mostly Clear,49,1
1166,Columbus,Cloudy,69,1
1183,Columbus,Drizzle;Light Drizzle;Showers,93,1
1224,Columbus,Fog;Overcast;Mist;Light Fog,95,1
1226,Columbus,Fog;Overcast;Mist,93,1
1234,Columbus,Fog,100,1
1237,Columbus,Fog,100,1
1239,Columbus,Fog,100,1
1240,Columbus,Fog;Overcast;Mist,100,1
1286,Dallas,Cloudy;Mostly Cloudy;Mostly,60,1
1288,Dallas,Cloudy;Mostly Cloudy;Mainly Cloudy,57,1
1294,Dallas,Mostly Cloudy;Mostly,49,1
1298,Dallas,Cloudy;Mostly Cloudy;Partly Sunny,62,1
1304,Dallas,Mainly Sunny;Partly Cloudy;Not totally Cloudy,58,1
1308,Dallas,Partly Cloudy;Partly;Mostly Clear;Scattered,62,1
1313,Dallas,Cloudy;Overcast,63,1
