sample,change%,last_trade_price,open_price,volumn,today_high,today_low,previous_close,52wk_H,52wk_L
4,399,7154,,,,,,,
27,193,4347,,,,,,,
29,826,6644,,,,,,,
37,617,9852,,,,,,,
38,160,11199,,,,,,,
48,319,10506,,,,,,,
76,232,2834,,,,,,,
79,232,5749,,,,,,,
88,399,9782,,,,,,,
100,639,668,,,,,,,
102,899,7151,,,,,,,
110,1140,11033,,,,,,,
112,454,7787,,,,,,,
121,772,11827,,,,,,,
123,911,7076,,,,,,,
148,772,2562,,,,,,,
152,623,127,,,,,,,
168,2686,11844,,,,,,,
171,79,5359,,,,,,,
177,976,2613,,,,,,,
181,1078,11849,,,,,,,
201,836,7803,,,,,,,
205,682,2870,,,,,,,
209,215,3721,,,,,,,
214,154,6603,,,,,,,
216,135,11065,,,,,,,
240,412,10779,,,,,,,
267,748,10324,,,,,,,
279,856,8222,,,,,,,
290,435,11872,,,,,,,
291,1137,6736,,,,,,,
295,1340,2440,,,,,,,
322,499,9395,,,,,,,
325,498,4844,,,,,,,
359,110,11896,,,,,,,
362,509,11902,,,,,,,
383,717,8944,,,,,,,
407,1040,6194,,,,,,,
423,390,10458,,,,,,,
462,782,55,,,,,,,
464,320,5408,,,,,,,
466,115,398,,,,,,,
470,12,3685,,,,,,,
500,263,7287,,,,,,,
502,126,1952,,,,,,,
507,314,4782,,,,,,,
516,481,3985,,,,,,,
529,490,9655,,,,,,,
546,1040,2125,,,,,,,
549,428,5487,,,,,,,
554,603,6906,,,,,,,
555,829,2098,,,,,,,
556,623,9485,,,,,,,
562,293,3155,,,,,,,
580,468,4040,,,,,,,
591,563,3139,,,,,,,
627,1549,7626,,,,,,,
632,836,11957,,,,,,,
641,217,4209,,,,,,,
643,1281,33,,,,,,,
670,755,2818,,,,,,,
671,844,3865,,,,,,,
696,709,625,,,,,,,
700,834,9799,,,,,,,
707,623,8870,,,,,,,
748,668,9575,,,,,,,
759,259,2223,,,,,,,
760,184,7686,,,,,,,
768,845,4381,,,,,,,
776,516,2312,,,,,,,
792,1041,5527,,,,,,,
803,54,12000,,,,,,,
806,564,12007,,,,,,,
813,473,371,,,,,,,
825,576,4554,,,,,,,
829,939,2607,,,,,,,
835,351,3124,,,,,,,
838,1779,3448,,,,,,,
848,504,6393,,,,,,,
849,135,6886,,,,,,,
861,862,2580,,,,,,,
863,10,769,,,,,,,
877,13,3877,,,,,,,
888,317,5322,,,,,,,
895,996,8418,,,,,,,
913,715,269,,,,,,,
922,856,5609,,,,,,,
940,736,10003,,,,,,,
949,321,2820,,,,,,,
959,574,2064,,,,,,,
960,89,12043,,,,,,,
968,1256,3919,,,,,,,
970,119,5510,,,,,,,
976,197,12054,,,,,,,
980,1100,7099,,,,,,,
981,615,8102,,,,,,,
984,80,8178,,,,,,,
988,171,8183,,,,,,,
989,116,3523,,,,,,,
998,644,6744,,,,,,,
