sample,change%,last_trade_price,open_price,volumn,today_high,today_low,previous_close,52wk_H,52wk_L
4,11,7155,8512,842725,7355,5147,3623,4719,2029
27,361,9167,8555,2170000,4367,2422,267,4727,73
29,258,7428,8556,,7911,2304,83,113,2487
37,617,9852,259,14150000,7913,7711,3528,143,111
38,159,6185,6773,1010000,2507,7712,6945,146,1239
48,474,8624,6705,289716,7916,7715,6512,183,148
76,258,3303,655,9120000,6038,5665,5420,292,8391
79,184,2907,4193,33730000,4559,1751,5178,303,237
88,31,8995,3919,1630000,6049,5987,6953,4743,262
100,266,668,3027,1790000,1082,2134,6955,398,306
102,322,7152,3795,4480000,5671,5901,6957,406,208
110,337,11033,7227,4050000,4748,6965,6959,439,504
112,61,9237,5082,1528464,7926,5068,3000,444,2514
121,41,11825,8568,1460000,6309,7722,6960,477,364
148,454,2562,4126,1953908,2712,5762,440,569,439
423,176,11907,7962,1290000,3855,7785,7036,5246,2633
462,314,3109,3039,1660000,5692,5134,5885,1629,1265
670,446,2818,2921,25068918,4464,2727,2456,2282,647
759,178,4690,8676,1680000,2873,7835,2192,2558,2754
813,563,24,4647,2370000,3082,5469,7115,2716,2778
922,102,2394,4868,5026918,433,1538,2115,3034,2323
968,531,3919,2015,8920000,3843,228,6442,3178,2410
177,67.39271565,580.2559896,251.2258367,4149692.272,136.2461774,115.6383715,169.2502095,736.083732,554.253706
205,37.27451607,740.0113523,586.6764346,32624612.2,403.0568908,463.1667439,432.5868449,802.6283051,650.1187952
362,1216.847247,1037.961098,3836575.917,727.4461414,864.4751244,769.6627524,1271.40903,1173.993378,
549,84.27448411,1615.527021,1424.233714,12260032,1047.631374,1045.858855,732.6862727,1451.999313,1573.066189
643,83.98817121,1016.496885,1471.54858,3609145.709,1287.842854,848.7895791,1249.793078,995.8486841,1623.300602
792,248.962749,2309.241186,2060.558715,1587536.184,1648.47174,1527.686109,1557.430826,2683.938465,2140.855219
829,443.2107302,2483.825054,1795.86562,3889909.728,1626.298043,1520.925275,729.7790142,2672.041984,1985.046822
981,104.7568713,645.3817848,1194.836016,1348772.989,1011.169657,50.41289753,309.3061633,3329.259808,2495.103326
