sample,change%,last_trade_price,open_price,volumn,today_high,today_low,previous_close,52wk_H,52wk_L
4,11,7155,8512,842725,7355,5147,3623,4719,2029
27,361,9167,8555,2170000,4367,2422,267,4727,73
29,258,7428,8556,0,7911,2304,83,113,2487
37,617,9852,259,14150000,7913,7711,3528,143,111
38,159,6185,6773,1010000,2507,7712,6945,146,1239
48,474,8624,6705,289716,7916,7715,6512,183,148
76,258,3303,655,9120000,6038,5665,5420,292,8391
79,184,2907,4193,33730000,4559,1751,5178,303,237
88,31,8995,3919,1630000,6049,5987,6953,4743,262
100,266,668,3027,1790000,1082,2134,6955,398,306
102,322,7152,3795,4480000,5671,5901,6957,406,208
110,337,11033,7227,4050000,4748,6965,6959,439,504
112,61,9237,5082,1528464,7926,5068,3000,444,2514
121,41,11825,8568,1460000,6309,7722,6960,477,364
123,435,7664,8569,1622188,2804,1477,6962,484,369
152,228,127,4427,578201,6217,2454,6972,342,450
407,90,6194,1829,1230000,411,6039,1205,1450,1132
423,176,11907,7962,1290000,3855,7785,7036,5246,2633
670,446,2818,2921,25068918,4464,2727,2456,2282,647
748,198,2295,2640,2020000,708,965,5642,2217,2750
806,271,12003,8682,381226,8024,7843,7114,7866,2101
913,323,5878,2269,1750000,2749,3506,82,3002,2304
960,247,12039,8703,10020000,8051,7867,7142,3154,8671
177,826.5947036,783.848912,3410.249563,4075049.073,1081.584905,2694.867302,1333.468681,684.6597675,3591.620863
205,570.0730708,2921.412614,2300.636956,42396826.23,5867.671146,5050.19987,1203.040964,833.9269688,660.7025591
362,541.9494343,11776.88007,8022.676271,3353262.41,7764.397146,8169.340358,6648.919625,1326.863444,2813.479529
549,260.3691791,5104.309068,6407.49915,15498768.52,3757.834082,4213.237613,1305.935016,1493.681083,1526.649294
643,1390.824747,4346.797671,2948.283839,6510579.581,2961.789135,6729.336005,4025.455005,1068.787955,1859.664084
792,844.101791,10691.50226,6030.215354,1129576.49,6414.884304,3178.635801,6797.787387,2772.013212,1533.507295
981,627.7855473,8197.748131,798.6193109,1532745.409,5364.172115,5364.180665,6078.859043,2925.033668,2571.708101
