sample,change%,last_trade_price,open_price,volumn,today_high,today_low,previous_close,52wk_H,52wk_L
4,31,7155,8512,842725,7355,5147,3623,4719,2029
27,551,9167,8555,2169090,4367,2422,267,4727,73
29,820,7428,8556,11289682,7911,2304,83,113,2487
37,617,9852,259,14150590,7913,7711,3528,143,111
38,160,6185,6773,1007462,2507,7712,6945,148,1239
48,78,8624,6705,289716,7916,7715,6512,183,148
76,820,3303,655,9118419,6038,5665,5420,292,8391
79,820,2907,4193,33729068,4559,1751,5178,303,237
88,31,8995,3919,1631772,6049,5987,6953,4743,262
100,820,668,3027,1790396,1082,2134,6955,398,306
102,288,7152,3795,4484278,5671,5901,6957,406,208
110,551,11033,7227,4045886,4748,6965,6959,439,504
112,60,9237,5082,1528464,7926,5068,3000,444,2514
121,645,11825,8568,1462991,6309,7722,6960,477,364
123,288,7664,8569,1614551,2804,1477,6962,484,369
148,645,2562,4126,1945208,2712,5762,440,569,439
152,218,127,4427,578201,6217,2454,6972,342,450
168,60,11840,8578,5816683,7933,7729,6977,6197,491
171,317,2772,4752,5004225,1995,6868,3310,3638,498
177,617,865,3344,3710196,1088,2801,1333,674,3690
181,299,11849,8581,1269958,7934,7735,6980,691,532
201,471,7803,7961,3050064,6962,7740,6986,756,594
205,311,2796,2439,40512137,6203,4741,1218,770,607
209,63,3721,1407,107491136,6279,5156,3028,785,622
214,29,6602,969,1742119,1477,6286,6990,804,7393
216,135,11065,7222,4909721,4212,7741,2346,811,1240
240,288,11040,8597,1896469,7943,1966,6997,7220,4030
267,261,6036,2126,2254538,3661,3288,5411,986,765
279,617,8222,2308,329218,6789,7375,6855,4812,2569
290,148,11870,4435,962566,7948,7759,7011,1067,2591
291,884,6312,6115,3724003,7949,7760,7012,1070,44
295,887,6749,3794,1094791,2876,7761,7013,4326,846
322,218,9395,7557,586170,7955,1801,1849,1172,480
325,261,4844,4158,1139288,4415,6002,7021,1182,2599
359,110,11889,8612,20932384,1166,7773,7025,7550,1010
362,317,11897,8614,3108477,7958,7774,7026,1300,2612
383,508,8944,8618,1378584,7962,7777,7030,1374,1071
407,471,6194,1829,1233834,411,6039,1205,1450,1132
423,160,11907,7962,1293781,3855,7785,7036,5246,2633
462,218,3109,3039,1655488,5692,5134,5885,1629,1265
464,5,2390,7931,1300301,1612,5190,6489,1473,1270
466,6,3123,4674,994022,7122,4459,4238,4865,3096
470,12,11330,1774,3551862,806,6364,7047,1657,1286
500,261,7287,6844,711063,7979,6697,7053,2545,7697
502,72,1953,6382,2226543,6064,7769,7054,6246,990
507,178,2255,1534,6431427,1432,2867,4422,5277,2040
516,148,6006,8013,2383078,4650,6251,7055,1805,2665
529,148,9655,510,3546140,3038,6600,3156,2114,1842
546,471,2125,1283,2377846,1778,6125,3941,1894,1478
549,74,4888,7102,16641094,3985,2887,1408,1418,1485
554,160,5938,6100,20663282,1630,3892,6276,1917,1076
555,645,3952,8640,771597,7984,7801,7061,2136,1501
556,261,3209,5944,3155597,1074,3347,5264,1923,1504
562,218,4306,4147,4785854,5672,6814,5601,1942,1516
580,469,4040,8645,5157587,7663,7806,7068,1971,476
591,31,3139,2600,8654632,460,5938,4435,1439,1592
627,839,2719,1883,16259324,5181,2287,2196,2136,101
632,471,11956,8652,3324830,8004,7815,7079,7614,1703
641,280,4209,306,15198026,805,127,2088,7516,1318
643,225,3968,2900,7187142,2901,6233,4237,1087,1726
670,551,2818,2921,24647158,4464,2727,2456,2282,647
671,471,1122,8660,782600,6953,148,7088,8049,1604
696,,,,,,,,,
700,617,4424,4291,2322127,1018,790,1417,2380,1892
707,218,9396,6637,2428763,5157,3130,596,2404,1881
748,12,2295,2640,2020452,708,965,5642,2217,2750
759,261,4690,8676,1682646,2873,7835,2192,2558,2754
760,16,2396,7527,19071800,8017,1547,3238,2562,1999
768,835,4935,8677,1615683,8018,2198,7105,7031,7967
776,218,6456,4907,3541035,403,1911,165,2607,2148
792,887,9851,6258,1104821,6240,3290,6584,2655,1551
803,311,11995,8680,1077139,8023,7842,7111,7401,2773
806,160,12003,8682,381226,8024,7843,7114,7866,2101
813,12,24,4647,2367318,3082,5469,7115,2716,2778
825,465,7137,4304,3319060,5636,1579,5814,4984,117
829,469,2324,7432,5077631,8026,7844,1453,6367,137
835,178,2611,4337,13465430,3285,2382,31,797,1859
838,617,1401,6978,11032083,3535,344,1112,2794,279
848,261,6393,8689,1214999,5477,5551,7124,4988,480
849,135,6886,5118,8397588,3459,3166,6452,2828,381
861,835,2580,2133,16559903,1753,7850,5628,2856,1125
863,288,769,1627,6030303,441,1350,3789,2860,500
877,311,846,7,12021588,538,5118,632,2902,967
888,317,7821,3891,3368193,7885,3112,7129,2932,1575
895,425,7310,8696,2910267,8041,7856,4501,2954,2225
913,12,5878,2269,1745737,2749,3506,82,3002,2304
922,617,2394,4868,5024518,433,1538,2115,3034,2323
940,12,10923,7541,831176,4538,7862,5652,3087,2828
949,40,161,4077,1362287,1510,1581,4160,3116,2368
959,575,191,2902,2421663,2166,4084,173,2267,1170
960,101,12039,8703,10017903,8051,7867,7142,3154,8671
968,884,3919,2015,8919932,3843,228,6442,3178,2410
970,110,138,226,8847815,2228,3981,132,233,2023
976,78,12050,8708,447917,8055,7870,7149,3199,8354
980,534,7099,1220,5186805,6415,1980,6360,3207,2741
981,617,8102,861,1664622,5827,5477,6209,3210,2440
984,148,5991,4051,2892077,3579,3112,4139,6408,2854
988,5,8182,8709,833913,5680,6475,4061,3232,1136
989,72,922,934,10324055,427,5670,3577,731,8360
998,645,12063,6699,283482,8057,7874,7155,3258,2861
