sample,change%,last_trade_price,open_price,volumn,today_high,today_low,previous_close,52wk_H,52wk_L
4,11,7155,8512,842725,7355,5147,3623,4719,2029
27,361,9167,8555,2170000,4367,2422,267,4727,73
29,258,7428,8556,0,7911,2304,83,113,2487
37,617,9852,259,14150000,7913,7711,3528,143,111
38,159,6185,6773,1010000,2507,7712,6945,146,1239
48,474,8624,6705,289716,7916,7715,6512,183,148
76,258,3303,655,9120000,6038,5665,5420,292,8391
79,184,2907,4193,33730000,4559,1751,5178,303,237
88,31,8995,3919,1630000,6049,5987,6953,4743,262
100,266,668,3027,1790000,1082,2134,6955,398,306
102,322,7152,3795,4480000,5671,5901,6957,406,208
110,337,11033,7227,4050000,4748,6965,6959,439,504
112,61,9237,5082,1528464,7926,5068,3000,444,2514
121,41,11825,8568,1460000,6309,7722,6960,477,364
123,435,7664,8569,1622188,2804,1477,6962,484,369
152,228,127,4427,578201,6217,2454,6972,342,450
407,90,6194,1829,1230000,411,6039,1205,1450,1132
423,176,11907,7962,1290000,3855,7785,7036,5246,2633
670,446,2818,2921,25068918,4464,2727,2456,2282,647
748,198,2295,2640,2020000,708,965,5642,2217,2750
806,271,12003,8682,381226,8024,7843,7114,7866,2101
913,323,5878,2269,1750000,2749,3506,82,3002,2304
960,247,12039,8703,10020000,8051,7867,7142,3154,8671
177,907.6436947,902.7767499,3260.289242,3602900.696,1033.118485,2827.970194,1275.873263,683.6681455,3431.710969
205,481.3781161,3013.50267,2476.467611,38614762.12,6532.905532,4318.784169,1154.43752,786.6571366,615.3151744
362,533.7494985,11860.35676,8043.807151,2790612.236,7759.663395,8010.534659,7635.017313,1208.530872,2811.794699
549,264.6507781,4948.857499,7220.837479,16529154.4,3815.980554,2642.007419,1330.730319,1486.933366,1520.374463
643,1374.075188,3707.079721,2680.539947,7826225.218,2659.666631,6697.47378,4245.401034,1003.299216,1787.598618
792,0,2095.321895,1943.750579,144874.2396,1429.00114,1562.32929,0,0,0
981,0,2864.309817,149.3255384,199989.4715,1873.415143,1866.753446,0,0,0
