0,entity,Domain,Conditions,Humidity,day
1,2,Austin,Rain,,1
2,2,Austin,Rain,97.45216013,1
3,2,Austin,Rain,98.44349738,1
4,2,Austin,Mist,84.014143,1
5,2,Austin,Rain,86.51448381,1
6,2,Austin,Rain,93.75799718,1
7,2,Austin,Rain,98.07748377,1
14,2,Austin,Rain,94.00327674,1
8,2,Austin,Showers,93.28051076,1
9,2,Austin,WarningsRain,102.4330313,1
10,2,Austin,rain,94.18824702,1
11,2,Austin,Mist,94.04833649,1
12,2,Austin,Mist,94.04833649,1
13,2,Austin,Mist,94.04833649,1
15,2,Austin,Mist,94.04833649,1
1,5,Austin,Rain,,1
2,5,Austin,Rain,87.60702815,1
3,5,Austin,Rain,90.66084017,1
4,5,Austin,Light,70.77133037,1
5,5,Austin,Rain,88.97237059,1
6,5,Austin,Rain,95.35747527,1
7,5,Austin,Showers,82.03471197,1
14,5,Austin,Cloudy,94.05637406,1
8,5,Austin,Cloudy,91.27864371,1
9,5,Austin,Short forecastRain,91.88307139,1
10,5,Austin,rain,85.72666718,1
11,5,Austin,Rain,85.62735491,1
12,5,Austin,Rain,95.62340293,1
13,5,Austin,Mist;Rain Fog,96.54051398,1
15,5,Austin,Mist;Rain Fog,96.54051398,1
1,10,Austin,Rain,,1
2,10,Austin,Rain,97.59783439,1
3,10,Austin,Rain,84.71725314,1
4,10,Austin,Rain,73.02662077,1
5,10,Austin,Rain,99.44742605,1
6,10,Austin,Rain,106.2080289,1
7,10,Austin,Rain,95.91087569,1
14,10,Austin,Thunderstorm,90.48632313,1
8,10,Austin,Rain,91.62221882,1
9,10,Austin,WarningsCloudy,87.63647906,1
10,10,Austin,rain,85.83076153,1
11,10,Austin,Light,99.85597987,1
12,10,Austin,Rain,100.0528056,1
13,10,Austin,Mist;Rain Fog,85.23839908,1
15,10,Austin,Mist;Rain Fog,85.23839908,1
1,13,Austin,Cloudy,,1
2,13,Austin,Mostly,89.02166854,1
3,13,Austin,Overcast,72.47748774,1
4,13,Austin,Overcast,65.29847483,1
5,13,Austin,Cloudy,85.14086714,1
6,13,Austin,Overcast,70.86393165,1
7,13,Austin,Cloudy,81.51143952,1
14,13,Austin,Rain,99.67661836,1
8,13,Austin,Cloudy,85.93007483,1
9,13,Austin,Short term Cloudy,83.64998668,1
10,13,Austin,mostly,84.84769509,1
11,13,Austin,Cloudy,80.03415066,1
12,13,Austin,Cloudy,80.26995227,1
13,13,Austin,Cloudy,72.30223226,1
15,13,Austin,Cloudy,72.30223226,1
1,25,Austin,Cloudy,,1
2,25,Austin,Fog And,81.74425897,1
3,25,Austin,Overcast,89.19531579,1
4,25,Austin,Overcast,71.91567068,1
5,25,Austin,Cloudy,83.41374537,1
6,25,Austin,Mist,76.18758988,1
7,25,Austin,Cloudy,85.15531695,1
14,25,Austin,Cloudy,82.91051004,1
8,25,Austin,Cloudy,78.09666543,1
9,25,Austin,Fog,81.83779821,1
10,25,Austin,mostly,81.48832604,1
11,25,Austin,Cloudy,88.89800137,1
12,25,Austin,Cloudy,99.69924917,1
13,25,Austin,Cloudy,99.69924917,1
15,25,Austin,Cloudy,99.69924917,1
