0,entity,Domain,Conditions,Wet,day,,,,,,,,,,
1,1,Austin,Heavy Thunderstorm,,1,,,,,,,,,,
2,1,Austin,Rain,94,1,,,,,,,,,,
3,1,Austin,Heavy Thunderstorms and Rain,94,1,,,,,,,,,,
4,1,Austin,Heavy Thunderstorm Rain Mist,85,1,,,,,,,,,,
5,1,Austin,Showers,87,1,,,,,,,,,,
6,1,Austin,Heavy Rain,97,1,,,,,,,,,,
7,1,Austin,Rain,94,1,,,,,,,,,,
8,1,Austin,Showers,87,1,,,,,,,,,,
9,1,Austin,Weather WarningsT-storms,94,1,,,,,,,,,,
10,1,Austin,heavy rain,94,1,,,,,,,,,,
11,1,Austin,Light Rain,87,1,,,,,,,,,,
12,1,Austin,Rain,93,1,,,,,,,,,,
13,1,Austin,Rain,90,1,,,,,,,,,,
1,2,Austin,Rain,,1,,,,,,,,,,
2,2,Austin,Rain,94,1,,,,,,,,,,
3,2,Austin,Rain,93,1,,,,,,,,,,
4,2,Austin,Rain Mist,83,1,,,,,,,,,,
5,2,Austin,Rain,93,1,,,,,,,,,,
6,2,Austin,Heavy Rain,97,1,,,,,,,,,,
7,2,Austin,Rain,93,1,,,,,,,,,,
14,2,Austin,Rain,93,1,,,,,,,,,,
8,2,Austin,Showers,87,1,,,,,,,,,,
9,2,Austin,Weather WarningsRain,94,1,,,,,,,,,,
10,2,Austin,heavy rain,94,1,,,,,,,,,,
11,2,Austin,Mist,93,1,,,,,,,,,,
12,3,Austin,Thunderstorm,93,1,,,,,,,,,,
13,3,Austin,Light Rain,93,1,,,,,,,,,,
1,4,Austin,Light Rain,,1,,,,,,,,,,
2,4,Austin,Light Rain,93,1,,,,,,,,,,
3,4,Austin,Rain,93,1,,,,,,,,,,
4,4,Austin,Rain Mist,77,1,,,,,,,,,,
5,4,Austin,Cloudy,89,1,,,,,,,,,,
6,4,Austin,Light Rain,97,1,,,,,,,,,,
7,4,Austin,Showers,94,1,,,,,,,,,,
14,4,Austin,Rain,93,1,,,,,,,,,,
8,4,Austin,Cloudy,89,1,,,,,,,,,,
9,4,Austin,Short term forecastRain,93,1,,,,,,,,,,
10,4,Austin,mostly cloudy,93,1,,,,,,,,,,
11,4,Austin,Cloudy,89,1,,,,,,,,,,
12,4,Austin,Cloudy,87,1,,,,,,,,,,
13,4,Austin,Rain Fog/Mist,93,1,,,,,,,,,,
1,5,Austin,Rain,,1,,,,,,,,,,
2,5,Austin,Rain,93,1,,,,,,,,,,
3,5,Austin,Light Rain,93,1,,,,,,,,,,
4,5,Austin,Light Rain,76,1,,,,,,,,,,
5,5,Austin,Rain,93,1,,,,,,,,,,
6,5,Austin,Light Rain,97,1,,,,,,,,,,
7,5,Austin,Showers,87,1,,,,,,,,,,
14,5,Austin,Cloudy,90,1,,,,,,,,,,
8,5,Austin,Cloudy,89,1,,,,,,,,,,
9,5,Austin,Short term forecastRain,93,1,,,,,,,,,,
10,5,Austin,moderate rain,93,1,,,,,,,,,,
11,5,Austin,Rain,93,1,,,,,,,,,,
12,5,Austin,Rain,93,1,,,,,,,,,,
13,5,Austin,Rain Fog/Mist,93,1,,,,,,,,,,
1,6,Austin,Light Rain with Thunder,,1,,,,,,,,,,
2,6,Austin,Rain,93,1,,,,,,,,,,
3,6,Austin,Rain,87,1,,,,,,,,,,
4,6,Austin,Rain Mist,80,1,,,,,,,,,,
5,6,Austin,Showers,95,1,,,,,,,,,,
6,6,Austin,Rain,97,1,,,,,,,,,,
7,6,Austin,Thunderstorms,93,1,,,,,,,,,,
14,6,Austin,Cloudy,90,1,,,,,,,,,,
8,6,Austin,Rain,93,1,,,,,,,,,,
9,6,Austin,Short term forecastT-storms,93,1,,,,,,,,,,
10,6,Austin,moderate rain,93,1,,,,,,,,,,
11,6,Austin,Light Rain,95,1,,,,,,,,,,
12,6,Austin,Heavy Rain,93,1,,,,,,,,,,
13,6,Austin,Thunderstorm Light Rain,93,1,,,,,,,,,,
1,7,Austin,Light Rain with Thunder,,1,,,,,,,,,,
2,7,Austin,Heavy Rain,93,1,,,,,,,,,,
3,7,Austin,Heavy Rain,93,1,,,,,,,,,,
4,7,Austin,Heavy Rain Mist,81,1,,,,,,,,,,
5,7,Austin,Showers,96,1,,,,,,,,,,
6,7,Austin,Rain,97,1,,,,,,,,,,
7,7,Austin,Rain,93,1,,,,,,,,,,
14,7,Austin,Rain,96,1,,,,,,,,,,
8,7,Austin,Showers,95,1,,,,,,,,,,
9,7,Austin,Short term forecastRain,93,1,,,,,,,,,,
10,7,Austin,light rain,93,1,,,,,,,,,,
11,7,Austin,Light Rain,96,1,,,,,,,,,,
12,7,Austin,Heavy Rain,100,1,,,,,,,,,,
13,7,Austin,Heavy Rain Fog/Mist,93,1,,,,,,,,,,
1,8,Austin,Light Rain,,1,,,,,,,,,,
2,8,Austin,Light Rain,93,1,,,,,,,,,,
3,8,Austin,Light Rain,93,1,,,,,,,,,,
4,8,Austin,Light Rain,82,1,,,,,,,,,,
5,8,Austin,T-Storms,93,1,,,,,,,,,,
6,8,Austin,Light Rain,97,1,,,,,,,,,,
7,8,Austin,Showers,95,1,,,,,,,,,,
14,8,Austin,Rain,97,1,,,,,,,,,,
