entity_id,website,number,screen_type,supported_aspect_ratio,response_time,screen_size_diagonal
ENTITY#002,catalog.com,254,LCD,,,
ENTITY#002,www.officedepot.com,255,LCD Touchscreen Monitor,4:03,14.20 ms,15\
ENTITY#002,www.getprice.com.au,280,Touch,,21.5 ms,
ENTITY#002,www.officedepot.com,289,LCD Touchscreen Monitor,4:03,21.50 ms,15\
ENTITY#002,www.ohc24.ch,318,Elo 1515L IntelliTouch - LCD monitor - 15\,4:03,11.7 ms,
ENTITY#002,www.makingbuyingeasy.co.uk,388,LCD,4:03,11.7 ms,38.1 cm (15\
ENTITY#002,www.makingbuyingeasy.co.uk,489,LCD,4:03,11.7 ms,38.1 cm (15\
ENTITY#002,www.makingbuyingeasy.co.uk,585,LCD,4:03,11.7 ms,38.1 cm (15\
ENTITY#002,catalog.com,596,LCD,4:03,,
ENTITY#002,ce.yikus.com,1219,,: 4:3,,
ENTITY#002,www.ebay.com,12307,"LCD, Touch Screen, Touch Screen LCD, Touch Screen LCD Touch Screen LCD, Touch Screen LCD Touch Screen LCD Touch Screen LCD LCD Touch Screen",4:03,21.5 ms,15\
ENTITY#002,www.ebay.com,14413,,,,
ENTITY#002,www.ebay.com,16628,"LCD, Touch Screen, Touch Screen LCD, Touch Screen LCD Touch Screen LCD, Touch Screen LCD Touch Screen LCD Touch Screen LCD LCD Touch Screen",4:03,22 ms,15\
ENTITY#002,www.ebay.com,19927,"LCD, Touch Screen, Touch Screen LCD, Touch Screen LCD Touch Screen LCD, Touch Screen LCD Touch Screen LCD Touch Screen LCD LCD Touch Screen",4:03,22 ms,15\
ENTITY#002,www.ebay.com,22113,Touch Screen,4:03,22 ms,15\
ENTITY#002,www.ebay.com,23335,Touch Screen,4:03,22 ms,15\
ENTITY#002,www.ebay.com,23720,,4:03,14.20 ms,15\
ENTITY#003,www.makingbuyingeasy.co.uk,66,LCD,16:09,8 ms,39.62 cm (15.6\
ENTITY#003,www.ohc24.ch,186,Elo Desktop Touchmonitors 1519L iTouch Plus - LCD monitor - 15.6\,Widescreen - 16:9,8 ms,
ENTITY#003,www.ohc24.ch,304,Elo Desktop Touchmonitors 1519L Projected Capacitive - LCD monitor - 15.6\,Widescreen - 16:9,8 ms,
ENTITY#003,www.makingbuyingeasy.co.uk,389,LCD,16:09,8 ms,39.62 cm (15.6\
ENTITY#003,www.makingbuyingeasy.co.uk,393,LCD,16:09,8 ms,39.62 cm (15.6\
ENTITY#003,www.makingbuyingeasy.co.uk,454,LCD,16:09,8 ms,39.62 cm (15.6\
ENTITY#003,www.ohc24.ch,624,Elo 1519L - LCD monitor - 15.6\,Widescreen - 16:9,8 ms,
ENTITY#004,www.ohc24.ch,51,Elo Entuitive 3000 Series 1529L - LCD monitor - 15\,4:03,25 ms,
ENTITY#004,www.makingbuyingeasy.co.uk,333,LCD,4:03,12 ms,38.1 cm (15\
ENTITY#004,www.makingbuyingeasy.co.uk,341,LCD,4:03,12 ms,38.1 cm (15\
ENTITY#004,www.makingbuyingeasy.co.uk,502,LCD,4:03,12 ms,38.1 cm (15\
ENTITY#004,www.makingbuyingeasy.co.uk,599,LCD,4:03,12 ms,38.1 cm (15\
ENTITY#004,www.makingbuyingeasy.co.uk,643,LCD,4:03,12 ms,38.1 cm (15\
ENTITY#004,www.ohc24.ch,721,Elo Entuitive 3000 Series 1529L - LCD monitor - 15\,4:03,25 ms,
ENTITY#004,www.ebay.com,18227,,4:03,25 ms,
ENTITY#005,catalog.com,269,,4:03,,
ENTITY#005,ce.yikus.com,357,,: 1.33:1,,: 15.9in L X 13.9in W X 6.1in H
ENTITY#005,catalog.com,364,,4:03,,
ENTITY#005,www.makingbuyingeasy.co.uk,610,LCD,4:03,14.5 ms,38.1 cm (15\
ENTITY#005,www.makingbuyingeasy.co.uk,644,LCD,4:03,14.5 ms,38.1 cm (15\
ENTITY#005,www.pcconnection.com,2103,,,,
ENTITY#005,www.pcconnection.com,3382,,,,
ENTITY#005,www.ebay.com,18704,"LCD, TFT",4:03,17 ms,15\
ENTITY#009,www.ebay.com,9531,LCD,5:04,25 ms,17\
ENTITY#009,www.ebay.com,16047,LCD,,,17\
ENTITY#009,www.ebay.com,16278,LCD,,,17\
ENTITY#009,www.ebay.com,19861,LCD,,,17\
ENTITY#009,www.ebay.com,20575,LCD,,,17\
ENTITY#009,www.ebay.com,21885,LCD,,,17\
ENTITY#009,www.ebay.com,23319,LCD,,,17\
ENTITY#010,www.ebay.com,9342,LCD,5:04,8 ms,17\
ENTITY#010,www.ebay.com,14838,LCD,5:04,8 ms,17\
ENTITY#010,www.ebay.com,19295,LCD,5:04,8 ms,17\
ENTITY#010,www.ebay.com,21363,LCD,5:04,8 ms,17\
ENTITY#010,www.ebay.com,22111,LCD,5:04,8 ms,17\
ENTITY#011,www.best-deal-items.com,117,,,,
ENTITY#011,www.best-deal-items.com,775,,,,
ENTITY#011,www.best-deal-items.com,1413,,,,
ENTITY#011,www.best-deal-items.com,1548,,,,
ENTITY#011,www.ebay.com,11620,LCD,4:03,5 ms,17\
ENTITY#011,www.ebay.com,14209,LCD,5:04,5 ms,17\
ENTITY#011,www.ebay.com,17066,LCD,5:04,8 ms,17\
ENTITY#011,www.ebay.com,18840,LCD,5:04,5 ms,17\
ENTITY#011,www.ebay.com,20888,LCD,5:04,5 ms,17\
ENTITY#011,www.ebay.com,20923,LCD,4:03,5 ms,17\
ENTITY#011,www.ebay.com,21596,LCD,5:04,5 ms,17\
ENTITY#011,www.ebay.com,22417,LCD,5:04,5 ms,17\
ENTITY#012,www.ebay.com,15814,LCD,4:03,5 ms,17\
ENTITY#012,www.ebay.com,21016,LCD,5:04,5 ms,17\
ENTITY#012,www.ebay.com,21447,LCD,,,17\
ENTITY#013,www.officedepot.com,8,LCD Touchscreen Monitor,5:04,25 ms,17\
ENTITY#013,www.best-deal-items.com,24,,,,
ENTITY#013,www.best-deal-items.com,165,,,,
ENTITY#013,www.makingbuyingeasy.co.uk,413,LCD,5:04,25 ms,43.18 cm (17\
ENTITY#013,www.makingbuyingeasy.co.uk,471,LCD,5:04,25 ms,43.18 cm (17\
ENTITY#013,catalog.com,534,,5:4 \u25cf\n17:5,,
ENTITY#013,www.ohc24.ch,843,Elo 1715L AccuTouch - LCD monitor - 17\,5:04,25 ms,
ENTITY#013,www.best-deal-items.com,992,,,,
ENTITY#013,www.best-deal-items.com,1210,,5:04,,
ENTITY#013,www.best-deal-items.com,1242,,,,
ENTITY#013,www.best-deal-items.com,2272,,5:04,,
ENTITY#013,www.best-deal-items.com,2747,,,,
ENTITY#013,www.best-deal-items.com,2790,,,,
ENTITY#013,www.ebay.com,19208,,5:04,25 ms,17
ENTITY#014,www.makingbuyingeasy.co.uk,30,LCD,5:04,5 ms,43.18 cm (17\
ENTITY#014,www.makingbuyingeasy.co.uk,44,LCD,5:04,5 ms,43.18 cm (17\
ENTITY#014,www.makingbuyingeasy.co.uk,283,LCD,5:04,5 ms,43.18 cm (17\
ENTITY#014,www.ohc24.ch,315,Elo Desktop Touchmonitors 1717L iTouch Zero-Bezel - LED monitor - 17\,5:04,5 ms (tr - tf),
ENTITY#014,www.ohc24.ch,351,Elo 1717L - LED monitor - 17\,5:04,30 ms,
ENTITY#014,www.ohc24.ch,453,Elo Desktop Touchmonitors 1717L AccuTouch Zero-Bezel - LED monitor - 17\,5:04,5 ms (tr - tf),
ENTITY#014,www.makingbuyingeasy.co.uk,594,LCD,5:04,5 ms,43.18 cm (17\
ENTITY#014,www.ohc24.ch,683,Elo Desktop Touchmonitors 1717L AccuTouch Zero-Bezel - LED monitor - 17\,5:04,5 ms (tr - tf),
ENTITY#014,www.best-deal-items.com,685,,5:04,,
ENTITY#014,www.ohc24.ch,720,Elo Desktop Touchmonitors 1717L iTouch Zero-Bezel - LED monitor - 17\,5:04,5 ms (tr - tf),
ENTITY#014,www.best-deal-items.com,738,,5:4 5:4 5:4,,
ENTITY#015,www.ebay.com,11445,LCD,19\,,19\
ENTITY#015,www.ebay.com,14687,LCD,5:04,20 ms,19\
ENTITY#015,www.ebay.com,15110,LCD,5:04,20 ms,19\
ENTITY#015,www.ebay.com,16806,LCD,5:04,20 ms,19\
ENTITY#015,www.ebay.com,19815,LCD,5:04,20 ms,19\
ENTITY#015,www.ebay.com,20160,LCD,19\,,19\
ENTITY#015,www.ebay.com,20341,LCD,5:04,20 ms,19\
ENTITY#015,www.ebay.com,20637,LCD,5:04,20 ms,19\
ENTITY#015,www.ebay.com,20857,LCD,,20 ms,19\
ENTITY#015,www.ebay.com,20921,LCD,5:04,20 ms,19\
ENTITY#015,www.ebay.com,21080,LCD,5:04,20 ms,19\
ENTITY#015,www.ebay.com,21435,LCD,5:04,20 ms,19\
ENTITY#015,www.ebay.com,21812,LCD,5:04,20 ms,19\
ENTITY#015,www.ebay.com,22461,LCD,,,19\
ENTITY#016,www.ebay.com,11736,LCD,5:04,8 ms,19\
ENTITY#016,www.ebay.com,19019,LCD,5:04,8 ms 5 ms,19\
ENTITY#016,www.ebay.com,19217,LCD,5:04,8 ms,19\
ENTITY#016,www.ebay.com,19456,LCD,5:04,20 ms,19\
ENTITY#016,www.ebay.com,20115,LCD,5:04,5 ms,19\
ENTITY#016,www.ebay.com,21698,LCD,5:04,8 ms,19\
ENTITY#016,www.ebay.com,21925,LCD,5:04,8 ms,19\
ENTITY#016,www.ebay.com,22949,LCD,5:04,8 ms,19\
ENTITY#016,www.ebay.com,23060,LCD,5:04,8 ms,19\
ENTITY#016,www.ebay.com,23137,LCD,5:04,8 ms,19
ENTITY#016,www.ebay.com,23355,LCD,5:04,8 ms,19\
ENTITY#017,www.ebay.com,9497,"Flat Panel LCD TFT (Active Matrix), LCD","4:3, 5:4",5 ms,19\
ENTITY#017,www.ebay.com,11335,LCD,"4:3, 5:4",5 ms,19\
ENTITY#017,www.ebay.com,11892,"Flat Panel LCD TFT (Active Matrix), LCD","4:3, 5:4",5 ms,19\
ENTITY#017,www.ebay.com,14256,LCD,5:04,5 ms,19\
ENTITY#017,www.ebay.com,15624,LCD,5:04,5 ms,19\
ENTITY#017,www.ebay.com,16011,LCD,"4:3, 5:4",5 ms,19\
ENTITY#017,www.ebay.com,18178,LCD,5:04,5 ms,19\
ENTITY#017,www.ebay.com,19923,LCD,5:04,5 ms,19\
ENTITY#017,www.ebay.com,20375,LCD,,5 ms,19\
ENTITY#017,www.ebay.com,20663,LCD,"4:3, 5:4",5 ms,19\
ENTITY#017,www.ebay.com,20879,"Flat Panel LCD TFT (Active Matrix), LCD","4:3, 5:4",5 ms,19\
ENTITY#017,www.ebay.com,20922,"Flat Panel LCD TFT (Active Matrix), LCD","4:3, 5:4",5 ms,19\
ENTITY#017,www.ebay.com,21935,LCD,,,19\
ENTITY#017,www.ebay.com,22337,LCD,5:04,5 ms,19\
ENTITY#017,www.ebay.com,22602,LCD,5:04,5 ms,19\
ENTITY#017,www.ebay.com,22859,LCD,5:04,8 ms,19\
ENTITY#017,www.ebay.com,23521,LCD,"4:3, 5:4",5 ms,19\
