source,entity,brand,num,condition,day
1,101_1,Canon,23.4,Auto;Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing,1
2,101_1,Canon,22.3,Artificial;Cloudy;Daylight;Sunny;Flash;Fluorescent;Shade;Tungsten,1
3,101_1,Canon,,Auto;Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing,1
4,101_1,Canon,22.3,Auto;Preset,1
5,101_1,Canon,23.4,Auto;Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing,1
6,101_1,Canon,,And White Balance Bracketing;Flash Color Temperature Information Transmission Enabled;Color Temperature Setting;Auto;White Balance Correction;Shade;Flash;Cloudy;Tungsten Light;Custom;White Fluorescent LightPreset: Daylight,1
1,101_2,Canon,23.54608579,Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing;Auto,1
2,101_2,Canon,21.8385981,Cloudy;Daylight;Sunny;Flash;Fluorescent;Shade;Tungsten;Artificial,1
3,101_2,Canon,,Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing;Auto,1
4,101_2,Canon,20.43863873,Preset;Auto,1
5,101_2,Canon,25.09430782,Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing;Auto,1
6,101_2,Canon,,Flash Color Temperature Information Transmission Enabled;Color Temperature Setting;Auto;White Balance Correction;Shade;Flash;Cloudy;Tungsten Light;Custom;White Fluorescent LightPreset: Daylight;And White Balance Bracketing,1
1,101_3,Canon,23.54608579,Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing;Auto,1
2,101_3,Canon,21.8385981,Cloudy;Daylight;Sunny;Flash;Fluorescent;Shade;Tungsten;Artificial,1
3,101_3,Canon,,Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing;Auto,1
4,101_3,Canon,20.43863873,Preset;Auto,1
5,101_3,Canon,25.09430782,Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing;Auto,1
