sample,change%,last_trade_price,open_price,volumn,today_high,today_low,previous_close,52wk_H,52wk_L
112,31,6937,2434,773288,4397,124,2397,444,2514
171,66,8549,4518,5505627,4176,5940,3309,3638,498
201,2406,8417,3237,10658050,7236,5598,4224,756,594
216,334,3561,7935,3003918,4430,7157,6263,811,339
383,295,10389,7978,1034787,4117,7204,3861,1374,1071
464,9,2713,7931,774672,3864,7224,4176,1473,1270
500,90,2927,8010,940555,7373,3581,6143,2545,1364
529,66,1041,7776,3865281,4635,4812,6360,2114,1359
838,16,5238,3213,11023989,5164,5072,2864,2794,279
989,99,7481,2606,19709586,6319,628,1409,731,812
