sample,change%,last_trade_price,open_price,volumn,today_high,today_low,previous_close,52wk_H,52wk_L
112,12,6937,2434,773788,4397,124,,,
171,562,8549,4518,5550467,4818,5940,,,
201,2403,5547,3237,10770736,7236,5598,,,
216,1157,3561,7935,3006640,4430,7157,,,
383,497,10389,7978,1037437,4117,7204,,,
464,796,2713,7931,776172,3864,7224,,,
500,1040,2927,8010,942536,7373,3581,,,
529,562,1041,7776,3869681,4635,4812,,,
838,16,5238,3213,11027689,5164,5072,,,
989,688,7481,2606,19778543,6319,628,,,
112,12,6937,2434,720593,4397,124,2397,444,2514
171,562,8549,1840,4923119,4818,5940,3309,3638,497
201,2403,5547,3237,10704977,7236,5598,4224,755,3008
216,1157,3561,3259,2687035,4430,7157,6263,811,4987
383,497,10389,7978,992175,4117,7204,3861,1373,1069
464,796,2713,7931,667422,3864,7224,4176,1637,1269
500,1040,2927,8010,827198,7373,3581,6143,2545,7809
529,562,1041,6666,3466132,4635,4812,6360,2114,1438
838,16,5238,3213,10971184,5164,5072,2864,2793,282
989,688,7481,2606,19178061,6319,628,1409,731,7612
112,31,6937,2434,771159,4397,124,,,
171,66,8549,4518,5499000,4818,5940,,,
201,1186,5547,3237,10770000,7236,5598,,,
216,334,3561,7935,2968000,4430,7157,,,
383,295,10389,7978,1036000,4117,7204,,,
464,9,2713,7931,776172,3864,7224,,,
500,90,2927,8010,929259,7373,3581,,,
529,66,1041,7776,3868000,4635,4812,,,
838,16,5238,3213,10993000,5164,5072,,,
989,99,7481,2606,19711000,2737,628,,,
112,12,6937,2434,773788,4397,124,,444,2514
171,562,8549,4518,5550267,4818,5940,,3638,498
201,2403,5547,3237,10770836,7236,5598,,756,594
216,1157,3561,7935,3006640,4430,7157,,811,339
383,497,10389,7978,1037437,4117,7204,,1374,1070
464,796,2713,7931,776172,3864,7224,,1473,1270
500,1040,2927,8010,942536,7373,3581,,2545,1364
529,562,1041,7776,3869681,4635,4812,,2114,1359
838,16,5238,3213,11027689,5164,5072,,2793,282
989,688,7481,2606,19778543,6319,628,,731,812
112,12,6937,2434,773488,4397,124,2397,444,2514
171,562,8549,4518,5544358,4176,5940,3309,3638,498
201,2403,5547,3237,10767743,7236,5598,4224,756,594
216,1157,3561,7935,3003748,4430,7157,6263,811,339
383,497,10389,7978,1036237,4117,7204,3861,1374,1071
464,796,2713,7931,774672,3864,7224,4176,1473,1270
500,1040,2927,8010,940555,7373,3581,6143,2545,1364
529,562,1041,7776,3865281,4635,4812,6360,2114,1359
838,16,5238,3213,11023989,5164,5072,2864,2794,279
989,688,7481,2606,19764207,6319,628,1409,731,812
112,12,6937,2434,773488,4397,124,2397,444,2514
171,562,8549,4518,5544358,4176,5940,3309,3638,498
201,2403,5547,3237,10767743,7236,5598,4224,756,594
216,1157,3561,7935,3003748,4430,7157,6263,811,339
383,497,10389,7978,1036237,4117,7204,3861,1374,1071
464,796,2713,7931,774672,3864,7224,4176,1473,1270
500,1040,2927,8010,940555,7373,3581,6143,2545,1364
529,562,1041,7776,3865281,4635,4812,6360,2114,1359
838,16,5238,3213,11023989,5164,5072,2864,2794,279
989,688,7481,2606,19764207,6319,628,1409,731,812
112,12,6937,2434,773488,4397,124,2397,444,2514
171,562,8549,4518,5544358,4176,5940,3309,3638,498
201,2403,5547,3237,10767743,7236,5598,4224,756,594
216,1157,3561,7935,3003748,4430,7157,6263,811,339
383,497,10389,7978,1036237,4117,7204,3861,1374,1071
464,796,2713,7931,774672,3864,7224,4176,1473,1270
500,1040,2927,8010,940555,7373,3581,6143,2545,1364
529,562,1041,7776,3865281,4635,4812,6360,2114,1359
838,16,5238,3213,11023989,5164,5072,2864,2794,279
989,688,7481,2606,19764207,6319,628,1409,731,812
112,12,6937,2434,773288,4397,124,2397,444,2514
171,562,8549,4518,5505627,4176,5940,3309,3638,498
201,2403,5547,3237,10767743,7236,5598,4224,756,594
216,1157,3561,7935,3003748,4430,7157,6263,811,339
383,497,10389,7978,1036237,4117,7204,3861,1374,1071
464,796,2713,7931,774672,3864,7224,4176,1473,1270
500,1040,2927,8010,940555,7373,3581,6143,2545,1364
529,562,1041,7776,3865281,4635,4812,6360,2114,1359
838,16,5238,3213,11008389,5164,5072,2864,2794,279
989,688,7481,2606,19709916,6319,628,1409,731,812
112,12,6937,2434,773288,4397,124,2397,444,2514
171,562,8549,4518,5505627,4176,5940,3309,3638,498
201,2403,5547,3237,10767743,7236,5598,4224,756,594
216,1157,3561,7935,3003748,4430,7157,6263,811,339
383,497,10389,7978,1036237,4117,7204,3861,1374,1071
464,796,2713,7931,774672,3864,7224,4176,1473,1270
500,1040,2927,8010,940555,7373,3581,6143,2545,1364
529,562,1041,7776,3865281,4635,4812,6360,2114,1359
838,16,5238,3213,11008389,5164,5072,2864,2794,279
989,688,7481,2606,19709916,6319,628,1409,731,812
112,10,370,3096,765821,4397,124,2397,,
171,562,8549,4518,5501328,4176,5940,3309,,
201,2403,5547,3237,10769847,7236,5598,4224,,
216,1157,3561,7935,2967728,4430,7157,6263,,
383,497,10389,7978,1037437,4117,7204,3861,,
464,796,2713,7931,776172,3864,7224,4176,,
500,1040,2927,8010,931336,7373,3581,6143,,
529,562,1041,7776,3869681,4635,4812,6360,,
838,16,5238,3213,11012089,5164,5072,2864,,
989,688,7481,2606,19724752,6319,628,1409,,
112,10,370,2434,765521,4397,124,2397,444,2514
171,562,8549,4518,5504644,4176,5940,3309,3638,498
201,1553,8417,3237,10658050,7236,5598,4224,756,594
216,1157,3561,7935,3003748,4430,7157,6263,811,339
383,497,10389,7978,1034787,4117,7204,3861,1374,1071
464,389,5276,7931,757842,3864,7224,4176,1473,1270
500,586,2927,8010,940555,7373,3581,6143,2545,1364
529,562,1041,7776,3865281,4635,4812,6360,2114,1359
838,308,5238,3213,10869774,5164,5072,2864,2794,279
989,689,7481,2606,19468765,6319,628,1409,731,812
112,12,6937,2434,18.87,4397,124,2397,444,2514
171,562,8549,4518,58.18,4818,5940,3309,3638,498
201,2403,5547,3237,53.98,7236,5598,4224,756,594
216,1157,3561,7935,32.32,4430,7157,6263,811,339
383,497,10389,7978,5.82,4117,7204,3861,1374,1071
464,796,2713,7931,36.86,3864,7224,4176,1473,1270
500,1040,2927,8010,34.14,7373,3581,6143,2545,1364
529,562,1041,7776,27.03,4635,4812,6360,2114,1359
838,16,5238,3213,-6.67,5164,5072,2864,2794,279
989,688,7481,2606,65.49,6319,628,1409,731,812
112,12,6937,2434,773288,4397,124,2397,444,2514
171,562,8549,4518,5505627,4176,5940,3309,3638,498
201,2403,5547,3237,10767743,7236,5598,4224,756,594
216,1157,3561,7935,3003748,4430,7157,6263,811,339
383,497,10389,7978,1036237,4117,7204,3861,1374,1071
464,796,2713,7931,774672,3864,7224,4176,1473,1270
500,1040,2927,8010,940555,7373,3581,6143,2545,1364
529,562,1041,7776,3865281,4635,4812,6360,2114,1359
838,16,5238,3213,11008389,5164,5072,2864,2794,279
989,688,7481,2606,19709916,6319,628,1409,731,812
112,12,6937,2434,773288,4397,124,2397,444,2514
171,562,8549,4518,5505627,4176,5940,3309,3638,498
201,2403,5547,3237,10767743,7236,5598,4224,756,594
216,1157,3561,7935,3003748,4430,7157,6263,811,339
383,497,10389,7978,1036237,4117,7204,3861,1374,1071
464,796,2713,7931,774672,3864,7224,4176,1473,1270
500,1040,2927,8010,940555,7373,3581,6143,2545,1364
529,562,1041,7776,3865281,4635,4812,6360,2114,1359
838,16,5238,3213,11008389,5164,5072,2864,2794,279
989,688,7481,2606,19709916,6319,628,1409,731,812
112,12,6937,2434,773288,4397,124,2397,444,2514
171,562,8549,4518,5505627,4176,5940,3309,3638,498
201,2403,5547,3237,10767743,7236,5598,4224,756,594
216,1157,3561,7935,3003748,4430,7157,6263,811,339
383,497,10389,7978,1036237,4117,7204,3861,1374,1071
464,796,2713,7931,774672,3864,7224,4176,1473,1270
500,1040,2927,8010,940555,7373,3581,6143,2545,1364
529,562,1041,7776,3865281,4635,4812,6360,2114,1359
838,16,5238,3213,11008389,5164,5072,2864,2794,279
989,688,7481,2606,19709916,6319,628,1409,731,812
112,12,6937,2434,773588,4397,124,2397,444,2514
171,508,8549,4518,5511536,4818,5940,3309,3638,498
201,1349,5547,3237,10770736,7236,5598,4224,756,594
216,632,3561,7935,3006640,4430,7157,6263,811,339
383,261,10389,7978,1037437,4117,7204,3861,1374,1071
464,160,2713,7931,776172,3864,7224,4176,1473,1270
500,471,2927,8010,942536,7373,3581,6143,2545,1364
529,508,1041,7776,3869681,4635,4812,6360,2114,1359
838,16,5238,3213,11012089,5164,5072,2864,2794,279
989,421,7481,2606,19724252,6319,628,1409,731,812
112,12,6937,,773588,,,2397,3902,8060
171,562,8549,,5502218,,,3309,1886,8081
201,2403,5547,,10769747,,,4224,7514,2554
216,1157,3561,,3006640,,,6263,4173,6319
383,497,10389,,1037337,,,3861,2177,325
464,796,2713,,776172,,,4176,7344,8180
500,1040,2927,,929159,,,6143,3819,6074
529,562,1041,,3869681,,,6360,1252,4495
838,16,5238,,10999510,,,2864,1634,8314
989,688,7481,,19711708,,,1409,4572,8359
112,285,3342,2434,694919,4397,124,2397,444,2514
171,826,17,4518,5144381,4818,5940,3309,3638,498
201,1464,4087,3237,9983536,7236,5598,4224,756,594
216,1157,3561,7935,3006640,4430,7157,6263,811,339
383,497,10389,7978,1035987,4117,7204,3861,1374,1071
464,796,2713,7931,776172,3864,7224,4176,1473,1270
500,1040,2927,8010,942536,7373,3581,6143,2545,1364
529,562,1041,7776,3869681,4635,4812,6360,2114,1359
838,16,5238,3213,10994976,5164,5072,2864,2794,279
989,790,7481,2606,18545424,6319,628,1409,731,812
112,,6937,,783088,,,2397,,
171,,8549,,5554657,,,3309,,
201,,5547,,10810205,,,4224,,
216,,3561,,3009583,,,6263,,
383,,10389,,1037837,,,3861,,
464,,2713,,777836,,,4176,,
500,,2927,,944519,,,6143,,
529,,1041,,3875860,,,6360,,
838,,5238,,11028389,,,2864,,
989,,7481,,19795461,,,1409,,
112,12,6937,2434,773588,4397,124,,444,2514
171,562,8549,4518,5510000,4818,5940,,3638,498
201,2403,5547,3237,10770000,7236,5598,,756,594
216,1157,3561,7935,3010000,4430,7157,,811,339
383,497,10389,7978,1040000,4117,7204,,1374,1071
464,796,2713,7931,776172,3864,7224,,1473,1270
500,1040,2927,8010,942536,7373,3581,,2545,1364
529,562,1041,7776,3870000,4635,4812,,2114,1359
838,16,5238,3213,11010000,5164,5072,,2794,279
989,688,7481,2606,19720000,6319,628,,731,812
112,12,6937,2434,773288,4397,124,2397,,
171,562,8549,4518,5505627,4818,5940,3309,,
201,2403,5547,3237,10767743,7236,5598,4224,,
216,1157,3561,7935,3003748,4430,7157,6263,,
383,497,10389,7978,1034787,4117,7204,3861,,
464,796,2713,7931,774672,3864,7224,4176,,
500,1040,2927,8010,940555,7373,3581,6143,,
529,562,1041,7776,3865281,4635,4812,6360,,
838,16,5238,3213,11006199,5164,5072,2864,,
989,688,7481,2606,19697986,6319,628,1409,,
112,12,6937,2434,773488,4397,124,2397,444,2514
171,562,8549,4518,5544358,4176,5940,3309,3638,498
201,2403,5547,3237,10767743,7236,5598,4224,756,594
216,1157,3561,7935,3003748,4430,7157,6263,811,339
383,497,10389,7978,1036237,4117,7204,3861,1374,1071
464,796,2713,7931,774672,3864,7224,4176,1473,1270
500,1040,2927,8010,940555,7373,3581,6143,2545,1364
529,562,1041,7776,3865281,4635,4812,6360,2114,1359
838,16,5238,3213,11008389,5164,5072,2864,2794,279
989,688,7481,2606,19710416,6319,628,1409,731,812
112,12,6937,2434,712126,4397,124,,,
171,562,8549,1840,4764902,4818,5940,,,
201,1316,462,3237,9950001,7236,5598,,,
216,1157,3561,3259,2547780,4430,7157,,,
383,497,10389,7978,965703,4117,7204,,,
464,796,2713,7931,661722,3864,7224,,,
500,1040,2927,8010,778987,7373,3581,,,
529,562,1041,6666,3333845,4635,4812,,,
838,16,5238,3213,10822323,5164,5072,,,
989,688,7481,2606,18869123,6319,628,,,
112,76,332,2434,,,,2397,,
171,562,8549,4518,,,,3309,,
201,2404,4674,3237,,,,4224,,
216,1157,3561,7935,,,,6263,,
383,497,10389,7978,,,,3861,,
464,796,2713,7931,,,,4176,,
500,679,606,8010,,,,6143,,
529,562,1041,7776,,,,6360,,
838,268,4115,3213,,,,2864,,
989,583,7355,2606,,,,1409,,
112,12,6937,2434,,4397,124,,444,2514
171,562,8549,1840,,4818,5940,,3638,498
201,2179,10070,1186,,5569,412,,7515,7316
216,2181,9952,5885,,7041,412,,307,5693
383,497,10389,7979,,4117,7205,,1374,1071
464,796,2713,7172,,3957,7224,,1473,1270
500,1941,10164,2916,,289,412,,1557,1138
529,562,1041,37,,356,4812,,2114,1359
838,16,5238,5372,,5164,5072,,2794,279
989,688,7481,3091,,6319,628,,731,7612
112,12,6937,2434,767800,4397,124,2397,,
171,562,8549,4518,5437300,4818,5940,3309,,
201,1349,5549,7247,10690100,7236,5598,4224,,
216,1157,3561,7935,2940100,4430,7157,6263,,
383,497,10389,7978,1024300,4117,7204,3861,,
464,390,5277,7931,769700,3864,7224,4176,,
500,587,11031,8010,923000,7373,3581,6143,,
529,562,1041,7776,3829200,4635,4812,6360,,
838,120,5388,5372,10900000,5164,5072,2864,,
989,426,1091,2606,19532000,6319,628,1409,,
112,12,4595,2434,12129,4397,124,2397,444,2514
171,562,8549,4518,81031,4176,5940,3309,3638,498
201,2403,5547,3237,45218,7236,5598,4224,756,594
216,1157,3561,7935,43641,4430,7157,6263,811,396
383,497,10389,7978,2786,4117,7204,3861,1374,1071
464,796,3111,7931,29598,3864,7224,4176,1473,1270
500,1040,2927,8010,17905,7373,3581,6143,2545,6440
529,562,1041,7776,9966,4635,4812,6360,2114,1842
838,16,7681,3213,183925,5164,5072,2864,2794,279
989,688,499,2606,789797,2737,628,1409,731,8360
112,12,6937,2434,773288,4397,124,2397,444,2514
171,562,8549,4518,5505627,4176,5940,3309,3638,498
201,2403,5547,3237,10767743,7236,5598,4224,756,594
216,1157,3561,7935,3003748,4430,7157,6263,811,339
383,497,10389,7978,1036237,4117,7204,3861,1374,1071
464,796,2713,7931,774672,3864,7224,4176,1473,1270
500,1040,2927,8010,940555,7373,3581,6143,2545,1364
529,562,1041,7776,3865281,4635,4812,6360,2114,1359
838,16,5238,3213,11008389,5164,5072,2864,2794,279
989,688,7481,2606,19710416,6319,628,1409,731,812
112,12,6937,2434,773788,4397,124,2397,444,2514
171,562,8549,4518,5510000,4176,5940,3309,3638,498
201,2403,5547,3237,10770000,7236,5598,4224,756,594
216,1157,3561,7935,3010000,4430,7157,6263,811,339
383,497,10389,7978,1040000,4117,7204,3861,1374,1071
464,796,2713,7931,776172,3864,7224,4176,1473,1270
500,1040,2927,8010,942536,7373,3581,6143,2545,1364
529,562,1041,7776,3870000,4635,4812,6360,2114,1359
838,16,5238,3213,11010000,5164,5072,2864,2794,279
989,688,7481,2606,19720000,6319,628,1409,731,812
112,31,6937,2434,773588,4397,124,2397,444,2514
171,66,8549,4518,5511536,4818,5940,3309,3638,498
201,1186,5547,7247,10770736,7236,5598,4224,756,594
216,334,3561,7935,3006640,4430,7157,6263,811,339
383,295,10389,7978,1037437,4117,7204,3861,1374,1071
464,9,2713,7931,776172,3864,7224,4176,1473,1270
500,90,2927,8010,942536,7373,3581,6143,2545,1364
529,66,1041,7776,3869681,4635,4812,6360,2114,1359
838,16,5238,5372,11012089,5164,5072,2864,2794,279
989,99,7481,2606,19724752,6319,628,1409,731,812
112,10,370,2434,765521,4397,124,2397,444,2514
171,562,8549,4518,5504644,4176,5940,3309,3638,498
201,2405,8417,3237,10657850,7236,5598,4224,756,594
216,1157,3561,7935,2964948,4430,7157,6263,811,339
383,497,10389,7978,1034787,4117,7204,3861,1374,1071
464,389,5276,7931,757842,3864,7224,4176,1473,1270
500,1040,2927,8010,927278,7373,3581,6143,2545,1364
529,562,1041,7776,3865281,4635,4812,6360,2114,1359
838,16,5238,3213,10868974,5164,5072,2864,2794,279
989,688,7481,2606,19468065,6319,628,1409,731,812
112,12,6937,2434,773488,4397,124,2397,444,2514
171,562,8549,4518,5505627,4176,5940,3309,3638,498
201,2403,5547,3237,10767743,7236,5598,4224,756,594
