sample,change%,last_trade_price,open_price,volumn,today_high,today_low,previous_close,52wk_H,52wk_L
112,61,9237,5082,1528464,7926,5068,3000,444,2514
171,166,588,1673,6610000,372,1887,5134,3638,498
201,139,4207,6020,5792636,5342,1206,4193,756,594
216,307,2607,116,2700000,4366,4249,862,811,480
383,66,3412,7414,1570000,2874,5506,5707,1374,1071
464,542,2236,5403,1950128,2216,1663,4868,1473,1270
500,126,6762,5106,545466,4513,4379,3632,2545,1364
529,79,4795,7052,3252459,6278,1535,5714,2114,1842
838,97,1092,1980,6380973,1641,1198,1524,2794,279
989,227,7637,6389,10840000,1893,6439,5289,731,812
