Symbol,Change_C$,Last_Trading_Price,Open_price,Change$,volume,Today's_high,Today's_low,Previous_close,52wkHigh,52wkLow,Shares_Outstanding,P/E,Marketcap,Yield,Dividend,EPS,attribute9,attribute10
1,4,1,1,1,119237,1,1,1,2,1,20000000,,624000000,1,1,4,1,1
2,6,4,4,3,4557938,3,4,3,6,4,358000000,10,5000000000,3,2,7,1,2
3,12,7,7,5,70635,5,6,6,11,7,20000000,23,262000000,15,6,13,1,3
4,15,10,9,8,673614,7,8,8,15,10,122000000,42,9000000000,18,9,16,1,4
5,19,13,11,3,390774,10,10,10,19,13,39000000,56,111000000,1,1,20,1,5
6,25,16,15,10,510801,12,12,12,23,16,23000000,70,945000000,29,15,23,1,6
7,29,19,18,3,245609,14,15,14,29,19,75000000,,1000000000,35,16,,1,7
8,31,22,21,12,924526,16,17,16,33,21,127000000,100,5000000000,1,1,35,1,8
9,31,26,24,14,582592,18,19,18,39,24,32000000,116,765000000,44,21,41,1,9
10,36,28,28,15,156511,20,22,20,42,26,22000000,134,842000000,1,1,45,1,10
11,38,30,31,16,41700,22,24,22,46,28,13000000,,140000000,1,1,,1,11
12,40,33,34,18,84143,24,26,24,50,32,27000000,,179000000,51,26,,1,12
13,42,35,36,19,1487544,26,28,26,54,35,147000000,159,4000000000,58,27,63,1,13
14,46,38,40,17,57138,28,30,28,57,37,15000000,,127000000,1,1,65,1,14
15,49,40,43,21,92252,30,32,30,60,39,35000000,,510000000,1,1,70,1,15
16,52,42,47,2,414923,32,35,32,63,42,54000000,,12000000,1,1,75,1,16
17,60,46,50,24,61347,34,36,34,67,44,23000000,,3000000000,1,1,,1,17
18,63,49,52,26,157370,36,38,36,70,47,43000000,132,902000000,1,1,88,1,18
19,15,52,55,20,94308,38,40,38,74,51,28000000,148,1000000000,65,31,92,1,19
20,68,56,57,29,126845,40,42,40,78,54,42000000,218,2000000000,73,35,100,1,20
21,72,59,59,31,103088,42,44,42,82,58,19000000,232,418000000,78,24,107,1,21
22,74,62,62,6,81031,44,46,44,86,60,44000000,,198000000,1,1,,1,22
23,78,65,65,33,980566,46,49,46,90,64,63000000,,2000000000,1,1,116,1,23
