Symbol,Change_C$,Last_Trading_Price,Open_price,Change$
1,63,5432,4061,101
2,147,3425,4062,97
3,482,2311,779,4
4,110,1488,4064,136
5,1179,1914,2319,74
6,268,1774,4066,100
7,262,2058,4067,78
8,209,1654,4068,102
9,295,1271,515,51
10,265,5438,4070,105
11,315,2951,32,13
12,634,973,3215,32
13,302,4059,1343,115
14,590,1483,2580,17
15,641,5440,4073,62
16,55,45,47,23
17,10,5442,4075,388
18,40,4771,951,34
19,307,2675,2728,37
20,6,4218,1964,19
21,860,2048,424,114
22,377,2786,1050,23
23,1004,5445,4080,205
24,79,67,68,6
25,306,5447,4081,78
26,366,5448,4083,28
27,484,5449,4084,175
28,37,5288,2065,167
29,116,4133,4086,105
30,303,3070,1224,82
31,1181,773,4088,153
32,414,532,390,4
33,510,759,4089,62
34,303,3843,4090,45
35,270,5455,3581,94
36,135,5459,4092,283
37,481,5386,456,97
38,177,5464,4094,36
39,318,2295,2713,28
40,280,5467,2952,26
41,667,5470,4097,13
42,606,3729,4099,90
43,214,4530,1966,115
44,589,5472,4101,594
45,312,5476,4102,1
46,307,5226,3152,46
47,263,5479,4103,67
48,314,5481,4106,42
49,119,5484,4108,52
50,496,1682,2878,23
