sample,change%,last_trade_price,open_price,volumn,today_high,today_low,previous_close,52wk_H,52wk_L,,,
4,11,7155,8512,842725,7355,5147,3623,4719,2029,,,
27,361,9167,8555,2170000,4367,2422,267,4727,73,,,
29,258,7428,8556,,7911,2304,83,113,2487,,,
37,617,9852,259,14150000,7913,7711,3528,143,111,,,
38,159,6185,6773,1010000,2507,7712,6945,146,1239,,,
48,474,8624,6705,289716,7916,7715,6512,183,148,,,
76,258,3303,655,9120000,6038,5665,5420,292,8391,,,
79,184,2907,4193,33730000,4559,1751,5178,303,237,,,
88,31,8995,3919,1630000,6049,5987,6953,4743,262,,,
100,266,668,3027,1790000,1082,2134,6955,398,306,,,
102,322,7152,3795,4480000,5671,5901,6957,406,208,,,
110,337,11033,7227,4050000,4748,6965,6959,439,504,,,
112,61,9237,5082,1528464,7926,5068,3000,444,2514,,,
121,41,11825,8568,1460000,6309,7722,6960,477,364,,,
123,435,7664,8569,1622188,2804,1477,6962,484,369,,,
148,454,2562,4126,1953908,2712,5762,440,569,439,,,
152,228,127,4427,578201,6217,2454,6972,342,450,,,
168,208,11840,8578,,7933,7729,6977,6197,491,,,
171,509,2772,4752,5000000,4083,6868,3310,3638,498,,,
177,356,865,3344,3710896,1088,2801,1333,674,3690,,,
181,514,11849,8581,1270000,7934,7735,6980,690,532,,,
201,205,7803,7961,,6962,7740,6986,756,594,,,
205,80,2796,2439,40510000,6203,4741,1218,770,607,,,
209,215,3721,1407,105219268,6279,5156,3028,785,622,,,
214,155,6602,969,1740000,1477,6286,6990,804,7393,,,
216,135,11065,7222,4910000,4212,7741,2346,811,1240,,,
240,650,11040,8597,1900000,7943,1966,6997,7220,4030,,,
267,414,6036,2126,2258938,3661,3288,5411,986,765,,,
279,247,8222,2308,329218,6789,7375,6855,4812,2569,,,
290,485,11870,4435,962566,7948,7759,7011,1067,2591,,,
291,924,6312,6115,3720000,7949,7760,7012,1070,44,,,
295,274,6749,3794,1094791,2876,7761,7013,4326,846,,,
322,499,9395,7557,586170,7955,1801,1849,1172,480,,,
325,351,4844,4158,1140000,4415,6002,7021,1182,2599,,,
359,109,11889,8612,20930000,1166,7773,7025,8154,1010,,,
362,509,11897,8614,3110000,7958,7774,7026,1300,2612,,,
383,315,8944,8618,1380000,7962,7777,7030,1374,1071,,,
407,90,6194,1829,1230000,411,6039,1205,1450,1132,,,
423,176,11907,7962,1290000,3855,7785,7036,5246,2633,,,
