sample,change%,last_trade_price,open_price,volumn,today_high,today_low,previous_close,52wk_H,52wk_L,,,
4,11,7155,8512,841221,7355,5147,,,,,,
27,361,9167,8555,2169000,4367,2422,,,,,,
29,258,7428,8556,11274000,7911,2304,,,,,,
37,101,9852,259,14142000,7913,7711,,,,,,
38,8,6185,6773,1004000,2507,7712,,,,,,
48,474,8624,6705,289016,7916,7715,,,,,,
76,258,3303,655,9082000,6038,5665,,,,,,
79,184,2907,4193,33612000,4559,1751,,,,,,
88,31,8995,3919,1631000,6049,5987,,,,,,
100,266,668,3027,1790000,1082,2134,,,,,,
102,322,7152,3795,4483000,5671,5901,,,,,,
110,337,11033,7227,3857000,4748,6965,,,,,,
112,61,9237,5082,1528000,7926,5068,,,,,,
121,41,11825,8568,1461000,6309,7722,,,,,,
123,435,7664,8569,1487000,2804,1477,,,,,,
148,454,2562,4126,1945000,2712,5762,,,,,,
152,228,127,4427,577501,6217,2454,,,,,,
168,208,11840,8578,5113000,7933,7729,,,,,,
171,509,2772,4752,4991000,1995,6868,,,,,,
177,356,865,3344,3705000,1088,2801,,,,,,
181,514,11849,8581,1267000,7934,7735,,,,,,
201,205,7803,7961,3014000,6962,7740,,,,,,
205,80,2796,2439,40229000,6203,4741,,,,,,
209,215,3721,1407,107030000,6279,5156,,,,,,
214,155,6602,969,1733000,1477,6286,,,,,,
216,135,11065,7222,4893000,4212,7741,,,,,,
240,650,11040,8597,1896000,7943,1966,,,,,,
267,414,6036,2126,2249000,3661,3288,,,,,,
279,247,8222,2308,327405,6789,7375,,,,,,
290,485,11870,4435,962366,7948,7759,,,,,,
291,924,6312,6115,3712000,7949,7760,,,,,,
295,274,6749,3794,1092000,2876,7761,,,,,,
322,339,9395,7557,548594,7955,1801,,,,,,
325,351,4844,4158,1103000,4415,6002,,,,,,
359,109,11889,8612,20902000,1166,7773,,,,,,
362,509,11897,8614,3089000,7958,7774,,,,,,
383,315,8944,8618,1376000,7962,7777,,,,,,
407,90,6194,1829,1229000,411,6039,,,,,,
423,176,11907,7962,1290000,3855,7785,,,,,,
462,314,3109,3039,1654000,5692,5134,,,,,,
464,373,2390,7931,1298000,1612,5190,,,,,,
466,7,3123,4674,993189,7122,4459,,,,,,
470,198,11330,1774,3551000,806,6364,,,,,,
500,178,7287,6844,707318,7979,6697,,,,,,
502,129,1953,6382,2194000,6064,7769,,,,,,
507,227,2255,1534,6425000,7417,2867,,,,,,
516,485,6006,8013,2383000,4650,6251,,,,,,
529,490,9655,510,3544000,3038,6600,,,,,,
546,90,2125,1283,2373000,1778,6125,,,,,,
549,245,4888,7102,16623000,3985,2887,,,,,,
554,9,5938,6100,20572000,1630,3892,,,,,,
555,41,3952,8640,771597,7984,7801,,,,,,
556,374,3209,5944,3065000,1074,3347,,,,,,
562,217,4306,4147,4774000,5672,6814,,,,,,
580,109,4040,8645,5153000,7663,7806,,,,,,
591,563,3139,2600,8648000,460,5938,,,,,,
627,53,2719,1883,16251000,5181,2287,,,,,,
632,63,11956,8652,3314000,8004,7815,,,,,,
641,217,4209,306,15195000,805,127,,,,,,
643,466,3968,2900,7186000,2901,6233,,,,,,
670,446,2818,2921,24539000,4464,2727,,,,,,
671,90,1122,8660,780173,6953,148,,,,,,
696,66,2568,844,19985000,757,635,,,,,,
700,356,4424,4291,2321000,1018,790,,,,,,
707,113,9396,6637,2428000,5157,3130,,,,,,
748,198,2295,2640,2015000,708,1530,,,,,,
759,178,4690,8676,1656000,2873,7835,,,,,,
760,270,2396,7527,19071000,8017,1547,,,,,,
768,303,4935,8677,1528000,8018,2198,,,,,,
776,314,6456,4907,3511000,403,1911,,,,,,
792,132,9851,6258,1080000,6240,3290,,,,,,
803,481,11995,8680,1076000,8023,7842,,,,,,
806,271,12003,8682,380380,8024,7843,,,,,,
813,563,24,4647,2341000,3082,5469,,,,,,
825,294,7137,4304,3313000,5636,1579,,,,,,
829,109,2324,7432,5067000,8026,7844,,,,,,
835,291,2611,4337,13409000,3285,2382,,,,,,
838,234,1401,6978,11023000,3535,344,,,,,,
848,177,6393,8689,1215000,5477,5551,,,,,,
849,135,6886,5118,8395000,3459,3166,,,,,,
861,483,2580,2133,16501000,1753,7850,,,,,,
863,340,769,1627,5970000,441,1350,,,,,,
877,481,846,7,12015000,538,5118,,,,,,
888,494,7821,3891,3368000,7885,3112,,,,,,
895,392,7310,8696,2904000,8041,7856,,,,,,
913,323,5878,2269,1744000,2749,3506,,,,,,
922,102,2394,4868,5019000,433,1538,,,,,,
940,323,10923,7541,829196,8048,7862,,,,,,
949,435,161,4077,1339000,2186,1581,,,,,,
959,428,191,2902,2420000,2166,4084,,,,,,
960,247,12039,8703,10011000,8051,7867,,,,,,
968,531,3919,2015,8910000,3843,228,,,,,,
970,350,138,226,8760000,2228,3981,,,,,,
976,509,12050,8708,447237,8055,7870,,,,,,
980,432,7099,1220,5170000,6415,1980,,,,,,
981,234,8102,861,1663000,5827,5477,,,,,,
984,148,5991,4051,2888000,3579,3112,,,,,,
988,182,8182,8709,833713,5680,6475,,,,,,
989,72,922,934,10319000,541,5670,,,,,,
998,91,12063,6699,282132,8057,7874,,,,,,
