sample,change%,last_trade_price,open_price,volumn,today_high,today_low,previous_close,52wk_H,52wk_L
4,11,7155,5392,842625,7355,5147,3623,4719,2029
27,361,9167,8555,2175690,4367,2422,267,4727,73
29,258,7428,8557,11318771,7911,2304,83,113,2487
37,101,9852,5948,14144190,7913,7711,3528,143,111
38,8,6185,6773,1007162,2507,7712,6945,146,1239
48,474,8624,4301,306916,7916,7715,6512,183,148
76,258,3303,7901,9118419,6038,5665,5420,292,8391
79,184,2907,1284,33721909,4559,1751,5178,303,3710
88,31,8995,2606,1630272,6049,5987,6953,4743,262
100,266,668,7261,1792436,1082,2134,6955,398,306
102,322,7152,1014,4480578,5671,5901,6957,406,208
110,337,11033,7683,4059367,4748,6965,6959,439,504
112,61,9237,8567,1527264,7926,5068,3000,444,2514
121,41,11825,7632,1466691,6309,7722,6960,477,364
123,435,7664,8569,1622188,2804,1477,6962,484,369
148,454,2562,6671,1953908,2712,5762,440,569,439
152,228,127,4321,579001,5294,2454,6972,342,450
168,208,11840,8578,6078962,7933,7729,6977,6197,491
171,509,2772,4995,4999625,4083,6868,3310,3638,498
177,356,865,2976,3710896,1088,587,1333,674,3690
181,514,11849,8582,1270538,7934,7735,6980,690,532
201,205,7803,7961,3051464,6962,1931,6986,756,594
205,80,2796,4573,40578417,6203,4741,1218,770,607
209,215,3721,1883,105219268,6279,5156,3028,785,622
214,155,6602,969,1742919,1477,6286,6990,804,7393
216,135,11065,4140,4922271,4212,7741,2346,811,1240
240,650,11040,8597,1897169,7943,1966,6997,7220,4030
267,414,6036,2267,2258938,3661,3288,5411,986,765
279,247,8222,8605,329318,6789,7375,6855,4812,2569
290,485,11870,8607,962566,7948,7759,7011,1067,830
291,924,6312,6860,3723532,7949,7760,7012,1070,44
295,274,6749,3794,1094791,2876,7761,7013,4326,846
322,339,9395,1373,587170,7955,1801,1849,1172,480
325,351,4844,2459,1138744,4415,6002,7021,1182,2599
359,109,11889,8613,20927688,1166,7773,7025,8154,1010
