Source,Symbol,Change_C$,Last_Trading_Price,Open_price,Change$,volume,Today's_high,Today's_low,Previous_close,52wkHigh,52wkLow,Shares_Outstanding,P/E,Marketcap,Yield,Dividend,EPS,attribute9,attribute10
1,3,10,7,7,5,70635,5,6,,,,,,,,,,1,3
2,3,10,7,7,5,17.97,5,6,6,10,6,,,,,,,1,3
3,3,11,7,7,5,70635,5,6,,,,19760000,,256320000,11,5,,1,3
4,3,10,7,7,5,70635,5,6,,11,7,20220000,19,262256000,12,5,11,1,3
5,3,10,7,7,5,70635,5,6,6,11,7,20220197,,,,,,1,3
6,3,10,7,7,5,70635,5,6,6,11,7,20220197,,,,,,1,3
7,3,10,7,7,5,70635,5,6,6,11,7,20220197,,,,,,1,3
8,3,10,7,7,5,70635,5,6,6,11,7,20220197,,,,,,1,3
9,3,10,7,7,5,70635,5,6,6,11,7,20220197,20,262000000,13,6,,1,3
10,3,10,7,7,5,70635,5,6,6,,,,21,262300000,11,,,1,3
11,3,10,7,7,5,70635,5,6,6,11,7,,20,,,,12,1,3
12,3,10,7,7,5,70635,5,6,6,11,7,20220000,22,262860000,14,5,,1,3
13,3,10,7,7,5,70635,5,6,6,11,7,20220197,,,,,,1,3
14,3,10,7,7,5,70635,5,6,6,11,7,20220197,,,,,,1,3
15,3,10,7,7,5,70635,5,6,6,11,7,20220197,,,,,,1,3
16,3,12,7,7,5,70635,5,6,6,11,7,20000000,23,262000000,15,6,13,1,3
17,3,10,7,,,70271,,,6,12,8,20220000,24,262250000,,6,14,1,3
18,3,10,7,7,5,70271,5,6,6,11,7,,25,262260000,,6,,1,3
19,3,,7,,5,70635,,,6,,,,,,,,,1,3
20,3,10,7,7,5,70635,5,6,,11,7,20220000,26,262260000,11,5,14,1,3
21,3,10,7,7,5,70635,5,6,6,,,,,,,,,1,3
22,3,10,7,7,5,70635,5,6,6,11,7,20220197,,,,,,1,3
23,3,10,7,7,5,70635,5,6,,,,,,,,,,1,3
24,3,10,7,7,5,,,,6,,,,,,,,,1,3
25,2,6,3,5,3,,3,4,,8,4,,15,4697000000,,,7,1,2
26,3,10,7,7,5,68000,5,6,6,,,20220000,27,260000000,14,,14,1,3
27,3,10,7,7,5,1865,5,6,6,11,7,,28,256320000,11,5,13,1,3
28,3,10,7,7,5,70635,5,6,6,11,7,20220197,,,,,,1,3
29,3,10,7,7,5,70635,5,6,6,11,7,20220000,29,262860000,14,6,14,1,3
30,3,11,7,7,6,70635,5,6,6,11,7,20220000,30,262253400,14,6,13,1,3
31,3,10,7,7,5,70635,5,6,6,11,7,20220000,21,262300000,11,6,12,1,3
32,3,10,7,7,5,70635,5,6,6,11,7,20220197,,,,,,1,3
33,3,10,7,7,5,70635,5,6,6,11,7,20266769,31,262860000,,5,,1,3
34,3,10,7,7,5,70635,5,6,6,11,7,,32,,16,7,11,1,3
35,3,10,7,,5,70635,,,,,,,,,,,,1,3
36,3,10,7,7,5,70635,5,6,7,11,7,,33,,,,15,1,3
37,3,10,7,7,5,70635,5,6,6,11,7,20220197,,,,,,1,3
38,3,10,,7,5,1865,5,6,6,11,7,,28,256320000,11,5,13,1,3
39,3,,,,,0,,,,,,,,,,,,1,3
40,3,10,7,,5,,,,,,,,32,,,,,1,3
41,3,10,7,7,5,70635,5,6,6,11,7,,,262900,14,5,,1,3
42,3,10,7,7,5,70635,5,6,6,11,7,20220197,,,,,,1,3
43,3,10,7,7,5,70270,5,6,6,11,7,,,,,,,1,3
44,3,5,8,8,2,1404,6,7,,,,,,,,,,1,3
45,3,13,9,,7,,,,,,,,,,,,,1,3
46,3,11,7,7,5,70635,5,6,6,11,7,,20,,,,12,1,3
47,3,,7,7,5,70635,5,6,,,,,,,,,,1,3
48,3,10,7,7,5,70271,5,6,6,13,7,20220197,,261447147,,,,1,3
49,3,10,7,7,5,70635,5,6,6,11,7,,34,262800000,14,5,,1,3
50,3,10,7,7,5,70635,5,6,6,11,7,20220197,21,262255955,11,5,12,1,3
51,3,10,7,7,,68970,5,6,6,11,7,20220000000,35,263000000,,,11,1,3
52,3,10,7,7,5,70635,5,6,,11,7,,21,263000000,15,8,12,1,3
53,3,11,7,7,6,70635,5,6,6,11,7,,36,262250000,15,6,11,1,3
54,3,13,9,,7,,,,,11,7,,37,259320000,17,,13,1,3
55,3,10,7,,5,,5,6,,11,7,,38,262860000,14,6,11,1,3
