Source,Symbol,Change£¤,Last_Trading_Price,Open_price,Change$,volume,Today's_high,Today's_low,Previous_close,52wkHigh,52wkLow,Shares_Outstanding,P/E,Marketcap,Yield,Dividend,EPS,attribute9,attribute10
1,5,17,13,11,3,390774,10,10,,,,,,,,,,1,5
2,5,17,13,12,3,399577,10,10,10,19,13,,50,111020000,,,10,1,5
3,5,17,13,11,3,390774,10,10,,,,33630000,,109640000,,,,1,5
4,5,17,13,11,3,390774,10,10,,19,13,38742000,51,111577000,,,20,1,5
5,5,17,13,11,3,390774,10,10,10,19,13,38699000,,,,,,1,5
6,5,17,13,11,3,390774,10,10,10,19,13,38699000,,,,,,1,5
7,5,17,13,11,3,390774,10,10,10,19,13,38699000,,,,,,1,5
8,5,17,13,11,3,390774,10,10,10,19,13,38699000,,,,,,1,5
9,5,17,13,11,3,390774,10,10,10,19,13,38699000,52,111000000,,,,1,5
10,5,17,13,11,3,385757,10,10,10,,,,53,111500000,,,,1,5
11,5,18,13,11,3,390774,10,10,10,19,13,,54,,,,14,1,5
12,5,17,13,11,3,390774,10,10,10,19,13,38699000,55,106040000,,,,1,5
13,5,17,13,11,3,390774,10,10,10,19,13,38699000,,,,,,1,5
14,5,17,13,11,3,390774,10,10,10,19,13,38699000,,,,,,1,5
15,5,17,13,11,3,390774,10,10,10,19,13,38699000,,,,,,1,5
16,5,19,13,11,3,390774,10,10,10,19,13,39000000,56,111000000,1,1,20,1,5
17,5,17,13,,,390774,,,10,20,14,38700000,51,111460000,,,20,1,5
18,5,17,13,11,3,390774,10,10,10,19,13,,57,111450000,,,,1,5
19,5,,13,,3,392295,,,10,,,,,,,,,1,5
20,5,17,13,11,3,390774,10,10,,19,13,38740000,58,111580000,,,20,1,5
21,5,17,13,11,3,385757,10,10,10,,,,,,,,,1,5
22,5,17,13,11,3,390774,10,10,10,19,13,38699000,,,,,,1,5
23,5,17,13,12,3,390774,10,10,,,,,51,,,,,1,5
24,5,17,13,11,3,,,,10,,,,,,,,,1,5
25,5,17,13,13,3,,10,10,,19,13,,59,111600000,,,20,1,5
26,5,17,13,13,3,378800,10,10,10,,,38700000,55,110000000,1,,20,1,5
27,5,17,13,11,3,10438,10,10,10,19,13,,60,109640000,,,21,1,5
28,5,17,13,11,3,390774,10,10,10,19,13,38699000,,,,,,1,5
29,5,17,13,11,3,390774,10,10,10,19,13,38700000,61,106040000,,,20,1,5
30,5,17,13,11,3,390774,10,10,10,19,13,38699000,51,111453120,,,20,1,5
31,5,17,13,11,3,390774,10,10,10,19,13,38700000,53,111500000,,,14,1,5
32,5,17,13,11,3,390774,10,10,10,19,13,38699000,,,,,,1,5
33,5,17,13,11,3,390774,10,10,10,19,13,36858715,62,106153000,,,,1,5
34,5,17,13,13,,392295,10,10,10,19,13,,59,,,1,20,1,5
35,5,17,14,,3,390774,,,,,,,,,,,,1,5
36,5,17,13,11,3,390774,10,10,11,19,13,,63,,,,7,1,5
37,5,17,13,11,3,390774,10,10,10,19,13,38699000,,,,,,1,5
38,5,17,,11,3,8917,10,10,10,19,13,,60,109640000,,,21,1,5
39,5,,,,,0,,,,,,,,,,,,1,5
40,5,17,13,,3,,,,,,,,59,,,,,1,5
41,5,17,13,11,3,390774,10,10,10,19,13,,,106000,1,1,,1,5
42,5,17,13,11,3,390774,10,10,10,19,13,38699000,,,,,,1,5
43,5,17,13,11,3,390770,10,10,10,19,13,,,,,,,1,5
44,5,5,15,14,2,191594,11,11,,,,,,,,,,1,5
45,5,20,14,,4,,,,,,,,,,,,,1,5
46,5,17,13,11,3,390774,10,10,10,19,13,,54,,,,14,1,5
47,5,,13,13,3,390774,10,10,,,,,,,,,,1,5
48,5,17,13,11,3,390774,10,10,10,21,13,38699000,,109518170,,,,1,5
49,5,17,13,11,3,390774,10,10,10,19,13,,64,106000000,1,1,,1,5
50,5,17,13,11,3,392295,10,10,10,19,13,38699000,65,111453120,,,14,1,5
51,5,17,13,11,3,381857,10,10,10,19,13,38690000000,66,106000000,,,22,1,5
52,5,17,13,11,3,385757,10,10,,19,13,,65,106000000,,,12,1,5
53,5,17,13,13,3,390774,10,10,10,19,13,,67,111580000,,,20,1,5
54,5,21,14,,4,,,,,19,13,,68,110640000,1,,14,1,5
55,5,17,13,,3,,10,10,,19,13,,55,106040000,1,1,20,1,5
