entity,brand,num,condition,day
6_2,Nikon,17.623652891455077,Preset;Auto,1
13_2,Nikon,17.4810534,Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Preset Manual;Color Temperature;All with Fine-Tuning;Auto,1
18_2,Canon,11.677956483363797,Custom White Balance;Auto;Preset;Custom;Colour temperature setting;White Balance Presets,1
19_2,Nikon,18.7673554138212,Preset;Auto,1
23_2,Canon,13.545338608584188,Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing;Available Auto,1
41_2,Nikon,15.00844828371084,Preset;Auto,1
44_2,Nikon,18.653977250532353,Preset;Auto,1
48_2,Canon,12.44340008,Daylight;Cloudy;Tungsten;Fluorescent;Fluorescent H;Flash;Custom1;Custom 2;Multi-area WB Correction;White Balance Compensation;Auto,1
570_2,Nikon,34.85712352,White Balance Presets;Auto;Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Color Temperature;All with Fine-tuning;Custom White Balance,1
58_2,Nikon,9.197391018,Custom White Balance;White Balance Presets,1
65_2,Fujifilm,15.92489001,Preset;Automatic,1
67_2,Canon,16.15411089,Day Light;Cloudy;Tungsten;Fluorescent;Fluorescent H;Custom;Auto,1
69_2,Sony,38.30139049,Custom White Balance;White Balance Presets,1
70_2,Panasonic,15.09644714,Daylight;Cloudy;Shade;Incandescent;White Set;Auto,1
75_2,Nikon,12.618429133991055,incandescent;fluorescent;direct sunlight;flash;cloudy;shade;preset manual white balance;color temperature selection;Auto,1
76_2,Nikon,24.42504462,White Balance Presets;Auto;Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Preset Manual;All with Fine-tuning;Custom White Balance,1
83_2,Nikon,4.670406281556303,Auto,1
88_2,Sony,19.51815235,Custom White Balance;White Balance Presets,1
96_2,Canon,15.062271269041304,Preset;Custom;Color Temperature Setting;Auto,1
101_2,Canon,16.81158881287491,Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing;Auto,1
6_1,Nikon,18.197005593075087,Auto;Preset,1
13_1,Nikon,16.2,Auto;Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Preset Manual;Color Temperature;All with Fine-Tuning,1
