entity,brand,num,condition,day
6_2,Nikon,17.532074308701468,Preset;Auto,1
13_2,Nikon,17.4810534,Daylight;Sunny;Fine;Flash;Fluorescent;Incandescent;Shade;Sunlight;Tungsten;Cloudy,1
18_2,Canon,11.602341195930416,Daylight;Sunny;Flash;Fluorescent;Halogen;Incandescent;Shade;Tungsten;Cloudy,1
19_2,Nikon,18.614903785853752,Preset;Auto,1
23_2,Canon,13.493787699011971,Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing;Available Auto,1
41_2,Nikon,14.946064455796193,Preset;Auto,1
44_2,Nikon,18.577100780250944,Preset;Auto,1
48_2,Canon,12.44340008,Daylight;Sunny;Flash;Fluorescent;Tungsten;Cloudy,1
570_2,Nikon,34.07620968,Daylight;Sunny;Flash;Fluorescent;Incandescent;Shade;Tungsten;Cloudy,1
58_2,Nikon,10.67276466,Cloudy;Daylight;Sunny;Flash;Fluorescent;Incandescent;Shade;Sunlight;Sunny;Tungsten;Artificial,1
65_2,Fujifilm,15.92489001,Sunny;Shade;Daylight,1
67_2,Canon,16.15411089,Cloudy;Daylight;Sunny;Fluorescent;Tungsten;Artificial,1
69_2,Sony,32.97253955,Daylight;Sunny;Shade;Underwater;Cloudy,1
70_2,Panasonic,13.06127191,Daylight;Sunny;Incandescent;Shade;Cloudy,1
75_2,Nikon,12.565687586359028,incandescent;fluorescent;direct sunlight;flash;cloudy;shade;preset manual white balance;color temperature selection;Auto,1
76_2,Nikon,24.42504462,Sunlight,1
83_2,Nikon,4.442894601819447,Auto,1
88_2,Sony,19.51815235,Daylight;Sunny;Flash;Cloudy,1
96_2,Canon,14.986731065105449,Preset;Custom;Color Temperature Setting;Auto,1
101_2,Canon,16.75761096620793,Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing;Auto,1
6_1,Nikon,18.10999971176297,Auto;Preset,1
13_1,Nikon,16.2,Cloudy;Daylight;Sunny;Fine;Flash;Fluorescent;Incandescent;Shade;Sunlight;Tungsten,1
18_1,Canon,11.557341863904165,Cloudy;Daylight;Sunny;Flash;Fluorescent;Halogen;Incandescent;Shade;Tungsten,1
19_1,Nikon,18.25574837291906,Auto;Preset,1
23_1,Canon,13.69842984267714,Available Auto;Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing,1
41_1,Nikon,15.153642344635097,Auto;Preset,1
44_1,Nikon,18.08257018279032,Auto;Preset,1
48_1,Canon,12.1,Cloudy;Daylight;Sunny;Flash;Fluorescent;Tungsten,1
570_1,Nikon,36.3,Cloudy;Daylight;Sunny;Flash;Fluorescent;Incandescent;Shade;Tungsten,1
58_1,Nikon,10.1,Artificial;Cloudy;Daylight;Sunny;Flash;Fluorescent;Incandescent;Shade;Sunlight;Sunny;Tungsten,1
65_1,Fujifilm,16,Automatic;Preset,1
67_1,Canon,16,Artificial;Cloudy;Daylight;Sunny;Fluorescent;Tungsten,1
69_1,Sony,36,Cloudy;Daylight;Sunny;Shade;Underwater,1
70_1,Panasonic,14.1,Cloudy;Daylight;Sunny;Incandescent;Shade,1
75_1,Nikon,12.404167439708354,Auto;incandescent;fluorescent;direct sunlight;flash;cloudy;shade;preset manual white balance;color temperature selection,1
76_1,Nikon,24,Sunlight,1
83_1,Nikon,4.4028039966003805,Auto,1
88_1,Sony,20,Cloudy;Daylight;Sunny;Flash,1
96_1,Canon,15.168693400154247,Auto;Preset;Custom;Color Temperature Setting,1
101_1,Canon,16.91586415284152,Auto;Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing,1
6_3,Nikon,17.532074308701468,Preset;Auto,1
13_3,Nikon,17.4810534,Daylight;Sunny;Fine;Flash;Fluorescent;Incandescent;Shade;Sunlight;Tungsten;Cloudy,1
