entity,brand,screen_type,supported_aspect_ratio,response_time(ms),screen_size_diagonal,day
22_2,Philips Electronics,LCD Monitor,5:04,5.092179613242446,48.75279739665347,1.0
25_2,Philips Electronics,LCD Monitor,16:10,4.072820567340779,46.16733349700712,0.8356032219807472
27_2,Philips Electronics,LCD Monitor,16:09,4.928515889095468,53.98354105602748,1.0
28_2,Philips Electronics,LCD Monitor,16:09,4.149924261971139,46.30339558869552,0.8355495349717841
32_2,Philips Electronics,LCD Monitor,16:09,5.131110292155679,61.349006835751666,1.0
33_2,Philips Electronics,LCD Monitor,16:09,2.307043653165366,61.69118543614286,1.0
39_2,Philips Electronics,Brilliance LCD Monitor,16:09,4.620230028184259,67.14736826620958,1.0
40_2,Philips Electronics,Monitor,16:09,4.058616977231312,58.52873910595594,0.8355495349717841
41_2,Philips Electronics,LCD Monitor,16:09,4.974200420447076,66.91073924797136,1.0
62_2,Philips Electronics,LCD Monitor,16:09,13.975222734559592,60.90654418343036,1.0
88_2,iiyama North America,Brilliance LCD Monitor,16:09,2.053464304784797,58.28193440080332,1.0
103_2,Hannspree,LCD Monitor,16:09,4.958942200718535,50.973911434320385,1.0
128_2,Asus,LCD Monitor,16:10,6.075317464,60.7452146,1
132_2,Asus,LCD Monitor,21:09,4.996371012142561,72.62293511552978,1.0
133_2,Asus,Brilliance LCD Monitor,16:09,7.95655035737102,81.27383170976825,1.0
168_2,Asus,LCD Monitor,16:09,1.9930854072581525,69.34815679423838,1.0
171_2,Asus,LCD Monitor,16:09,1.882792081,63.67587246,1
186_2,Asus,Monitor,16:09,4.7927535095190485,55.280682875840775,1.0
190_2,Asus,Brilliance LCD Monitor,16:09,5.041552651673645,71.50444564464011,1.0
193_2,iiyama North America,Brilliance LCD Monitor,16:09,4.344661640742446,50.08307573669417,0.8355495349717841
22_1,Philips Electronics,LCD Monitor,5:04,5,0,1.0
25_1,Philips Electronics,LCD Monitor,16:10,5,0,1.0
27_1,Philips Electronics,LCD Monitor,16:09,5,0,1.0
28_1,Philips Electronics,LCD Monitor,16:09,5,0,1.0
32_1,Philips Electronics,LCD Monitor,16:09,5,0,1.0
33_1,Philips Electronics,LCD Monitor,16:09,1,0,1.0
39_1,Philips Electronics,LCD Monitor,16:09,5,0,1.0
40_1,Philips Electronics,LCD Monitor,16:09,5,0,1.0
41_1,Philips Electronics,LCD Monitor,16:09,5,0,1.0
62_1,Philips Electronics,LCD Monitor,16:10,14,0,1.0
88_1,iiyama North America,LCD Monitor,16:09,2,0,1.0
103_1,Hannspree,LCD Monitor,16:09,5,0,1.0
128_1,Asus,LCD Monitor,16:10,6,0,1.0
132_1,Asus,LCD Monitor,21:09,5,0,1.0
