entity,brand,screen_type,supported_aspect_ratio,response_time(ms),screen_size_diagonal,day
22_2,Philips Electronics,LCD Monitor,5:04,5.092297383889826,48.7611220825233,1.0
25_2,Philips Electronics,LCD Monitor,16:10,4.067245934629805,46.1067701900665,0.8344980652236238
27_2,Philips Electronics,LCD Monitor,16:09,4.928384058961928,53.981675430990606,1.0
28_2,Philips Electronics,LCD Monitor,16:09,4.153440984889761,46.35382956582576,0.8362620319660204
32_2,Philips Electronics,LCD Monitor,16:09,5.132014974672403,61.35731814882752,1.0
33_2,Philips Electronics,LCD Monitor,16:09,2.309712687290623,61.68645150787986,1.0
39_2,Philips Electronics,Brilliance LCD Monitor,16:09,4.6202917399628545,67.13189599287635,1.0
40_2,Philips Electronics,Monitor,16:09,4.0619272602137615,58.57436029662126,0.8362620319660204
41_2,Philips Electronics,LCD Monitor,16:09,4.9743750068909085,66.91082419173554,1.0
62_2,Philips Electronics,LCD Monitor,16:09,13.975406831120495,60.908088119565505,1.0
88_2,iiyama North America,Brilliance LCD Monitor,16:09,2.0533086267088665,58.27710701112985,1.0
103_2,Hannspree,LCD Monitor,16:09,4.9584290317970705,50.97951755139808,1.0
128_2,Asus,LCD Monitor,16:10,6,60.7452146,1
132_2,Asus,LCD Monitor,21:09,4.996216826122525,72.6233964511877,1.0
133_2,Asus,Brilliance LCD Monitor,16:09,7.956364527638615,81.26156303602453,1.0
168_2,Asus,LCD Monitor,16:09,1.9930490795333635,69.34383555838268,1.0
171_2,Asus,LCD Monitor,16:09,1.882792081,63.67587246,1
186_2,Asus,Monitor,16:09,4.792688453374358,55.28853532368722,1.0
190_2,Asus,Brilliance LCD Monitor,16:09,5.041253093307414,71.51140571838799,1.0
193_2,iiyama North America,Brilliance LCD Monitor,16:09,4.349267765137685,50.12729707785462,0.8362620319660204
22_1,Philips Electronics,LCD Monitor,5:04,5,0,1.0
25_1,Philips Electronics,LCD Monitor,16:10,5,0,1.0
27_1,Philips Electronics,LCD Monitor,16:09,5,0,1.0
28_1,Philips Electronics,LCD Monitor,16:09,5,0,1.0
32_1,Philips Electronics,LCD Monitor,16:09,5,0,1.0
33_1,Philips Electronics,LCD Monitor,16:09,1,0,1.0
39_1,Philips Electronics,LCD Monitor,16:09,5,0,1.0
40_1,Philips Electronics,LCD Monitor,16:09,5,0,1.0
41_1,Philips Electronics,LCD Monitor,16:09,5,0,1.0
62_1,Philips Electronics,LCD Monitor,16:10,14,0,1.0
88_1,iiyama North America,LCD Monitor,16:09,2,0,1.0
103_1,Hannspree,LCD Monitor,16:09,5,0,1.0
128_1,Asus,LCD Monitor,16:10,6,0,1.0
132_1,Asus,LCD Monitor,21:09,5,0,1.0
133_1,Asus,LCD Monitor,16:09,8,0,1.0
168_1,Asus,LCD Monitor,16:09,2,0,1.0
171_1,Asus,LCD Monitor,16:09,2,0,1.0
186_1,Asus,LCD Monitor,16:10,5,0,1.0
190_1,Asus,LCD Monitor,16:09,5,0,1.0
