entity,brand,screen_type,supported_aspect_ratio,response_time(ms),screen_size_diagonal,day
22_2,Philips Electronics,LCD Monitor,5:04,5.0974094685,48.592066755000005,1.0
25_2,Philips Electronics,LCD Monitor,16:10,4.038734973166667,45.76526843833333,0.8333333333333334
27_2,Philips Electronics,LCD Monitor,16:09,4.938798906333334,53.79724581833334,1.0
28_2,Philips Electronics,LED,16:09,4.958772703666667,55.47646746833334,1.0
32_2,Philips Electronics,LCD Monitor,16:09,4.295808287500001,52.27302690166667,0.8333333333333334
33_2,Philips Electronics,LCD Monitor,16:09,3.0698232586666667,60.06361518166667,1.0
39_2,Philips Electronics,Brilliance LCD Monitor,16:08,3.9689176608333336,66.41224522833335,1.0
40_2,Philips Electronics,TFT/LCD,16:09,4.845652325166667,70.21934924333334,1.0
41_2,Philips Electronics,TFT/LCD,16:09,4.141753744166667,55.35483044333334,0.8333333333333334
62_2,Philips Electronics,IPS,16:09,12.636761540166669,63.05575050666667,1.0
88_2,iiyama North America,TN+Film,16:09,3.916399400833334,58.269200635000004,1.0
103_2,Hannspree,LED,16:09,4.515871204833333,52.41717348000001,1.0
128_2,Asus,LCD Monitor,16:11,6,60.7452146,1
132_2,Asus,LCD Monitor,21:09,5.2356011596666665,71.95761890333334,1.0
133_2,Asus,IGZO,16:09,7.5105983965,78.94205532333334,1.0
168_2,Asus,LCD,16:09,2.9719490655000005,71.88868873000001,1.0
171_2,Asus,LCD Monitor,16:10,1.882792081,66.21457049,1
186_2,Asus,TN+Film,16:09,4.348461930833334,57.061181055,1.0
190_2,Asus,IPS,16:09,4.913318449666667,67.27902789500001,1.0
193_2,iiyama North America,IPS,16:09,5.231610119666667,62.55200915666667,1.0
22_1,Philips Electronics,LCD Monitor,5:04,5,0,0.8333333333333334
25_1,Philips Electronics,LCD Monitor,16:10,5,0,1.0
27_1,Philips Electronics,LCD Monitor,16:09,5,0,1.0
28_1,Philips Electronics,LCD Monitor,16:09,5,0,1.0
32_1,Philips Electronics,LCD Monitor,16:09,5,0,1.0
33_1,Philips Electronics,LCD Monitor,16:09,5,0,1.0
39_1,Philips Electronics,LCD Monitor,16:09,5,0,1.0
40_1,Philips Electronics,LCD Monitor,16:09,5,0,1.0
