entity,brand,screen_type,supported_aspect_ratio,response_time(ms),screen_size_diagonal,day
22_1,Philips Electronics,LCD Monitors,5:04,5.11116343990255,48.73819627478178,1.0
25_1,Philips Electronics,LCD,16:10,3.808502821244321,43.37350211217776,0.7918267769160481
27_1,Philips Electronics,LCD Monitors,16:09,4.915066534954941,53.712851662118624,1.0
28_1,Philips Electronics,LCD/LED,16:09,4.08742388218455,45.88095159298027,0.8258425132641993
32_1,Philips Electronics,LCD Monitor,16:09,5.1534178332876674,61.76341228887361,1.0
33_1,Philips Electronics,LCD Monitor,16:09,2.7203612748928796,61.714581454631606,1.0
39_1,Philips Electronics,Brilliance LCD Monitor,16:08,4.51261845634418,66.98667058724166,1.0
40_1,Philips Electronics,LCD,16:09,3.9848737807410153,58.16092073199869,0.8258425132641993
41_1,Philips Electronics,LCD,16:08,4.963012797392489,66.39677510088941,1.0
62_1,Philips Electronics,Monitor,16:09,14.035532181762918,61.045848127159715,1.0
88_1,iiyama North America,LCD,16:08,2.0613601104722723,57.807881230760565,1.0
103_1,Hannspree,LCD,16:09,4.958530304813449,51.445787155753756,1.0
128_1,Asus,LCD Monitor,16:11,6.508493947,60.43602424,1
132_1,Asus,LCD Monitor,21:09,5.008058797651595,72.69144545261936,1.0
133_1,Asus,LCD Monitor,16:09,7.94090169528149,81.55607998109946,1.0
168_1,Asus,Monitor,16:09,1.9945669977231018,69.40588560668623,1.0
171_1,Asus,LCD Monitor,16:09,1.882792081,66.98184245,1
186_1,Asus,LCD Monitor,16:09,4.75399493389427,55.31775448181385,1.0
190_1,Asus,Monitor,16:09,5.042608069499607,71.74470810717439,1.0
193_1,iiyama North America,Monitors,16:10,4.326798828820209,49.88074334120826,0.8258425132641993
