entity,brand,screen_type,supported_aspect_ratio,response_time(ms),screen_size_diagonal,day
22_2,Philips Electronics,LCD Monitor,5:04,5.090884556546204,48.787981638537495,1.0
25_2,Philips Electronics,LCD Monitor,16:10,4.081560338004753,46.26819853590881,0.8363903719496846
27_2,Philips Electronics,LCD Monitor,16:09,4.929512674156224,54.067006195979346,1.0
28_2,Philips Electronics,LCD Monitor,16:09,4.1382445054329615,46.229180499703325,0.833138803682427
32_2,Philips Electronics,LCD Monitor,16:09,5.13269726736243,61.29741164561308,1.0
33_2,Philips Electronics,LCD Monitor,16:09,2.24553187051432,61.71304440049971,1.0
39_2,Philips Electronics,Brilliance LCD Monitor,16:09,4.63875708634938,67.07896587111703,1.0
40_2,Philips Electronics,Monitor,16:09,4.047741461752251,58.27135256912169,0.833138803682427
41_2,Philips Electronics,LCD Monitor,16:09,4.97802412399022,66.97329655441044,1.0
62_2,Philips Electronics,LCD Monitor,16:09,13.952861431496293,60.829815477275474,1.0
88_2,iiyama North America,Brilliance LCD Monitor,16:09,2.0516260392574686,58.272321231222584,1.0
103_2,Hannspree,LCD Monitor,16:09,4.9512232250914,50.93286266961549,1.0
128_2,Asus,LCD Monitor,16:10,6.075317464,60.7452146,1
132_2,Asus,LCD Monitor,21:09,4.9939331865113,72.5648989313562,1.0
133_2,Asus,Brilliance LCD Monitor,16:09,7.956026213889719,81.1568006758157,1.0
168_2,Asus,LCD Monitor,16:09,1.9922818216300966,69.29939256937242,1.0
171_2,Asus,LCD Monitor,16:09,1.882792081,63.67587246,1
186_2,Asus,Monitor,16:09,4.79533351573498,55.28577096829095,1.0
190_2,Asus,Brilliance LCD Monitor,16:09,5.046087480565888,71.57805038473677,1.0
193_2,iiyama North America,Brilliance LCD Monitor,16:09,4.3362222486536215,49.905417912649995,0.833138803682427
22_1,Philips Electronics,LCD Monitor,5:04,5,0,1.0
25_1,Philips Electronics,LCD Monitor,16:10,5,0,1.0
27_1,Philips Electronics,LCD Monitor,16:09,5,0,1.0
28_1,Philips Electronics,LCD Monitor,16:09,5,0,1.0
32_1,Philips Electronics,LCD Monitor,16:09,5,0,1.0
33_1,Philips Electronics,LCD Monitor,16:09,1,0,1.0
39_1,Philips Electronics,LCD Monitor,16:09,5,0,1.0
40_1,Philips Electronics,LCD Monitor,16:09,5,0,1.0
41_1,Philips Electronics,LCD Monitor,16:09,5,0,1.0
62_1,Philips Electronics,LCD Monitor,16:10,14,0,1.0
88_1,iiyama North America,LCD Monitor,16:09,2,0,1.0
103_1,Hannspree,LCD Monitor,16:09,5,0,1.0
128_1,Asus,LCD Monitor,16:10,6,0,1.0
132_1,Asus,LCD Monitor,21:09,5,0,1.0
133_1,Asus,LCD Monitor,16:09,8,0,1.0
168_1,Asus,LCD Monitor,16:09,2,0,1.0
171_1,Asus,LCD Monitor,16:09,2,0,1.0
186_1,Asus,LCD Monitor,16:10,5,0,1.0
190_1,Asus,LCD Monitor,16:09,5,0,1.0
193_1,iiyama North America,LCD Monitor,16:09,5,0,1.0
22_3,Philips Electronics,LCD Monitor;LCD Monitor;LCD,5:04,5,0,1.0
25_3,Philips Electronics,LCD Monitor,16:10,5,0,1.0
27_3,Philips Electronics,LCD Monitor;LCD Monitor;TFT Brilliance LCD 16.7 Million Colour,16:09,5,0,1.0
