entity,brand,screen_type,supported_aspect_ratio,response_time(ms),screen_size_diagonal,day
22_2,Philips Electronics,LCD Monitor,5:04,5.089187623138071,48.9573101388993,1.0
25_2,Philips Electronics,LCD Monitor,16:10,4.00347852660539,45.29963753455414,0.8272237744460946
27_2,Philips Electronics,LCD Monitor,16:09,4.933175831178733,53.75651360737322,1.0
28_2,Philips Electronics,LCD Monitor,16:09,4.973613065557185,55.59473700355555,1.0
32_2,Philips Electronics,LCD Monitor,16:09,4.468445535196519,53.884943844671994,0.8630156405344603
33_2,Philips Electronics,LCD Monitor,16:09,2.878059581585514,60.21972236210743,1.0
39_2,Philips Electronics,Brilliance LCD Monitor,16:10,4.107076914385875,66.07532794019639,1.0
40_2,Philips Electronics,Monitor,16:09,4.846756925388567,70.20048897198303,1.0
41_2,Philips Electronics,LCD Monitor,16:08,4.2972202728452835,57.55923868836052,0.8630156405344603
62_2,Philips Electronics,LCD Monitor,16:09,12.858273519076516,62.8477188562961,1.0
88_2,iiyama North America,Brilliance LCD Monitor,16:09,3.5858227207795323,58.28852405931812,1.0
103_2,Hannspree,LCD Monitor,16:09,4.598704400313118,52.12229380377832,1.0
128_2,Asus,LCD Monitor,16:10,6,60.7452146,1
132_2,Asus,LCD Monitor,21:09,5.166968077750849,71.86551263879485,1.0
133_2,Asus,Brilliance LCD Monitor,16:09,7.6085484227718645,79.00235676506387,1.0
168_2,Asus,LCD Monitor,16:09,2.797294166342576,71.44824904495837,1.0
171_2,Asus,LCD Monitor,16:09,1.882792081,63.67587246,1
186_2,Asus,Monitor,16:09,4.4310219281327194,56.8406599839611,1.0
190_2,Asus,Brilliance LCD Monitor,16:09,4.9090680702111005,68.2470698507652,1.0
193_2,iiyama North America,Brilliance LCD Monitor,16:09,5.237157979975217,62.000017602800526,1.0
22_1,Philips Electronics,LCD Monitor,5:04,5,0,0.8630156405344603
25_1,Philips Electronics,LCD Monitor,16:10,5,0,1.0
27_1,Philips Electronics,LCD Monitor,16:09,5,0,1.0
28_1,Philips Electronics,LCD Monitor,16:09,5,0,1.0
32_1,Philips Electronics,LCD Monitor,16:09,5,0,1.0
33_1,Philips Electronics,LCD Monitor,16:09,5,0,1.0
39_1,Philips Electronics,LCD Monitor,16:09,5,0,1.0
40_1,Philips Electronics,LCD Monitor,16:09,5,0,1.0
41_1,Philips Electronics,LCD Monitor,16:09,5,0,1.0
62_1,Philips Electronics,LCD Monitor,16:10,5,0,1.0
88_1,iiyama North America,LCD Monitor,16:09,2,0,1.0
103_1,Hannspree,LCD Monitor,16:09,5,0,1.0
128_1,Asus,LCD Monitor,16:10,5,0,1.0
132_1,Asus,LCD Monitor,21:09,5,0,1.0
133_1,Asus,LCD Monitor,16:09,5,0,1.0
168_1,Asus,LCD Monitor,16:09,2,0,1.0
171_1,Asus,LCD Monitor,16:09,2,0,1.0
186_1,Asus,LCD Monitor,16:10,5,0,1.0
190_1,Asus,LCD Monitor,16:09,5,0,1.0
193_1,iiyama North America,LCD Monitor,16:09,5,0,1.0
22_3,Philips Electronics,LED Monitor,5:04,5,0,1.0
25_3,Philips Electronics,LCD Monitor,16:10,5,0,1.0
27_3,Philips Electronics,LCD Monitor,16:09,5,0,1.0
28_3,Philips Electronics,LCD Monitor,16:09,5,0,1.0
32_3,Philips Electronics,LCD Monitor,16:09,5,0,1.0
33_3,Philips Electronics,LCD Monitor,16:09,5,0,1.0
39_3,Philips Electronics,Brilliance LCD Monitor,16:09,5,0,1.0
40_3,Philips Electronics,Monitor,16:09,5,0,1.0
41_3,Philips Electronics,LCD Monitor,16:09,5,0,1.0
62_3,Philips Electronics,LCD Monitor,16:09,5,0,1.0
88_3,iiyama North America,Brilliance LCD Monitor,16:09,2,0,1.0
103_3,Hannspree,LCD Monitor,16:09,5,0,1.0
128_3,Asus,LCD Monitor,16:10,5,0,1.0
132_3,Asus,LCD Monitor,21:09,5,0,1.0
133_3,Asus,Brilliance LCD Monitor,16:09,5,0,1.0
168_3,Asus,LCD Monitor,16:09,2,0,1.0
171_3,Asus,LCD Monitor,16:09,2,0,1.0
186_3,Asus,Monitor,16:09,5,0,1.0
190_3,Asus,Brilliance LCD Monitor,16:09,5,0,1.0
