entity,Domain,Conditions,Humidity,day
2.0,Austin,Rain;Mist,93.0,1.0
4.999999999999999,Austin,Rain;Light Rain,93.0,1.0
9.999999999999998,Austin,Rain,93.0,1.0
13.0,Austin,Cloudy;Overcast,80.99999999999999,1.0
25.0,Austin,Cloudy,80.99999999999999,1.0
31.0,Austin,Cloudy,84.00000000000001,1.0
34.99999999999999,Austin,Cloudy;Overcast,80.99999999999999,1.0
37.99999999999999,Austin,Cloudy,84.99999999999999,1.0
39.0,Austin,Cloudy,87.0,1.0
43.0,Austin,Cloudy;Overcast;Showers,93.0,1.0
50.0,Austin,Cloudy;Fog;Haze,80.99999999999999,1.0
60.000000000000014,Austin,Overcast,84.99999999999999,1.0
91.0,Austin,Not totally Cloudy;Partly Cloudy,64.0,1.0
104.0,Austin,Clear;Not totally Sunny,79.99999999999999,1.0
112.00000000000001,Austin,Sunny;Clear,53.0,1.0
130.0,Austin,Cloudy,87.99999999999997,1.0
131.99999999999997,Austin,Cloudy,87.99999999999997,1.0
144.99999999999994,Austin,Cloudy,80.99999999999999,1.0
148.99999999999997,Austin,Rain;Light Rain,93.0,1.0
153.99999999999997,Austin,Cloudy;Overcast;Showers,93.0,1.0
156.0,Austin,Rain;Light Rain,100.0,1.0
167.0,Austin,Cloudy;Fog;Fog And Mist;Light Rain;Light Rain Mist,100.0,1.0
174.0,Austin,Mist/Fog,93.0,1.0
204.99999999999997,Austin,Fog;Overcast;Showers;Mist,93.0,1.0
209.00000000000003,Austin,Fog;Overcast;Rain,93.0,1.0
250.99999999999997,Austin,Mist/Fog,86.0,1.0
253.99999999999994,Austin,Mist/Fog,86.0,1.0
257.0,Baltimore,Overcast with Haze,79.99999999999999,1.0
259.0,Baltimore,Cloudy,75.99999999999999,1.0
272.99999999999994,Baltimore,Rain;Light Rain,87.0,1.0
275.0,Baltimore,Rain,93.0,1.0
279.99999999999994,Baltimore,Rain;Light Rain,100.0,1.0
301.99999999999994,Baltimore,Overcast,79.99999999999999,1.0
314.0,Baltimore,Mist/Light Rain Fog,93.0,1.0
314.99999999999994,Baltimore,Mist/Light Rain Fog,90.00000000000001,1.0
323.99999999999994,Baltimore,Mostly Cloudy;Fair;Clean,43.0,1.0
342.0,Baltimore,Clear,52.0,1.0
375.9999999999999,Baltimore,Fair,43.0,1.0
382.0,Baltimore,A Few Clouds,56.99999999999999,1.0
398.0,Baltimore,Overcast,39.99999999999999,1.0
406.99999999999994,Charlotte,Cloudy;Overcast,36.0,1.0
407.9999999999999,Charlotte,Cloudy;Overcast,36.0,1.0
428.00000000000006,Charlotte,Snow;Fair,78.99999999999999,1.0
441.0,Charlotte,Light Snow;Flurries;Light,79.99999999999999,1.0
462.0000000000001,Charlotte,Sunny;Clear,32.99999999999999,1.0
466.9999999999999,Charlotte,Sunny;Clear,37.0,1.0
483.0000000000001,Charlotte,Clear,61.0,1.0
496.0,Charlotte,Mainly Cloudy,65.0,1.0
498.0,Charlotte,Partly Cloudy,60.000000000000014,1.0
516.9999999999999,Charlotte,Partly Cloudy;Scattered Clouds;Mainly Sunny,54.99999999999999,1.0
527.9999999999999,Charlotte,Mostly Cloudy;Clean;Intermittent Clouds,80.99999999999999,1.0
535.0000000000001,Charlotte,Cloudy;Haze,80.99999999999999,1.0
552.0,Charlotte,Mostly Cloudy,61.0,1.0
565.0000000000001,Charlotte,Overcast,75.00000000000001,1.0
600.0000000000001,Charlotte,Cloudy;Overcast;Mist,86.0,1.0
611.0,Charlotte,Light Snow,78.99999999999999,1.0
624.9999999999999,Charlotte,Mist/Fog,84.99999999999999,1.0
646.0,Charlotte,Clear,42.00000000000001,1.0
649.0,Charlotte,Sunny,37.99999999999999,1.0
655.0000000000001,Charlotte,Mostly Sunny;Partly Cloudy,26.0,1.0
659.9999999999998,Charlotte,Clear;Cloudy,36.0,1.0
669.0,Charlotte,Cloudy,39.99999999999999,1.0
671.0,Charlotte,Cloudy,43.999999999999986,1.0
673.0000000000001,Chicago,Mostly Cloudy;Mostly,43.999999999999986,1.0
676.0000000000001,Chicago,Clear,48.0,1.0
684.0,Chicago,Not totally Cloudy;Partly Sunny,36.0,1.0
691.9999999999998,Chicago,Partly Cloudy;Mainly Sunny;Mostly Clear,28.999999999999996,1.0
730.9999999999999,Chicago,Clear,31.0,1.0
734.0,Chicago,Clear,36.0,1.0
745.9999999999999,Chicago,Scattered Clouds;Mostly Cloudy;Cloudy;Partly,39.99999999999999,1.0
756.0,Chicago,Cloudy,37.99999999999999,1.0
768.0,Chicago,Cloudy,45.00000000000001,1.0
773.9999999999999,Chicago,Not totally Sunny;Scattered Clouds;Not totally Cloudy,37.99999999999999,1.0
776.0,Chicago,Partly Cloudy;Scattered Clouds;Partly,34.99999999999999,1.0
788.9999999999999,Chicago,Cloudy,57.99999999999999,1.0
790.9999999999999,Chicago,Cloudy,56.00000000000001,1.0
798.0,Chicago,Clear,62.99999999999999,1.0
801.0,Chicago,Clear,65.0,1.0
831.0,Chicago,Partly Sunny;Partly;Scattered Clouds,57.99999999999999,1.0
837.0,Chicago,Not totally Cloudy;Partly Cloudy;Mostly Clear,31.0,1.0
843.0000000000001,Chicago,Overcast;Cloudy,43.999999999999986,1.0
848.0,Chicago,Not totally Cloudy;Partly Cloudy,48.0,1.0
851.9999999999999,Chicago,Partly Cloudy;Not totally Cloudy,53.999999999999986,1.0
859.0000000000001,Chicago,Cloudy;Overcast,41.0,1.0
908.0,Chicago,Cloudy,65.99999999999999,1.0
