sample,change%,last_trade_price,open_price,volumn,today_high,today_low,previous_close,52wk_H,52wk_L
4,31.92727273,6895.872727,7092.490909,676006.9676,6283.581818,4434.363636,3623,2530.66,2029
NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
29,464.2,7074.763636,7244.854545,8876485.437,6749.709091,2057.745455,83,113,2487
37,540.4545455,8829.709091,583.3454545,1.13E+07,6569.745455,6366.054545,3528,251.12,111
38,165.2363636,6447.109091,5810.2,841019.3691,2230.454545,6581.236364,6945,146,1239
48,434.4909091,8462.781818,5616.454545,241391.1696,6754.836364,6462,6512,260.97,148
76,447.4909091,3273.272727,947,7246072.092,5050.290909,4741.127273,5420,292,8391
79,836.0363636,2998.727273,3425.072727,2.82E+07,3819.290909,1526.127273,5178,352.47,237
88,68.07272727,8297.909091,3283.127273,1291260.505,4997.127273,4986.563636,6953,1308.55,262
100,586.4181818,904.0727273,2787.763636,1484071.301,1041.363636,1818.763636,6955,430.45,306
102,528.8,6820.618182,3001.836364,3543232.902,4713.581818,4839.818182,,,
110,992.9636364,10396.81818,6199.4,3222998.918,4107.963636,5880.363636,,,
112,83.45454545,8665.418182,4422.472727,1230072.374,6524.181818,4158.618182,,,
121,688.4,11199.45455,7264.909091,1180021.118,5413.963636,6593.254545,,,
123,368.0909091,7342.927273,7177.236364,1306976.04,2482.6,1361.6,,,
148,690.1818182,2430.381818,3556.127273,1545357.035,2294.727273,4811.963636,,,
152,522.1636364,488.6727273,3643.363636,469347.01,5027,1976.927273,,,
168,269.2,11403.29091,7326.872727,4627242.124,6774.272727,6601.181818,,,
171,450.0181818,2974.036364,3812.872727,3937454.39,2662.272727,5986.727273,,,
177,809.9272727,1409.690909,2809.018182,3041226.174,949.1454545,1951.145455,,,
181,964.7636364,11412.45455,7330.036364,1028895.748,6775.672727,6606.854545,,,
201,737.2545455,6849.309091,6688.981818,2601505.28,5962.218182,6266.672727,,,
205,444.7636364,2826.636364,2174.327273,3.32E+07,5259.272727,4033.545455,,,
209,193.7636364,3736.890909,1302.436364,8.60E+07,5353.545455,4373.509091,,,
214,162.2909091,6073,1086.363636,1347047.787,1349.890909,5248.090909,,,
216,132.3090909,10467.50909,6101.854545,3983119.478,3609.436364,6613.272727,,,
240,573.6545455,10458.72727,7185.381818,1510771.657,6568.618182,1625.818182,,,
267,766.6545455,6190.236364,1927.563636,1799049.201,3172.6,2878.490909,,,
279,717.8545455,7726.309091,2533.2,267702.1842,5698.727273,6059.727273,,,
290,452.8545455,11400.12727,3950.927273,768707.6007,6658.563636,6501.072727,,,
291,333.1090909,6289.127273,5292.4,3023593.079,6792.890909,6509.436364,,,
295,830.5636364,6331.036364,3263.254545,886538.7495,2447.018182,6437.036364,,,
322,448.2181818,8697.454545,5901.018182,468513.4118,6554.545455,1599.854545,,,
325,441.6545455,5271.872727,3400.636364,893967.9593,3704.963636,5064.890909,,,
359,122.0181818,11456.32727,7365.054545,1.73E+07,1101.363636,6646.236364,,,
362,466.0909091,11444.16364,7356.6,2531534.009,6793.363636,6523.836364,,,
383,632.5454545,8312.636364,7131.509091,1081656.468,6603.818182,6509.181818,,,
407,899.6,5891.309091,1793.690909,1022200.864,366.3272727,5074.709091,,,
423,492.5090909,11112.63636,6656.109091,1079902.798,3294.2,6393.690909,,,
462,297.7090909,2838.436364,2622.454545,1322434.921,4767.545455,4272.436364,,,
464,349.6545455,2654.4,6373.181818,1045004.995,1437.636364,4490.090909,,,
466,52.30909091,3899.345455,4045.236364,789040.3345,6108.236364,3878.8,,,
470,364.6727273,9843.290909,1702.854545,2802474.831,684.6727273,5340.890909,,,
500,240.7636364,7028.309091,5788.072727,585004.6824,6697.272727,5647.945455,,,
502,122.6363636,2054.472727,5292.490909,1739056.509,5090.8,6399.563636,,,
507,268.1272727,2596.690909,1409.290909,5255185.864,4282.381818,2479.490909,,,
516,448.5272727,5870.181818,6512.327273,1941467.323,3969.763636,5255.527273,,,
529,443.9454545,9095.763636,574.6363636,2899763.06,2623.418182,5469.563636,,,
546,876.6727273,2060.981818,1276.763636,1867226.742,1495.781818,5039.527273,,,
549,216.7818182,4820.545455,5874.709091,1.34E+07,3443.927273,2870,,,
554,634.3454545,5599.454545,4836.727273,1.63E+07,1431.309091,3232.836364,,,
555,673.4363636,3688,6990.145455,621702.7204,6617.454545,6413.563636,,,
556,623.0909091,3490.254545,5003.672727,2533643.52,1014.672727,2904.8,,,
562,211.8,4221.127273,3604.854545,3922243.277,4766.745455,5664.854545,,,
580,416.4,4040.818182,7253.6,4266633.326,6472.472727,6558.236364,,,
591,508.0727273,3379.745455,2203.945455,6869931.772,452.7636364,4877.436364,,,
627,760.1818182,2877.981818,1611.509091,1.31E+07,4278.636364,1917.509091,,,
632,445.6545455,11519.98182,7406.181818,2707828.933,6847.727273,6567.363636,,,
641,203.2181818,4178.036364,553.8909091,1.25E+07,711.9090909,126.4,,,
643,1114.309091,3490.145455,2718.127273,5679847.27,2466.127273,5171.563636,,,
670,691.6181818,2994.618182,2483.981818,2.05E+07,3826.945455,2313.090909,,,
671,886.6181818,1392.890909,7236.090909,631262.3035,5974.636364,248.2909091,,,
696,496.8,2397.672727,951.3818182,1.72E+07,674.4545455,625.2,,,
700,793.2727273,4479.163636,3617.890909,1854694.058,899,862.5636364,,,
707,535.6545455,8921.981818,5436.145455,1961464.843,4440.672727,2676.218182,,,
748,372.9454545,2557,2167.527273,1651082.403,697.4545455,910.9090909,,,
759,256.5636364,4519.145455,7424.018182,1383468.816,2565.563636,6588.072727,,,
760,220.5818182,3051.4,6227.327273,1.51E+07,6863.4,1467.6,,,
768,742.8909091,4954.2,6458.454545,1267697.607,6712.909091,1833.836364,,,
776,279.1090909,5935.472727,3907.836364,2860063.548,386.4909091,1634.036364,,,
792,759.6727273,9059,5303.509091,882964.6591,5269.4,2853,,,
803,428.8363636,11586.18182,7441.345455,858347.7513,6874.418182,6720.290909,,,
806,383.6727273,11593.8,7443.236364,328273.9964,6875.4,6721.254545,,,
813,654.6181818,564.0909091,3958.8,1909936.147,2742.309091,4612.872727,,,
825,690.7090909,6582.781818,3546.981818,2765676.15,4817.690909,1417.109091,,,
829,461.8,2515.018182,6232.745455,4076363.417,6752.672727,6706.672727,,,
835,266.4545455,2499.127273,3603.127273,1.08E+07,2763.018182,1995.509091,,,
838,569.6545455,1852.345455,5766.490909,9032106.063,3060.981818,409.9090909,,,
848,444.8363636,6211.472727,7361.418182,971759.8182,5907.018182,4779.727273,,,
849,133.2545455,6054.963636,4167.345455,6607627.331,2935.345455,2677.072727,,,
861,774.6909091,2501.363636,1943.581818,1.42E+07,1563.327273,6515.527273,,,
863,553.0909091,778.5636364,1341.945455,4788503.857,399.1818182,1152.581818,,,
877,418.3636364,1211.618182,405.0909091,9834766.575,574.2909091,4368.490909,,,
888,452.2727273,7505.145455,3336.272727,2781511.171,6739.763636,2641.727273,,,
895,423.2181818,7300.418182,7250.145455,2316578.88,6821.781818,6734.981818,,,
913,443.4181818,5383.454545,2259.690909,1419298.677,2393.072727,3050.6,,,
922,531.6181818,2386.818182,4265.254545,3991929.772,407.0727273,1305.345455,,,
940,359.5272727,10423.96364,6114.854545,683208.3602,6396.254545,6615.963636,,,
949,396.7636364,616.4545455,3269.363636,1122320.166,1540.963636,1362.963636,,,
959,769.2181818,552.1818182,2610.272727,1937367.131,1820.690909,3415.963636,,,
960,197.8363636,11172.2,7145.836364,7586525.252,6606.072727,6334.6,,,
968,1130.945455,4010.636364,1773.963636,7109693.85,3247.945455,224.4545455,,,
970,315.2545455,396.2,383.6909091,7070272.449,1897.272727,3333.436364,,,
976,450.5818182,11646.50909,7471.490909,367367.9945,6760.727273,6749.327273,,,
980,954.8363636,6331.781818,1203.563636,4103505.757,5282.8,1654.145455,,,
981,545.4,7365.781818,843.9818182,1325124.371,4808.6,4609.327273,,,
984,132.7636364,6038.436364,3704.363636,2357373.615,3126.218182,2727.090909,,,
988,175.0545455,7844.272727,7253.072727,686848.7289,4902.581818,5457.363636,,,
989,91.18181818,1537.8,986.4363636,8497824.033,537.3818182,4788.054545,,,
998,567.8727273,11140.14545,5792.145455,230184.0831,6897.690909,6753.436364,,,
