atvi	0.25	11.84	11.8	-0.03	7130000.0	12.0	11.68	11.87	12.65	10.4	1.14E9		1.355E10	1.39	0.17	0.44	
adbe	1.11	27.71	28.0	-0.31	7868149.0	28.15	27.63	28.02	35.99	25.45	4.9387E8		1.369E10			1.88	
akam	1.59	24.22	23.69	0.38	8527022.0	24.6	23.66	23.84	54.65	23.64	1.86707E8		4.52E9			1.0	
alxn	0.55	56.8	55.9	0.31	1302414.0	57.18	55.62	56.49	59.07	26.53	1.8384E8		1.044E10			0.61	
altr	0.62	40.88	40.26	0.25	5830656.0	41.52	40.07	40.63	49.59	24.48	3.24E8	14.92	1.325E10		0.08	2.74	
amzn	0.62	222.52	221.29	-1.38	5120730.0	225.75	219.51	223.9	227.2	114.51	4.5394E8	98.03	1.0101E11			2.27	
amgn	2.38	54.7	54.73	1.27	1.045E7	55.2	53.05	53.43	61.53	50.26	9.2973E8	11.37	5.086E10			4.81	
apol	-0.02	50.83	50.55	-0.01	2420000.0	51.05	49.95	50.84	54.23	33.75	1.3776E8		7.0E9			2.95	
aapl	0.34	390.48	387.64	-1.34	2.2390109E7	395.15	384.0	391.82	404.5	235.56	9.2709E8	15.46	3.6201E11			25.26	
amat	1.28	12.32	12.38	-0.16	2.044465E7	12.55	12.24	12.48	16.93	10.27	1.32E9	10.35	1.6239999999999998E10	2.56	0.32	1.19	
adsk	0.17	34.4	34.03	0.06	2890657.0	34.79	33.67	34.34	46.15	26.63	2.3095E8	33.4	7.94E9			1.03	
adp	-0.55	51.49	51.65	-0.28	2850000.0	52.0	51.08	51.78	55.12	38.41	4.99705E8		2.573E10	2.78	1.44	2.45	
bidu	0.8	157.07	154.93	-1.27	9780000.0	158.46	152.34	158.34	165.96	76.0			5.479E10			2.18	
bbby	1.35	58.49	57.4	0.78	2330000.0	58.84	56.83	57.71	60.55	35.55	2.4926E8	17.83	1.458E10			3.28	
biib	0.27	101.87	101.76	-0.28	1720000.0	102.75	99.54	102.15	109.63	53.14	2.4255E8		2.471E10			4.41	
bmc	3.12	43.22	44.27	-1.39	5410000.0	44.73	43.19	44.61	56.55	34.47		17.29				2.5	
brcm	0.62	37.07	36.47	0.23	1.05E7	37.67	36.1	36.84	47.39	29.9	5.35E8	20.83	1.983E10	0.98	0.36	1.78	
chrw	0.54	72.31	72.22	-0.4	1220000.0	73.27	71.53	72.71	82.61	63.8	1.65564E8	28.92	1.197E10	1.6	1.16	2.5	
ca	-0.09	22.3	22.09	-0.02	5720000.0	22.44	22.05	22.32	25.68	17.7	5.047E8	13.43	1.125E10	0.9	0.2	1.66	
celg	1.1	59.3	59.67	-0.66	5440000.0	60.47	59.03	59.96	63.46	48.92	4.628E8	30.89	2.744E10			2.18	
cern	7.21	66.49	63.71	4.47	3080000.0	68.12	62.99	62.02	68.12	36.22	1.68212E8	45.23	1.118E10			1.47	
chkp	0.53	57.65	57.61	-0.31	1750000.0	57.91	57.04	57.96	61.46	33.15						2.35	
csco	-0.25	15.97	15.9	-0.04	6.604000000000001E7	16.13	15.8	16.01	26.0	14.78	5.500185E9		8.784E10	1.5	0.06	1.27	
ctxs	1.07	72.04	71.87	-0.78	3424693.0	73.4	70.76	72.82	88.49	52.75	1.88E8		1.354E10			1.76	
ctsh	0.14	69.87	69.01	0.1	2890000.0	70.1	68.38	69.77	83.48	53.16	3.0425E8	27.4	2.126E10			2.55	
cmcsa	0.62	24.02	24.04	-0.15	1.757E7	24.34	23.87	24.17	27.16	16.76	2.084368E9	18.2	6.644E10	1.86	0.45	1.32	
cost	0.1	78.25	77.5	-0.08	2390000.0	78.92	77.19	78.33	83.95	54.05	4.3781E8	24.45	3.4259999999999996E10	1.23	0.96	3.2	
ctrp	0.26	46.1	45.51	0.12	1761717.0	46.24	44.72	45.98	53.16	36.64	1.43564E8		6.62E9			1.11	
