entity,brand,screen_type,supported_aspect_ratio,response_time(ms),screen_size_diagonal,day
22_1,Philips Electronics,LCD,5:04,5.114573873323418,48.59696297338405,1.0
25_1,Philips Electronics,LCD,16:10,3.8391479147406837,43.71077230707612,0.7983534158350147
27_1,Philips Electronics,Lcd,16:09,4.915987775006684,53.69730295453045,1.0
28_1,Philips Electronics,LCD,16:09,4.013192526688208,44.97509054120955,0.8114227302873667
32_1,Philips Electronics,LED/,16:09,5.142164033253329,61.708377596889726,1.0
33_1,Philips Electronics,LCD Monitor,16:09,2.7501900307356015,61.76624183760997,1.0
39_1,Philips Electronics,Brilliance LCD Monitor,16:08,4.497371595330959,67.22220913597486,1.0
40_1,Philips Electronics,LCD,16:09,3.915561170633117,57.22183568580862,0.8114227302873667
41_1,Philips Electronics,TFT,16:09,4.957926066918294,66.34982036745463,1.0
62_1,Philips Electronics,IPS,16:09,14.047885497332707,61.01514202012553,1.0
88_1,iiyama North America,TN+Film,16:08,2.063166140951291,57.82261233170136,1.0
103_1,Hannspree,ProLite E2483HS - A HD LED Monitor with 2 ms Response Time,16:09,4.963735627083023,51.432989648263046,1.0
128_1,Asus,LCD Monitor,16:11,6.508493947,60.43602424,1
132_1,Asus,IPS,21:09,5.01748756475909,72.76842546713168,1.0
133_1,Asus,IGZO,16:09,7.936646191679448,81.81001326628858,1.0
168_1,Asus,LC,16:09,1.994668164367397,69.48202970238306,1.0
171_1,Asus,LCD Monitor,16:09,1.882792081,66.98184245,1
186_1,Asus,TN+Film,16:09,4.751425939493775,55.23241508237659,1.0
190_1,Asus,IPS,16:09,5.049775122052904,71.6529369509873,1.0
193_1,iiyama North America,IPS,16:10,4.242823908194321,49.04667217817053,0.8114227302873667
