entity,brand,screen_type,supported_aspect_ratio,response_time(ms),screen_size_diagonal,day
22_2,Philips Electronics,LCD Monitor,5:04,5.086013882225797,48.91366130940607,1.0
25_2,Philips Electronics,LCD Monitor,16:10,4.04778674414903,45.80996534390714,0.836012668959739
27_2,Philips Electronics,LCD Monitor,16:09,4.933775437492135,53.81076229263953,1.0
28_2,Philips Electronics,LCD Monitor,16:09,4.9725023656137415,55.520925967717474,1.0
32_2,Philips Electronics,LCD Monitor,16:09,4.450625639159733,53.69717789660996,0.860322171430171
33_2,Philips Electronics,LCD Monitor,16:09,2.8528106392350763,60.25854826391997,1.0
39_2,Philips Electronics,Brilliance LCD Monitor,16:10,4.099991040508756,66.11217459086436,1.0
40_2,Philips Electronics,Monitor,16:09,4.844876394818751,70.21606356526122,1.0
41_2,Philips Electronics,LCD Monitor,16:08,4.285051990083641,57.33851106913698,0.860322171430171
62_2,Philips Electronics,LCD Monitor,16:09,12.822497970385518,62.858983801954196,1.0
88_2,iiyama North America,Brilliance LCD Monitor,16:09,3.617140954720753,58.288467358132465,1.0
103_2,Hannspree,LCD Monitor,16:09,4.5920507444771825,52.11873122412605,1.0
128_2,Asus,LCD Monitor,16:10,6,60.7452146,1
132_2,Asus,LCD Monitor,21:09,5.167374499454327,71.77560880991012,1.0
133_2,Asus,Brilliance LCD Monitor,16:09,7.604813028398397,78.94893300824062,1.0
168_2,Asus,LCD Monitor,16:09,2.8138866467689163,71.46285375626731,1.0
171_2,Asus,LCD Monitor,16:09,1.882792081,63.67587246,1
186_2,Asus,Monitor,16:09,4.422691705529781,56.81237361192494,1.0
190_2,Asus,Brilliance LCD Monitor,16:09,4.910267546191112,68.1707583140323,1.0
193_2,iiyama North America,Brilliance LCD Monitor,16:09,5.2352339497962,62.0375287724504,1.0
22_1,Philips Electronics,LCD Monitor,5:04,5,0,0.860322171430171
25_1,Philips Electronics,LCD Monitor,16:10,5,0,1.0
27_1,Philips Electronics,LCD Monitor,16:09,5,0,1.0
28_1,Philips Electronics,LCD Monitor,16:09,5,0,1.0
32_1,Philips Electronics,LCD Monitor,16:09,5,0,1.0
33_1,Philips Electronics,LCD Monitor,16:09,5,0,1.0
39_1,Philips Electronics,LCD Monitor,16:09,5,0,1.0
40_1,Philips Electronics,LCD Monitor,16:09,5,0,1.0
41_1,Philips Electronics,LCD Monitor,16:09,5,0,1.0
62_1,Philips Electronics,LCD Monitor,16:10,5,0,1.0
88_1,iiyama North America,LCD Monitor,16:09,2,0,1.0
103_1,Hannspree,LCD Monitor,16:09,5,0,1.0
128_1,Asus,LCD Monitor,16:10,5,0,1.0
132_1,Asus,LCD Monitor,21:09,5,0,1.0
133_1,Asus,LCD Monitor,16:09,5,0,1.0
168_1,Asus,LCD Monitor,16:09,2,0,1.0
171_1,Asus,LCD Monitor,16:09,2,0,1.0
186_1,Asus,LCD Monitor,16:10,5,0,1.0
190_1,Asus,LCD Monitor,16:09,5,0,1.0
193_1,iiyama North America,LCD Monitor,16:09,5,0,1.0
22_3,Philips Electronics,LED Monitor,5:04,5,0,1.0
25_3,Philips Electronics,LCD Monitor,16:10,5,0,1.0
27_3,Philips Electronics,LCD Monitor,16:09,5,0,1.0
28_3,Philips Electronics,LCD Monitor,16:09,5,0,1.0
32_3,Philips Electronics,LCD Monitor,16:09,5,0,1.0
33_3,Philips Electronics,LCD Monitor,16:09,5,0,1.0
39_3,Philips Electronics,Brilliance LCD Monitor,16:09,5,0,1.0
40_3,Philips Electronics,Monitor,16:09,5,0,1.0
41_3,Philips Electronics,LCD Monitor,16:09,5,0,1.0
62_3,Philips Electronics,LCD Monitor,16:09,5,0,1.0
88_3,iiyama North America,Brilliance LCD Monitor,16:09,2,0,1.0
103_3,Hannspree,LCD Monitor,16:09,5,0,1.0
128_3,Asus,LCD Monitor,16:10,5,0,1.0
132_3,Asus,LCD Monitor,21:09,5,0,1.0
133_3,Asus,Brilliance LCD Monitor,16:09,5,0,1.0
168_3,Asus,LCD Monitor,16:09,2,0,1.0
171_3,Asus,LCD Monitor,16:09,2,0,1.0
186_3,Asus,Monitor,16:09,5,0,1.0
190_3,Asus,Brilliance LCD Monitor,16:09,5,0,1.0
193_3,iiyama North America,Brilliance LCD Monitor,16:09,5,0,1.0
22_4,Philips Electronics,LED Monitor,5:04,5,0,1.0
25_4,Philips Electronics,LCD Monitors,16:10,5,0,1.0
27_4,Philips Electronics,LCD,16:09,5,0,1.0
28_4,Philips Electronics,LCD Monitor,16:09,5,0,1.0
32_4,Philips Electronics,LCD Monitor,16:09,5,0,1.0
33_4,Philips Electronics,LCD Monitor,16:09,5,0,1.0
39_4,Philips Electronics,Brilliance LCD Monitor,16:09,5,0,1.0
40_4,Philips Electronics,Monitor,16:09,5,0,1.0
