entity,Domain,Conditions,Humidity,day
4.999999999999999,Austin,Rain,91.40592615532725,1.0
9.999999999999998,Austin,Rain,93,1.0
12.999999999999996,Austin,Cloudy,81,1.0
24.999999999999993,Austin,Cloudy,81,1.0
30.99999999999999,Austin,Cloudy,84,1.0
34.99999999999999,Austin,Cloudy,81,1.0
37.99999999999999,Austin,Cloudy,85,1.0
39.0,Austin,Cloudy,87,1.0
42.99999999999999,Austin,Cloudy;Overcast;Showers,93,1.0
49.999999999999986,Austin,Cloudy;Fog;Haze,81,1.0
59.99999999999999,Dallas,Overcast,84.99999999999999,1.0
91.0,Austin,Partly Cloudy,64,1.0
103.99999999999997,Austin,Clear,80,1.0
111.99999999999997,Austin,Clear,53,1.0
129.99999999999997,Austin,Cloudy,88,1.0
132.0,Austin,Cloudy,88,1.0
145.0,Austin,Cloudy,81,1.0
148.99999999999997,Austin,Rain,93,1.0
153.99999999999997,Austin,Cloudy;Overcast;Showers,93,1.0
156.0,Austin,Rain,100,1.0
166.99999999999997,Austin,Cloudy;Fog;Fog And Mist;Light Rain;Light Rain Mist,100,1.0
173.99999999999997,Fort Worth,Mist/Fog,92.99999999999999,1.0
204.99999999999997,Austin,Fog;Overcast;Showers;Mist,93,1.0
209.0,Austin,Fog;Overcast;Rain,93,1.0
250.99999999999997,Fort Worth,Mist/Fog,85.99999999999999,1.0
253.99999999999997,Fort Worth,Mist/Fog,85.99999999999999,1.0
257.0,Fort Worth,Overcast with Haze,79.99999999999999,1.0
259.0,Austin,Cloudy,76,1.0
272.99999999999994,Austin,Rain,87,1.0
274.9999999999999,Austin,Rain,93,1.0
1079.9999999999998,Charlotte,Cloudy,80,1.0
1967.9999999999995,Dallas,Cloudy,68,1.0
2013.9999999999998,Dallas,Cloudy,75,1.0
2051.0,Dallas,Cloudy,82,1.0
2052.9999999999995,Dallas,Cloudy,85,1.0
2119.9999999999995,Dallas,Cloudy,81,1.0
2610.9999999999995,Detroit,Cloudy,54,1.0
3016.9999999999995,El Paso,Cloudy,82,1.0
3546.9999999999995,Houston,Partly Cloudy,81,1.0
3649.999999999999,Houston,Cloudy,75,1.0
3658.9999999999995,Houston,Cloudy,75,1.0
4050.999999999999,Indianapolis,Cloudy,75,1.0
4279.999999999999,Jacksonville,Cloudy,89,1.0
5268.0,Memphis,Cloudy,55,1.0
5316.0,Memphis,Cloudy,57,1.0
5479.0,Milwaukee,Cloudy,67,1.0
5485.000000000001,Milwaukee,Cloudy,53,1.0
5765.0,Nashville,Cloudy,58,1.0
5952.999999999999,Nashville,Cloudy,73,1.0
6021.0,Nashville,Cloudy,62,1.0
7313.999999999999,Phoenix,Cloudy,64,1.0
7448.999999999999,Portland,Light Rain,79,1.0
8207.999999999998,San Diego,Cloudy,80,1.0
8280.0,San Diego,Mostly Cloudy,77,1.0
8791.999999999998,San Jose,Cloudy,80,1.0
9583.999999999998,Milwaukee,Mist/Fog,84.99999999999999,1.0
1387.9999999999998,Chicago,Partly Cloudy,54,1.0
1392.9999999999998,Chicago,Mostly Cloudy,62,1.0
1402.9999999999998,Chicago,Cloudy,74,1.0
1405.9999999999998,Chicago,Mostly Cloudy,71,1.0
1411.0,Chicago,Mostly Cloudy,79,1.0
1415.9999999999998,Chicago,Partly Cloudy,71,1.0
1471.9999999999998,Chicago,Partly Cloudy,61,1.0
2009.9999999999998,Dallas,Cloudy,75,1.0
2023.9999999999995,Dallas,Cloudy,74,1.0
2025.9999999999995,Dallas,Cloudy,74,1.0
2046.9999999999995,Dallas,Cloudy,82,1.0
2884.9999999999995,El Paso,Cloudy,85,1.0
