entity,Domain,Conditions,Humidity,day
4.999999999999999,Austin,Rain,93,1.0
9.999999999999998,Austin,Rain,93,1.0
13.0,Austin,Cloudy,81,1.0
25.000000000000007,Austin,Cloudy,81,1.0
31.0,Austin,Cloudy,84,1.0
35.0,Austin,Cloudy,81,1.0
38.0,Austin,Cloudy,85,1.0
39.0,Austin,Cloudy,87,1.0
43.00000000000001,Austin,Cloudy,93,1.0
50.000000000000014,Austin,Cloudy,81,1.0
60.00000000000001,Austin,Overcast,85.00000000000001,1.0
91.0,Austin,Partly Cloudy,64,1.0
104.0,Austin,Clear,80,1.0
112.00000000000003,Austin,Clear,53,1.0
130.00000000000003,Austin,Cloudy,88,1.0
131.99999999999997,Austin,Cloudy,88,1.0
145.0,Austin,Cloudy,81,1.0
148.99999999999997,Austin,Rain,93,1.0
154.00000000000003,Austin,Cloudy,93,1.0
156.0,Austin,Rain,100,1.0
167.00000000000003,Austin,Cloudy;Fog;Fog And Mist;Light Rain;Light Rain Mist,100,1.0
174.0,Austin,Mist/Fog,93.00000000000001,1.0
205.00000000000003,Austin,Fog;Overcast;Showers;Mist,93,1.0
208.99999999999997,Austin,Fog,93,1.0
251.00000000000006,Austin,Mist/Fog,86.00000000000001,1.0
254.00000000000003,Austin,Mist/Fog,86.00000000000001,1.0
257.0,Austin,Overcast with Haze,79.99999999999999,1.0
259.0,Austin,Cloudy,76,1.0
273.00000000000006,Austin,Rain,87,1.0
275.0,Austin,Rain,93,1.0
280.0,Austin,Rain,100,1.0
302.00000000000006,Austin,Overcast,79.99999999999999,1.0
314.0,Austin,Mist/Light Rain Fog,93.00000000000001,1.0
315.0,Austin,Mist/Light Rain Fog,90.0,1.0
324.0,Baltimore,Mostly Cloudy,43,1.0
342.0,Baltimore,Clear,52,1.0
376.0,Austin,Fair,43.00000000000001,1.0
381.99999999999994,Austin,A Few Clouds,57.000000000000014,1.0
398.00000000000006,Austin,Overcast,39.99999999999999,1.0
407.0,Baltimore,Cloudy,36,1.0
408.0,Baltimore,Cloudy,36,1.0
428.00000000000006,Baltimore,Snow,79,1.0
441.0,Baltimore,Light Snow,80,1.0
462.00000000000006,Baltimore,Sunny,33,1.0
467.0,Baltimore,Sunny,37,1.0
483.00000000000006,Baltimore,Clear,61,1.0
496.0,Austin,Mainly Cloudy,65.00000000000001,1.0
498.00000000000006,Austin,Partly Cloudy,60.00000000000001,1.0
517.0,Baltimore,Mostly Clear,55,1.0
527.9999999999999,Baltimore,Mostly Cloudy;Clean;Intermittent Clouds,81,1.0
534.9999999999999,Baltimore,Cloudy,81,1.0
552.0,Austin,Mostly Cloudy,61.0,1.0
565.0,Austin,Overcast,75.0,1.0
600.0,Baltimore,Cloudy,86,1.0
611.0,Austin,Light Snow,79.00000000000001,1.0
625.0000000000001,Austin,Mist/Fog,85.00000000000001,1.0
646.0,Boston,Clear,42,1.0
649.0000000000002,Boston,Sunny,38,1.0
655.0,Boston,Mostly Sunny;Partly Cloudy,26,1.0
660.0,Boston,Clear,36,1.0
669.0,Boston,Cloudy,40,1.0
671.0,Boston,Cloudy,44,1.0
673.0,Boston,Mostly Cloudy;Mostly,44,1.0
676.0000000000001,Boston,Clear,48,1.0
684.0,Boston,Not totally Cloudy;Partly Sunny,36,1.0
692.0,Boston,Partly Cloudy;Mainly Sunny;Mostly Clear,29,1.0
731.0,Boston,Clear,31,1.0
733.9999999999999,Boston,Clear,36,1.0
745.9999999999999,Boston,Scattered Clouds;Mostly Cloudy;Cloudy;Partly,40,1.0
756.0,Boston,Cloudy,38,1.0
768.0000000000001,Boston,Cloudy,45,1.0
774.0000000000001,Boston,Not totally Sunny;Scattered Clouds;Not totally Cloudy,38,1.0
776.0000000000001,Boston,Partly Cloudy;Scattered Clouds;Partly,35,1.0
789.0,Boston,Cloudy,58,1.0
791.0000000000001,Boston,Cloudy,56,1.0
798.0000000000002,Boston,Clear,63,1.0
801.0000000000002,Boston,Clear,65,1.0
831.0000000000002,Boston,Partly Sunny;Partly;Scattered Clouds,58,1.0
837.0,Boston,Not totally Cloudy;Partly Cloudy;Mostly Clear,31,1.0
843.0000000000001,Boston,Overcast;Cloudy,44,1.0
847.9999999999999,Boston,Partly Cloudy,48,1.0
852.0,Boston,Partly Cloudy,54,1.0
859.0000000000001,Boston,Cloudy;Overcast,41,1.0
908.0,Boston,Cloudy,66,1.0
961.0,Charlotte,Cloudy,50,1.0
965.0000000000002,Charlotte,Partly Cloudy,41,1.0
997.0000000000001,Charlotte,Partly Cloudy,95,1.0
1000.0000000000001,Charlotte,Mostly Cloudy,100,1.0
1001.0000000000002,Charlotte,Mostly Cloudy,92,1.0
1011.0000000000001,Charlotte,Partly Cloudy,43,1.0
1074.0000000000002,Charlotte,Cloudy,81,1.0
1080.0,Charlotte,Cloudy,80,1.0
1083.0000000000002,Charlotte,Partly Cloudy,74,1.0
1084.0,Charlotte,Partly Cloudy,77,1.0
1086.0,Charlotte,Partly Cloudy,80,1.0
1107.0,Charlotte,Mostly Clear,47,1.0
1113.0,Charlotte,Clear,70,1.0
1152.0,Charlotte,Mostly Cloudy,67,1.0
1154.0,Charlotte,Partly Cloudy,49,1.0
1166.0,Charlotte,Cloudy,69,1.0
1183.0,Charlotte,Drizzle,93,1.0
1224.0000000000002,Charlotte,Fog,95,1.0
1225.9999999999998,Charlotte,Fog,93,1.0
1234.0,Charlotte,Fog,100,1.0
1237.0,Charlotte,Fog,100,1.0
1239.0,Charlotte,Fog,100,1.0
1240.0,Charlotte,Fog,100,1.0
1286.0,Chicago,Mostly Cloudy,60,1.0
1288.0,Chicago,Mostly Cloudy,57,1.0
1294.0,Chicago,Mostly Cloudy,49,1.0
1298.0000000000005,Chicago,Mostly Cloudy,62,1.0
1304.0,Chicago,Partly Cloudy,58,1.0
1308.0,Chicago,Partly Cloudy,62,1.0
1313.0,Chicago,Cloudy,63,1.0
1317.0,Chicago,Cloudy,62,1.0
1318.0000000000002,Chicago,Cloudy,62,1.0
1331.0,Chicago,Cloudy,55,1.0
1333.0000000000002,Austin,A Few Clouds,60.00000000000001,1.0
1334.9999999999998,Austin,Clean,65.00000000000001,1.0
1341.0,Austin,Partly Cloudy,65.00000000000001,1.0
1342.0,Austin,Partly Cloudy,65.00000000000001,1.0
1343.0000000000002,Austin,A Few Clouds,67.99999999999999,1.0
1350.0000000000002,Austin,Overcast,62.0,1.0
1365.0000000000002,Chicago,Mostly Cloudy,65,1.0
1388.0,Chicago,Partly Cloudy,54,1.0
1393.0,Chicago,Partly Cloudy,62,1.0
1403.0,Chicago,Cloudy,74,1.0
1406.0,Chicago,Mostly Cloudy,71,1.0
1411.0,Chicago,Mostly Cloudy,79,1.0
1416.0,Chicago,Partly Cloudy,71,1.0
1438.0000000000002,Chicago,Haze;Partly Cloudy;Hazy,74,1.0
1440.0,Chicago,Cloudy,74,1.0
1450.0000000000002,Austin,Overcast,72.0,1.0
1462.0,Austin,Overcast with Haze,78.0,1.0
1467.9999999999998,Austin,Overcast with Haze,78.0,1.0
1472.0,Chicago,Partly Cloudy,61,1.0
1486.0000000000002,Chicago,Light Snow,93,1.0
1503.0000000000002,Chicago,Cloudy,74,1.0
1507.0000000000005,Austin,Overcast Haze,63.00000000000001,1.0
1546.0,Chicago,Cloudy,80,1.0
1557.0000000000002,Chicago,Cloudy,80,1.0
1569.9999999999998,Austin,Mist/Light Snow Fog,85.00000000000001,1.0
1573.0000000000005,Austin,Light Snow,79.00000000000001,1.0
1583.0,Austin,Overcast with Haze,81.0,1.0
1588.0000000000002,Austin,Overcast with Haze,81.0,1.0
1611.0,Columbus,Cloudy,52,1.0
1614.0,Columbus,Sunny;Cloudy;Clean;Mostly Cloudy,48,1.0
1631.0000000000002,Columbus,Sunny;Cloudy;Fair;Mostly Cloudy,73,1.0
1633.0000000000002,Columbus,Partly Cloudy,79,1.0
1641.0000000000005,Columbus,Haze;Hazy;Sunny,74,1.0
1641.9999999999995,Columbus,Haze;Fair;Hazy;Intermittent Clouds,74,1.0
1646.0000000000002,Columbus,Clear;Mostly Cloudy;Fair;Cloudy,55,1.0
1651.0000000000005,Columbus,Mostly Cloudy;Cloudy;Clear,44,1.0
1686.0000000000002,Columbus,Cloudy,53,1.0
1695.9999999999998,Columbus,Cloudy,57,1.0
1702.9999999999998,Columbus,Cloudy;Overcast,57,1.0
1717.0,Columbus,Clear;Mostly Clear;Fair,53,1.0
1723.0,Columbus,Partly Cloudy,73,1.0
1740.0,Columbus,Partly Sunny,57,1.0
1745.0000000000002,Columbus,Sunny,43,1.0
1752.0,Columbus,Cloudy,72,1.0
1753.0,Columbus,Cloudy,72,1.0
1754.0000000000005,Columbus,Cloudy,80,1.0
1799.9999999999998,Columbus,Cloudy;Overcast,69.48499555881564,1.0
1871.0000000000002,Columbus,Cloudy;Snow;Light Snow,75,1.0
1874.0000000000005,Columbus,Light Snow;Cloudy;Overcast,81,1.0
1926.0000000000002,Dallas,Light Rain,93,1.0
1940.0,Dallas,Cloudy,70,1.0
1958.9999999999998,Dallas,Cloudy,92,1.0
1961.0000000000007,Dallas,Haze,81,1.0
1963.0000000000002,Dallas,Haze,75,1.0
1968.0,Dallas,Cloudy,68,1.0
1985.0,Austin,Mist/Fog,88.0,1.0
1995.0,Austin,Overcast with Haze,79.00000000000001,1.0
1999.0,Austin,Overcast,67.99999999999999,1.0
2010.0,Dallas,Cloudy,75,1.0
2013.9999999999998,Dallas,Cloudy,75,1.0
2024.0,Dallas,Cloudy,74,1.0
2026.0000000000002,Dallas,Cloudy,74,1.0
2047.0000000000002,Dallas,Cloudy,82,1.0
2051.0,Dallas,Cloudy,82,1.0
2053.0,Dallas,Cloudy,85,1.0
2073.0000000000005,Dallas,Cloudy,76,1.0
2079.0,Dallas,Rain,87,1.0
2091.0,Austin,Mist/Fog,82.99999999999999,1.0
2108.0000000000005,Austin,Mist/Light Rain Fog,92.0,1.0
2110.000000000001,Dallas,Light Rain,87,1.0
2111.0,Austin,Light Rain;Rain,86.9972316197403,1.0
2111.9999999999995,Dallas,Cloudy,88,1.0
2115.0000000000005,Dallas,Cloudy,71,1.0
2120.0000000000005,Dallas,Cloudy,81,1.0
2121.0,Dallas,Cloudy,81,1.0
2151.9999999999995,Austin,Overcast with Haze,82.99999999999999,1.0
2160.9999999999995,Austin,Overcast Haze,82.0,1.0
2175.0,Austin,Cloudy,57.000000000000014,1.0
2175.9999999999995,Austin,Mostly,54.00000000000001,1.0
2179.9999999999995,Dallas,Mostly Cloudy,65,1.0
2210.9999999999995,Austin,Mostly,61.0,1.0
2220.0000000000005,Austin,Overcast,86.00000000000001,1.0
